GEO.id,GEO.id2,GEO.display-label,,,,,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06
Id,Id2,Geography,,,0,,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - U.S. citizen, born in the United States","Margin of Error; Total: - U.S. citizen, born in the United States","Estimate; Total: - U.S. citizen, born in Puerto Rico or U.S. Island Areas","Margin of Error; Total: - U.S. citizen, born in Puerto Rico or U.S. Island Areas","Estimate; Total: - U.S. citizen, born abroad of American parent(s)","Margin of Error; Total: - U.S. citizen, born abroad of American parent(s)",Estimate; Total: - U.S. citizen by naturalization,Margin of Error; Total: - U.S. citizen by naturalization,Estimate; Total: - Not a U.S. citizen,Margin of Error; Total: - Not a U.S. citizen
1400000US17031010100,17031010100,"Census Tract 101, Cook County, Illinois",101,101,0,8.546192409,4189,522,3504,452,12,19,45,57,270,183,358,251
1400000US17031010201,17031010201,"Census Tract 102.01, Cook County, Illinois",102.01,102.01,0,21.3327686,7083,924,4808,788,17,27,57,54,690,300,1511,532
1400000US17031010202,17031010202,"Census Tract 102.02, Cook County, Illinois",102.02,102.02,0,19.14468425,2502,424,1657,321,9,12,39,53,318,215,479,204
1400000US17031010300,17031010300,"Census Tract 103, Cook County, Illinois",103,103,0,19.66843715,6213,842,4307,760,10,15,40,43,634,241,1222,501
1400000US17031010400,17031010400,"Census Tract 104, Cook County, Illinois",104,104,0,6.976744186,4730,472,3965,475,0,11,24,28,411,152,330,142
1400000US17031010501,17031010501,"Census Tract 105.01, Cook County, Illinois",105.01,105.01,0,8.822761681,3831,417,2929,503,53,55,53,68,458,214,338,132
1400000US17031010502,17031010502,"Census Tract 105.02, Cook County, Illinois",105.02,105.02,0,25.50135501,3690,649,2465,492,24,33,9,13,251,110,941,708
1400000US17031010503,17031010503,"Census Tract 105.03, Cook County, Illinois",105.03,105.03,0,10.36804309,2228,402,1617,383,0,11,20,31,360,122,231,92
1400000US17031010600,17031010600,"Census Tract 106, Cook County, Illinois",106,106,0,15.27713803,6513,606,4676,548,83,86,0,15,759,195,995,400
1400000US17031010701,17031010701,"Census Tract 107.01, Cook County, Illinois",107.01,107.01,0,25.49417131,3946,385,2570,336,0,11,36,38,334,125,1006,246
1400000US17031010702,17031010702,"Census Tract 107.02, Cook County, Illinois",107.02,107.02,0,30.79256731,5274,652,3067,420,16,28,17,22,550,183,1624,520
1400000US17031020100,17031020100,"Census Tract 201, Cook County, Illinois",201,201,0,13.25814536,3990,432,2724,362,11,17,51,56,675,314,529,221
1400000US17031020200,17031020200,"Census Tract 202, Cook County, Illinois",202,202,0,15.65147882,6255,726,3806,522,26,38,150,165,1294,335,979,618
