GEO.id,GEO.id2,GEO.display-label,,,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06
Id,Id2,Geography,,,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - U.S. citizen, born in the United States","Margin of Error; Total: - U.S. citizen, born in the United States","Estimate; Total: - U.S. citizen, born in Puerto Rico or U.S. Island Areas","Margin of Error; Total: - U.S. citizen, born in Puerto Rico or U.S. Island Areas","Estimate; Total: - U.S. citizen, born abroad of American parent(s)","Margin of Error; Total: - U.S. citizen, born abroad of American parent(s)",Estimate; Total: - U.S. citizen by naturalization,Margin of Error; Total: - U.S. citizen by naturalization,Estimate; Total: - Not a U.S. citizen,Margin of Error; Total: - Not a U.S. citizen
1400000US17031010100,17031010100,"Census Tract 101, Cook County, Illinois",101,9.35216756,4106,468,3461,415,12,19,13,21,236,167,384,248
1400000US17031010201,17031010201,"Census Tract 102.01, Cook County, Illinois",102.01,26.31069304,7229,942,4603,599,16,25,43,50,665,248,1902,657
1400000US17031010202,17031010202,"Census Tract 102.02, Cook County, Illinois",102.02,19.74826389,2304,271,1520,228,40,56,28,26,261,155,455,155
1400000US17031010300,17031010300,"Census Tract 103, Cook County, Illinois",103,20.73391476,6077,694,4056,547,13,19,49,44,699,211,1260,536
1400000US17031010400,17031010400,"Census Tract 104, Cook County, Illinois",104,5.926960686,5011,544,4302,526,0,15,29,28,383,149,297,128
1400000US17031010501,17031010501,"Census Tract 105.01, Cook County, Illinois",105.01,8.861089393,3837,445,2906,507,34,48,0,11,557,216,340,157
1400000US17031010502,17031010502,"Census Tract 105.02, Cook County, Illinois",105.02,25.08057427,3413,651,2276,514,15,22,30,25,236,109,856,640
1400000US17031010503,17031010503,"Census Tract 105.03, Cook County, Illinois",105.03,11.92307692,2080,323,1381,293,0,11,37,41,414,128,248,99
1400000US17031010600,17031010600,"Census Tract 106, Cook County, Illinois",106,15.9042391,6558,595,4769,576,87,101,47,76,612,233,1043,448
