tract,percent_non_citizen_2016,percent_non_citizen_2015,percent_non_citizen_2014,percent_non_citizen_2013,percent_non_citizen_2012,percent_non_citizen_2011
101,, 9.352 , 8.546 , 9.787 , 9.142 , 6.342 
102.01,, 26.311 , 21.333 , 24.576 , 22.349 , 22.393 
102.02,, 19.748 , 19.145 , 19.048 , 16.347 , 17.688 
103,, 20.734 , 19.668 , 22.077 , 20.466 , 15.043 
104,, 5.927 , 6.977 , 9.203 , 10.597 , 13.743 
105.01,, 8.861 , 8.823 , 11.950 , 15.369 , 16.733 
105.02,, 25.081 , 25.501 , 22.872 , 18.912 , 19.275 
105.03,, 11.923 , 10.368 , 9.161 , 11.439 , 6.751 
106,, 15.904 , 15.277 , 13.835 , 17.727 , 20.661 
107.01,, 24.806 , 25.494 , 27.111 , 23.045 , 22.029 
107.02,, 31.919 , 30.793 , 35.272 , 34.946 , 33.783 
201,, 13.388 , 13.258 , 15.495 , 15.527 , 11.816 
202,, 17.456 , 15.651 , 19.707 , 15.092 , 10.321 
203.01,, 7.157 , 5.803 , 5.102 , 5.311 , 6.625 
203.02,, 20.385 , 28.080 , 32.233 , 29.584 , 28.126 
204,, 16.799 , 16.698 , 17.900 , 16.906 , 12.944 
205,, 24.646 , 25.799 , 25.331 , 24.745 , 24.372 
206.01,, 36.777 , 31.313 , 29.265 , 28.217 , 22.068 
206.02,, 26.039 , 25.012 , 27.263 , 27.483 , 27.548 
207.01,, 8.318 , 9.720 , 7.344 , 5.355 , 9.491 
207.02,, 17.694 , 17.894 , 19.126 , 21.482 , 22.187 
208.01,, 15.588 , 10.350 , 14.613 , 18.550 , 20.903 
208.02,, 43.074 , 46.399 , 45.842 , 40.283 , 33.434 
209.01,, 31.994 , 36.525 , 38.299 , 35.119 , 39.168 
209.02,, 13.742 , 16.353 , 22.725 , 29.072 , 29.641 
301.01,, 20.454 , 20.955 , 20.259 , 23.326 , 24.802 
301.02,, 15.764 , 12.991 , 17.962 , 23.766 , 24.904 
301.03,, 17.000 , 17.292 , 17.774 , 14.088 , 13.917 
301.04,, 17.522 , 19.062 , 17.449 , 18.073 , 15.088 
302,, 9.783 , 9.386 , 11.543 , 11.204 , 6.919 
303,, 14.423 , 14.464 , 16.104 , 17.244 , 22.557 
304,, 15.653 , 16.698 , 17.767 , 23.495 , 18.034 
305,, 10.373 , 12.490 , 16.363 , 14.220 , 13.909 
306.01,, 20.565 , 19.333 , 19.849 , 19.042 , 22.700 
306.03,, 36.715 , 32.031 , 39.614 , 40.306 , 40.223 
306.04,, 22.302 , 23.945 , 27.308 , 29.900 , 24.886 
307.01,, 17.374 , 13.379 , 10.188 , 12.018 , 14.262 
307.02,, 18.600 , 15.548 , 14.239 , 25.161 , 9.580 
307.03,, 5.080 , 4.769 , 4.924 , 5.498 , 5.622 
307.06,, 18.278 , 20.694 , 19.916 , 16.930 , 20.140 
308,, 7.256 , 7.650 , 3.857 , 8.585 , 7.841 
309,, 6.838 , 5.675 , 7.014 , 6.677 , 4.873 
310,, 10.997 , 11.925 , 12.585 , 11.478 , 14.599 
311,, 14.812 , 9.357 , 15.658 , 15.081 , 19.854 
312,, 8.019 , 7.778 , 8.811 , 12.577 , 13.717 
313,, 11.929 , 15.498 , 19.076 , 18.076 , 20.605 
314,, 4.791 , 6.065 , 6.097 , 6.839 , 8.306 
315.01,, 11.333 , 11.837 , 14.333 , 20.339 , 22.193 
315.02,, 15.222 , 20.178 , 17.718 , 14.588 , 16.530 
317,, 8.356 , 8.046 , 10.969 , 8.845 , 10.991 
318,, 13.420 , 19.045 , 18.602 , 18.247 , 19.110 
319,, 8.259 , 5.732 , 13.248 , 14.085 , 9.655 
321,, 12.623 , 14.246 , 14.007 , 12.600 , 11.024 
401,, 12.015 , 9.955 , 9.720 , 9.626 , 6.056 
402.01,, 10.896 , 11.977 , 10.055 , 15.369 , 20.690 
402.02,, 20.879 , 20.670 , 20.848 , 22.878 , 23.018 
403,, 11.951 , 12.801 , 17.014 , 16.308 , 12.445 
404.01,, 7.178 , 6.206 , 8.182 , 8.690 , 5.707 
404.02,, 8.449 , 9.104 , 12.164 , 11.789 , 14.057 
406,, 5.749 , 7.265 , 9.015 , 12.461 , 16.616 
407,, 5.498 , 8.082 , 8.586 , 8.542 , 8.759 
408,, 2.932 , 4.959 , 4.247 , 4.564 , 4.057 
409,, 6.459 , 6.138 , 6.854 , 15.020 , 9.027 
501,, 3.978 , 4.904 , 4.769 , 4.861 , 4.369 
502,, 4.283 , 5.605 , 6.349 , 5.986 , 5.838 
503,, 5.952 , 4.443 , 4.544 , 4.037 , 4.082 
505,, 3.916 , 3.187 , 2.940 , 2.209 , 2.433 
506,, 1.434 , 2.734 , 1.878 , 4.222 , 2.675 
507,, 3.025 , 2.624 , 2.285 , 2.452 , 2.508 
508,, 2.014 , 1.261 , 3.039 , 1.485 , 1.744 
509,, 4.916 , 5.301 , 2.859 , 2.482 , 2.186 
510,, 7.335 , 7.950 , 5.932 , 3.351 , 3.087 
511,, 8.803 , 8.388 , 8.913 , 5.402 , 5.958 
512,, 1.711 , 1.921 , 1.595 , 1.018 , 1.613 
513,, 3.185 , 2.912 , 2.601 , 3.092 , 2.531 
514,, 6.086 , 3.450 , 3.540 , 2.759 , 4.170 
601,, 2.654 , 2.542 , 2.750 , 0.896 , 0.947 
602,, 11.303 , 7.761 , 8.828 , 9.133 , 9.710 
603,, 4.403 , 5.227 , 3.333 , 1.708 , 0.878 
604,, 7.354 , 6.670 , 6.824 , 5.268 , 5.861 
605,, 4.428 , 7.611 , 7.347 , 5.603 , 5.556 
608,, 8.614 , 9.153 , 9.578 , 11.175 , 10.514 
609,, 4.862 , 7.650 , 7.290 , 9.648 , 12.824 
610,, 6.539 , 7.343 , 7.656 , 9.732 , 9.277 
