tract,percent_detached_2016,percent_detached_2015,percent_detached_2014,percent_detached_2013,percent_detached_2012,percent_detached_2011
101,,3,1.3,1,2.4,2.5
102.01,,6.7,9,7.2,6.8,6.5
102.02,,4.8,4,6.6,7,10.5
103,,5.1,4.9,4,3.3,3.3
104,,5.6,5.8,5.1,6.9,6.9
105.01,,5.6,3.2,2.1,2.2,1.3
105.02,,1.2,1.8,1.7,1.4,2
105.03,,2.6,3.4,4.1,4.4,4.1
106,,5.9,6,4.9,5.9,3.5
107.01,,11.4,14.1,14.6,17.4,16.5
107.02,,5.9,7.6,6.2,5.9,9.3
201,,7.9,9.2,8.4,9.6,8.6
202,,63,60.4,62,57,50.8
203.01,,23.7,27,25.5,29.7,28.6
203.02,,36.8,33,35.9,34.1,29.8
204,,11.4,11.5,14.6,12.9,15.6
205,,3,3.1,3.3,2.5,3.3
206.01,,20.7,19.1,20,23.6,24.8
206.02,,18,16.4,20,17.4,27.7
207.01,,40.4,44.2,44.8,55.1,53.3
207.02,,14.9,13.8,15.1,15.4,11.4
208.01,,12,17.4,18.1,16.6,17.1
208.02,,13.5,12.5,14.4,18.4,24.2
209.01,,1.5,1.8,2.3,1.5,2.8
209.02,,2.8,2.8,2.2,2.1,3.9
301.01,,0.8,1.9,1.8,1.8,1
301.02,,6,5.3,3.4,3.1,3.5
301.03,,2.1,2,1.9,2.7,1.6
301.04,,0,0,0,0,0
302,,18.6,20.1,22.2,20.6,22
303,,11.2,9.8,12.3,13.7,13.2
304,,13.9,15.2,17.9,18,18.9
305,,5.1,6.9,8.8,7.5,8.5
306.01,,1.5,3.3,3.5,3.3,2.1
306.03,,2.3,1.8,2.6,0.7,0.6
306.04,,0.4,0,0,0,0
307.01,,2.9,2.5,2.8,3.1,2.7
307.02,,0.5,1.9,1.2,1.5,0.9
307.03,,3.3,3.5,1.6,0.8,0.7
307.06,,0.7,0.3,0.3,0.4,0.4
308,,15.1,11.3,10.9,16.2,17.9
309,,14.5,14.7,16.3,13.2,17
310,,12.5,12.6,10.7,14.9,13.8
311,,8.4,4.7,5.6,3.1,2.1
312,,1.6,1.3,2,1.1,0.7
313,,0,0.5,0.9,1.1,1.4
314,,3.1,3.7,2.5,2.6,1.4
315.01,,0.7,0.7,0.3,0,0
315.02,,3.4,2.9,2.7,1.7,2.9
317,,2.7,3.9,4.5,5,4.6
318,,4.6,4.9,7.1,14.3,15.6
319,,10,8.4,5.7,6.3,6.8
321,,7.7,2.5,2.4,1.1,1.4
401,,24.6,22.8,24.8,25.3,23.4
402.01,,9,8.5,8.8,9.4,9.7
402.02,,4.8,3.9,5,5.8,6.8
403,,42.9,40.1,36.2,37.1,33.6
404.01,,22.2,22.1,23.3,19.1,25.8
404.02,,10,12.3,5.9,4.9,5.3
406,,17.7,15.3,16.6,15.5,16.6
407,,12.3,14.7,13.9,11.9,10.7
408,,11.7,10,12.3,12.2,13.5
409,,12.6,12.3,18.3,15.3,17
501,,22.8,20.8,19.4,16.4,18.4
502,,33.6,30.8,26.1,30.2,29.2
503,,28.3,31.1,32.3,36.6,35
505,,17.4,16.8,21,21.9,23.2
506,,14.7,12.1,11.9,13.6,14.8
507,,22.2,14.6,19.5,9.9,18.5
508,,27.5,30.8,31.2,30.4,29.2
509,,16.7,21.5,21.5,21.9,23.2
510,,23.3,19,19.2,15,12
511,,16.3,17.9,14.2,13.4,12.7
512,,28.7,25.1,24.2,23,30
513,,36.3,36.3,31.6,37.3,40.7
514,,15.1,17.6,20.2,18.8,19.3
601,,18.3,19.7,18.2,15.8,18.7
602,,14.1,17.4,15,12.3,10.5
603,,30.5,34.7,31.4,29.5,30.6
604,,13.4,13.2,17.3,16.4,19.4
605,,9.8,8.9,10.3,11.8,10.7
608,,0,0.6,0.4,0.4,0.4
609,,2.4,3.1,2,0.3,0.3
610,,1.4,0.9,1.9,2.4,2.2
611,,4.9,4,5.6,3.2,2.9
612,,9.8,10.4,11.9,11.8,9.8
615,,6.6,6.7,6.4,4.7,2.2
618,,1.4,1.5,1.5,0,0
619.01,,2.1,1.6,1.9,1.7,1.9
619.02,,1.9,1.3,1.7,0.7,1
620,,3.7,5.1,4.7,4.9,3.7
621,,2.3,2.5,2.8,3.2,1.7
622,,2.9,4,6.4,5.8,5
623,,23.2,26.2,24.5,24.4,28.3
624,,11.2,12,14,18.8,20.6
625,,11.9,8.7,7.9,10,6.8
