tract,median_rent_2016,median_rent_2015,median_rent_2014,median_rent_2013,median_rent_2012,median_rent_2011
101,,875,861,841,786,756
102.01,,1019,1001,954,959,899
102.02,,931,963,927,925,907
103,,846,884,848,888,886
104,,936,926,892,890,868
105.01,,834,801,810,770,777
105.02,,883,851,814,789,769
105.03,,653,656,689,663,721
106,,875,891,892,874,852
107.01,,1052,1022,962,951,907
107.02,,926,912,890,888,875
201,,988,991,1029,1053,987
202,,986,1089,982,961,980
203.01,,801,823,838,836,836
203.02,,994,955,929,979,1156
204,,1020,1046,974,982,967
205,,904,874,958,960,1005
206.01,,1011,1050,1046,1054,990
206.02,,965,965,982,937,955
207.01,,1111,1147,1254,1319,1261
207.02,,1014,929,968,888,954
208.01,,970,949,957,950,905
208.02,,1007,1027,1018,1028,989
209.01,,1089,1065,1016,1040,965
209.02,,859,875,845,827,837
301.01,,852,817,783,797,794
301.02,,798,780,782,763,760
301.03,,845,814,776,658,660
301.04,,859,912,877,829,818
302,,934,1048,1053,972,1041
303,,883,863,855,859,846
304,,822,818,793,772,823
305,,1225,1183,1141,1004,963
306.01,,885,851,806,731,746
306.03,,763,783,756,759,756
306.04,,957,930,934,925,874
307.01,,782,743,734,720,691
307.02,,971,963,974,973,923
307.03,,799,762,754,763,682
307.06,,941,950,963,968,926
308,,1183,1225,1170,1153,1130
309,,1235,1270,1244,1208,1115
310,,1131,1018,994,969,957
311,,966,984,1018,1005,962
312,,527,484,470,496,493
313,,825,817,775,724,718
314,,1098,1175,1123,1109,1070
315.01,,689,754,756,721,730
315.02,,644,611,584,662,633
317,,808,791,752,711,642
318,,981,867,851,830,749
319,,1073,1056,1024,981,962
321,,999,952,940,871,853
401,,971,964,938,906,918
402.01,,1078,1075,1093,1076,1019
402.02,,909,932,908,941,946
403,,1139,1103,1181,1202,986
404.01,,1042,1074,1036,1039,1040
404.02,,1086,1088,1041,991,989
406,,1115,1104,1056,979,975
407,,1159,1206,1180,1197,1055
408,,1228,1256,1212,1167,1142
409,,1017,994,941,921,894
501,,1334,1309,1230,1218,1166
502,,1150,1127,1059,980,1050
503,,1171,1144,1072,1076,1035
505,,1507,1450,1386,1323,1283
506,,1515,1325,1353,1386,1366
507,,1487,1486,1490,997,1091
508,,1468,1484,1556,1624,1430
509,,1444,1335,1205,1166,1067
510,,1356,1343,1396,1385,1327
511,,1250,1200,1159,1206,1255
512,,1398,1356,1313,1473,1354
513,,1694,1600,1475,1383,1330
514,,1345,1226,1167,1146,970
601,,1237,1223,1213,1157,1134
602,,1110,1124,1043,1081,1033
603,,1353,1404,1462,1334,1375
604,,1372,1360,1344,1284,1281
605,,493,830,888,831,836
608,,1412,1335,1196,1219,1175
609,,1119,1110,1047,1001,979
610,,1752,1487,1416,1334,1198
611,,1577,1575,1539,1535,1666
612,,1637,1649,1736,1710,1606
615,,1711,1570,1592,1504,1284
618,,1129,1100,1088,1045,1032
619.01,,1096,1053,997,942,926
619.02,,1198,1062,1016,977,998
620,,1214,1182,1189,1168,1157
621,,1492,1561,1491,1526,1500
622,,1653,1665,1642,1541,1488
623,,1758,1685,1645,1696,1502
624,,1764,1799,1720,1621,1565
625,,1599,1496,1394,1395,1313
626,,1321,1306,1336,1278,995
627,,1281,1219,1228,1247,1327
628,,1735,1740,1708,1650,1638
629,,1580,1699,1647,1690,1528
630,,1211,1183,1175,1129,1133
631,,1285,1175,1179,1169,1100
632,,1131,1085,1062,1061,1037
633.01,,987,1020,943,973,969
633.02,,1214,1207,1165,1155,1121
633.03,,2768,2250,2250,1504,1687
634,,1176,1379,1244,1156,1119
701.01,,1099,1075,1055,1058,1014
701.02,,1058,1035,893,893,896
701.03,,1219,1168,1139,1134,1105
702,,1277,1225,1209,1197,1059
703,,1605,1573,1586,1563,1547
704,,893,975,1099,1006,902
705,,1459,1500,1471,1634,1645
706,,1869,1863,1852,2250,1900
707,,1418,1341,1118,986,935
710,,1643,1567,1550,1551,1673
711,,1536,1703,1793,1690,1619
712,,1652,1641,1643,1554,1473
713,,1232,1164,1213,1172,1177
714,,1303,1289,1247,1179,1148
715,,1534,1459,1470,1393,1358
716,,1875,1688,1576,1672,1733
717,,1683,1625,1566,1565,1487
718,,1118,958,935,948,1077
801,,1544,1594,1482,1393,1393
802.01,,1361,1396,1349,1303,1206
802.02,,1357,1356,1302,1326,1271
803,,1732,1731,1650,1446,1438
804,,499,485,499,403,352
810,,985,1086,1051,1050,1017
811,,1389,1271,1222,1206,1273
812.01,,1626,1528,1433,1380,1339
812.02,,1470,1515,1484,1434,1493
813,,1632,1556,1441,1237,1201
814.01,,1572,1446,1341,1409,1203
814.02,,1793,1732,1623,1515,1483
814.03,,1787,1723,1689,1659,1605
815,,1846,1835,1819,1750,1757
816,,1957,1950,1893,1828,1772
817,,1844,1785,1697,1570,1490
818,,1932,1956,1978,1917,1859
819,,1514,858,614,1569,1628
901,,994,974,964,938,973
902,,1161,1101,1165,1021,1011
903,,1326,1380,1311,1245,1183
1001,,1009,1027,968,958,997
1002,,1041,1109,1120,1094,985
1003,,1291,1300,1140,1065,1074
1004,,1268,1380,1375,1330,1137
1005,,2250,2250,2250,1685,1581
1006,,987,1038,973,1007,1101
1007,,1613,1724,1288,963,893
1101,,996,1006,1031,1051,1036
1102,,954,898,861,874,877
1103,,894,886,875,913,769
1104,,1081,995,1041,1023,979
1105.01,,963,962,937,1005,942
1105.02,,976,962,917,872,855
1201,,944,711,856,1031,648
1202,,874,872,846,833,815
1203,,999,959,964,905,901
1204,,1162,1208,1103,1059,958
1301,,416,413,414,395,386
1302,,1270,1313,1185,1128,1000
1303,,1036,1047,1035,1052,1044
1401,,969,919,919,922,877
1402,,908,934,851,830,815
1403.01,,827,865,838,880,917
1403.02,,920,915,879,861,826
1404,,860,963,975,947,905
1405,,987,940,935,900,848
1406.01,,950,954,988,1028,965
1406.02,,960,958,945,968,953
1407.01,,980,995,899,818,843
1407.02,,871,894,889,922,872
1408,,993,960,939,874,913
1502,,858,932,893,901,889
1503,,1106,1056,1020,1012,1034
1504.01,,959,996,1012,1061,1033
1504.02,,1005,975,960,968,953
1505.01,,994,1015,1331,1289,1253
1505.02,,956,917,988,1027,1001
1506,,944,949,959,878,940
1507,,997,975,887,866,848
1508,,971,927,895,915,879
1510.01,,950,1002,1041,1040,1052
1510.02,,881,921,926,906,844
1511,,958,1006,899,900,853
1512,,834,861,849,864,875
1601,,1114,1115,1180,1150,1121
1602,,848,903,937,921,895
1603,,807,797,782,784,801
1604,,944,920,884,939,899
1605.01,,1033,1002,1017,1031,972
1605.02,,1003,1026,974,924,913
1606.01,,962,955,991,1041,1065
1606.02,,960,957,932,953,960
1607,,1087,1127,1077,1069,1008
1608,,1112,1069,1075,1040,1006
1609,,882,860,878,901,858
