tract,percent_vacant_2016,percent_vacant_2015,percent_vacant_2014,percent_vacant_2013,percent_vacant_2012,percent_vacant_2011
101,,15.9,17.9,15.9,17.7,17.5
102.01,,12.9,16.3,13.8,15.4,13.8
102.02,,16.7,13.5,13.1,12.1,10.6
103,,16.1,17.3,17.4,16.8,16.6
104,,15,15.7,17.1,14.3,15.8
105.01,,10.7,12.7,12.9,12.9,11
105.02,,19.3,19.9,15.5,13.8,15.6
105.03,,13.7,18.8,13.8,16.3,17.5
106,,5.7,4.1,3.6,9.4,13.6
107.01,,8.9,7.8,5.3,7.8,6.7
107.02,,14.2,18.3,18.6,18.3,18.1
201,,13.5,12.3,11.1,8.1,12.5
202,,6,10,8.4,7.4,3.8
203.01,,11.5,10.2,12.2,15,16.3
203.02,,7.4,8.6,12.1,13.8,13.4
204,,6.6,9.3,8.7,8.5,7.7
205,,15.7,14.7,12.7,12,11.9
206.01,,11.7,15.3,18.3,18.1,19.8
206.02,,12.3,9.9,8.4,9.4,5.2
207.01,,17.9,13.6,10.9,6,3.5
207.02,,13.8,9.8,8.3,7.1,7.3
208.01,,12.8,14.2,12.8,10.2,9.3
208.02,,14.9,15.4,17,13.9,12.9
209.01,,21.2,18.5,16.5,13.7,8
209.02,,10,11.9,12.4,16.3,16.9
301.01,,11.6,11.6,7.4,10.2,10.7
301.02,,18.8,17,6.7,4.9,2.4
301.03,,10.8,4.9,2.2,0,0
301.04,,8.5,5.7,8.2,10.8,8.9
302,,11.7,12,7.4,6,5.7
303,,8.1,9.8,11.3,11.4,12.2
304,,8.2,8.6,8.1,5.8,5.3
305,,11.1,10.7,11.3,12.3,9.1
306.01,,13.1,17.9,21.2,17.5,15.1
306.03,,17.2,17.2,13.3,16.7,12.4
306.04,,12.4,10.4,12.9,13.3,11.9
307.01,,3.4,3.7,2.1,0,0
307.02,,15.1,15.2,11.9,12.8,13
307.03,,12.9,10.8,12.2,8.8,9.8
307.06,,8.9,8,13.2,9.5,10.8
308,,12.3,8.3,12.9,10.5,6.6
309,,5.7,2.9,5.7,9,12.6
310,,11.2,12.2,17.8,17.2,15.3
311,,4.5,8.8,10.5,12.9,10
312,,16.1,17.3,16.8,15,15.4
313,,3.4,4,5.1,7.6,9.3
314,,9.5,8.4,5.9,3.6,3.1
315.01,,14.3,16.9,18.8,19.4,18.9
315.02,,9.7,7.7,8,4.7,2.7
317,,10.5,11.9,10.5,7.6,7.5
318,,4.8,5.8,5.2,5,3.4
319,,4.6,2.7,3.6,2.6,3.3
321,,11.1,8.3,6.9,7.5,7.1
401,,10.9,15.8,13.5,14.5,12.8
