tract,percent_black_2016,percent_black_2015,percent_black_2014,percent_black_2013,percent_black_2012,percent_black_2011
101,,0.369946420,0.388636906,0.449684294,0.465039706,0.487795503
102.01,,0.455803016,0.500494141,0.464598141,0.453495261,0.409748892
102.02,,0.281250000,0.319744205,0.315911731,0.342980055,0.326809453
103,,0.242883001,0.276034122,0.255564716,0.259381716,0.240687679
104,,0.122330872,0.130021142,0.145291862,0.147974414,0.131306734
105.01,,0.270523847,0.310623858,0.293501048,0.370463079,0.398004988
105.02,,0.169352476,0.133333333,0.135106383,0.133967789,0.145539906
105.03,,0.075480769,0.079892280,0.080860215,0.103431840,0.085964060
106,,0.259225374,0.285429142,0.350705442,0.321757322,0.250339315
107.01,,0.176544136,0.158134820,0.166370784,0.168470241,0.158957322
107.02,,0.193879527,0.204209329,0.215942029,0.213508378,0.195413374
201,,0.305206463,0.282957393,0.370396939,0.353691640,0.374022346
202,,0.122098282,0.045723421,0.059029896,0.124197641,0.172813801
203.01,,0.064371840,0.053445314,0.051213453,0.055711423,0.048785684
203.02,,0.136921817,0.116749086,0.116304829,0.069741282,0.092337083
204,,0.152279770,0.175360969,0.158219178,0.168351752,0.119365399
205,,0.171039006,0.170719520,0.174222369,0.146237266,0.123886640
206.01,,0.057819905,0.051664925,0.052463988,0.014123072,0.067528517
206.02,,0.094091904,0.079229644,0.098168871,0.096130145,0.088095238
207.01,,0.009785933,0.080824089,0.077604167,0.071580064,0.057942058
207.02,,0.034724882,0.025753158,0.015355805,0.016300027,0.072453862
208.01,,0.028571429,0.041223404,0.010631645,0.043246227,0.036823105
208.02,,0.059270112,0.074414505,0.048407116,0.096502936,0.155535104
209.01,,0.215427658,0.206263714,0.150475480,0.144607843,0.113150815
209.02,,0.175932611,0.186174017,0.185733216,0.183846497,0.169955157
301.01,,0.205646277,0.200160987,0.188586252,0.186874012,0.180975743
301.02,,0.228125000,0.195872801,0.198323122,0.241478178,0.175771208
301.03,,0.148274393,0.132707775,0.137043966,0.220627326,0.242424242
301.04,,0.121594494,0.153470716,0.165723982,0.197765363,0.211351968
