tract,percent_hispanic_2016,percent_hispanic_2015,percent_hispanic_2014,percent_hispanic_2013,percent_hispanic_2012,percent_hispanic_2011
101,,0.1156843643,0.1088565290,0.1205603788,0.1121441023,0.1126273304
102.01,,0.2752801217,0.2217986729,0.2475396391,0.2457049763,0.2524372230
102.02,,0.2643229167,0.2629896083,0.2512582269,0.2338678138,0.2156573117
103,,0.1610992266,0.1551585385,0.1520197857,0.1401884609,0.1727156956
104,,0.0832169228,0.0959830867,0.1097145292,0.1377398721,0.1353177116
105.01,,0.0609851446,0.0498564344,0.0416666667,0.0533166458,0.0718204489
105.02,,0.1491356578,0.1566395664,0.1553191489,0.1439726696,0.1384976526
105.03,,0.1663461538,0.1678635548,0.1470967742,0.1367969495,0.1097620204
106,,0.2712717292,0.2633195148,0.2480564354,0.2571827057,0.2931684512
107.01,,0.3853463366,0.4191586417,0.4478823231,0.4254795868,0.3641707130
107.02,,0.4677513074,0.5032233599,0.5141304348,0.5265158058,0.5343996917
201,,0.1323416261,0.1225563910,0.1068866571,0.2068403909,0.1298882682
202,,0.1006933976,0.0930455635,0.0649786455,0.1041946559,0.0752528257
203.01,,0.0886814469,0.0671883947,0.1207720237,0.0997995992,0.1124840222
203.02,,0.1809250921,0.1900666523,0.1564023039,0.1595050619,0.1579282530
204,,0.1932270916,0.2233348859,0.2385844749,0.1163884317,0.1727524553
205,,0.2607870211,0.3197868088,0.3165122435,0.2916529740,0.2848582996
206.01,,0.1025276461,0.1467821413,0.1889310083,0.2333189220,0.2161216730
206.02,,0.2407002188,0.2586543150,0.3087487284,0.2950456002,0.3000000000
207.01,,0.1259938838,0.1415742208,0.1395833333,0.1288441145,0.1633366633
207.02,,0.1733690795,0.1333819242,0.1399500624,0.1856612775,0.1501025290
208.01,,0.3023109244,0.3034131206,0.3852407755,0.3971291866,0.4142599278
208.02,,0.1501065530,0.1772853186,0.1625982623,0.2172984517,0.2651853800
209.01,,0.3011590727,0.2559345701,0.2711169122,0.2592787115,0.2736192436
209.02,,0.1174488568,0.1029797378,0.1093197880,0.1329763498,0.1394618834
301.01,,0.1929144755,0.2176012879,0.2186770428,0.2509225092,0.2545652766
301.02,,0.1506944444,0.1366711773,0.1776846179,0.1226505256,0.1362467866
301.03,,0.1623348956,0.1604110813,0.1669784846,0.1430090377,0.1189674523
301.04,,0.1061084026,0.0799891540,0.0839932127,0.0944134078,0.1012549914
302,,0.1661309763,0.1623056504,0.1397792958,0.1641321447,0.1221402214
303,,0.3890436397,0.4171859626,0.4128283862,0.4028268551,0.4299568966
304,,0.3199088146,0.3306000745,0.2800309000,0.3221266615,0.2357723577
305,,0.2849025974,0.2781942894,0.3134486946,0.2840961274,0.2807128213
306.01,,0.0842133052,0.1540418315,0.0861470495,0.0853808354,0.0996714129
306.03,,0.0858864892,0.0629882813,0.0715967970,0.0868196131,0.0864356012
306.04,,0.0329896907,0.0307328605,0.0272727273,0.0189556509,0.0126715945
307.01,,0.1295758280,0.0490196078,0.0496705525,0.0678059537,0.0359281437
307.02,,0.0171585450,0.0191780822,0.0143042913,0.0180180180,0.0213645762
307.03,,0.0840643275,0.0581620783,0.0614503817,0.0715055695,0.0753373313
307.06,,0.0684740078,0.0823699422,0.1515423780,0.1051671733,0.1146496815
308,,0.1226053640,0.1234960272,0.1500000000,0.1149911032,0.1108033241
309,,0.1675031368,0.1627689429,0.2101250381,0.1876823339,0.1622131405
310,,0.1307550645,0.1453719478,0.1556867620,0.1944692239,0.2086419753
311,,0.2246119734,0.1648936170,0.1492431410,0.1592834665,0.2429328622
312,,0.0977681217,0.1261316872,0.1134698478,0.1381246491,0.1032950759
313,,0.0949204720,0.1166644571,0.1078627687,0.0964715766,0.0857313255
314,,0.1067657411,0.0973384030,0.1012269939,0.1111317599,0.0688082114
315.01,,0.0454421024,0.0574344023,0.0569105691,0.1282121378,0.1583549988
315.02,,0.0695306680,0.1673506612,0.1787290380,0.1522169438,0.1595744681
317,,0.1247398156,0.1511111111,0.1264472882,0.1275357995,0.1141726290
318,,0.2112117780,0.1980198020,0.1724915445,0.2109589041,0.1998901702
319,,0.1355357899,0.0959660297,0.0990316901,0.0900554844,0.0750000000
321,,0.1037222304,0.1145263780,0.1044776119,0.0927142649,0.1281606704
401,,0.2148331273,0.1813406703,0.2223858616,0.2098490473,0.2088951975
402.01,,0.2112765283,0.1727199354,0.1547807713,0.1949109415,0.1887384412
402.02,,0.1996765182,0.1563293977,0.1914612676,0.1999405381,0.1545935134
403,,0.1009615385,0.1031626506,0.0833005894,0.0872210953,0.1320528211
404.01,,0.1937520771,0.1914668547,0.1978537894,0.2600755668,0.1400560224
404.02,,0.2036890123,0.1637949372,0.1455653351,0.2315998237,0.2348615917
406,,0.1695103858,0.1378539493,0.1617240016,0.2390282132,0.2496171516
407,,0.2154892108,0.2618550552,0.2440025253,0.2273737695,0.1934392966
408,,0.0916844350,0.0848484848,0.0458663647,0.0895080024,0.0885064536
409,,0.0529739777,0.0906515581,0.1596136155,0.1824853229,0.1698011822
501,,0.1696567863,0.1546134663,0.1235340109,0.1234150465,0.0770270270
502,,0.1822179732,0.2173828125,0.2854889590,0.2268431002,0.2400083700
503,,0.2329365079,0.2084957132,0.1592256025,0.1409161491,0.0854591837
505,,0.0996210070,0.1066169618,0.0774404304,0.0839147287,0.0776211624
506,,0.0826655420,0.0994200497,0.0834998002,0.0993843448,0.0811413286
507,,0.0491493384,0.0467769538,0.1001344086,0.1278992710,0.1045871560
508,,0.1093525180,0.0728801682,0.0607857672,0.1046770601,0.1220930233
509,,0.0763260026,0.0680722892,0.0334549878,0.0326583932,0.0562148657
510,,0.1943947525,0.1583850932,0.1341070277,0.1032171582,0.1005025126
511,,0.1671251719,0.1566186107,0.1663695781,0.1016077170,0.0775144138
512,,0.1271393643,0.1088348271,0.1116564417,0.0742514970,0.0478110599
