tract,tot_pop_2016,tot_pop_2015,tot_pop_2014,tot_pop_2013,tot_pop_2012,tot_pop_2011
101,,4106,4189,5068,5163,5203
102.01,,7229,7083,7316,6752,6770
102.02,,2304,2502,2583,2557,2708
103,,6077,6213,6065,6049,6282
104,,5011,4730,4694,4690,4737
105.01,,3837,3831,3816,3995,4010
105.02,,3413,3690,3760,4098,3834
105.03,,2080,2228,2325,2098,2059
106,,6558,6513,6946,7170,6631
107.01,,3999,3946,3943,4066,3913
107.02,,5163,5274,5520,5789,5189
201,,3899,3990,4182,3684,3580
202,,6634,6255,6556,6699,6724
203.01,,5142,5239,5233,4990,4694
203.02,,4886,4651,4514,4445,4711
204,,4518,4294,4380,4253,3971
205,,5794,6004,6044,6086,6175
206.01,,6330,6697,6595,6939,6575
206.02,,4113,4102,3932,4057,4200
207.01,,1635,1893,1920,1886,2002
207.02,,7833,8232,8010,7546,7315
208.01,,4760,4512,4797,5434,5540
208.02,,7508,7942,7251,7492,7606
209.01,,5004,5013,5363,5712,6319
209.02,,4155,4195,4528,4482,4460
301.01,,3613,3727,3855,3794,3669
301.02,,2880,2956,3101,3139,3112
301.03,,2347,2238,2138,1881,1782
301.04,,3487,3688,3536,3580,3506
302,,4978,5274,5709,5721,5420
303,,3231,3049,2931,2830,2784
304,,2632,2683,2589,2558,2706
305,,6160,6269,6588,6533,6341
306.01,,3788,3538,3169,3256,3652
306.03,,1991,2048,2123,2223,2337
306.04,,2910,2961,2860,2796,2841
307.01,,1721,1734,1973,1814,1837
307.02,,1457,1460,1538,1554,1451
307.03,,2736,2579,2620,2783,2668
307.06,,3578,3460,3339,3290,3297
308,,4176,4405,4200,4496,4693
309,,3188,3207,3279,3085,3181
310,,3801,3522,3218,3363,3240
311,,4510,4136,4228,4131,4528
312,,5063,4860,5323,5343,5402
313,,7796,7543,7491,7142,6707
314,,5114,5260,5216,5381,5261
315.01,,3653,3430,3321,3658,4231
315.02,,4027,4386,4532,5052,4888
317,,6726,6525,6564,6704,6569
318,,1766,1717,1774,1825,1821
319,,2361,2355,2272,2343,2320
321,,6797,6767,6968,6849,6921
401,,4045,3998,4074,4041,4227
402.01,,6314,6195,5679,5895,6056
402.02,,6801,6691,6816,6727,6999
403,,2912,2656,2545,2465,2499
404.01,,3009,2836,2982,3176,2856
404.02,,5042,4701,4431,4538,4624
406,,2696,2684,2529,2552,2612
407,,3383,3353,3168,3149,2957
408,,1876,1815,1766,1687,1627
409,,2152,2118,2174,2044,1861
501,,2564,2406,2558,2366,2220
502,,5230,5120,5072,4761,4779
503,,2520,2566,2531,2576,2352
505,,5541,5365,5204,5160,5179
506,,2371,2414,2503,2274,2243
507,,1587,1753,1488,1509,1635
508,,1390,1427,1349,1347,1376
509,,1546,1660,1644,1531,1601
510,,1677,1610,1551,1492,1393
511,,1454,1526,1683,1555,1561
512,,1636,1562,1630,1670,1736
513,,2794,2953,2730,2749,2924
514,,1873,2174,2373,2247,2398
601,,2675,2596,2582,2566,2851
602,,2088,2126,1835,1927,1864
603,,3248,3176,3270,3103,3190
604,,3848,4003,4162,4157,4163
605,,1242,1235,1157,1160,1152
608,,4980,4840,4834,4841,4727
609,,6849,6758,6557,6395,6098
610,,1774,1716,1672,1757,1757
611,,1442,1309,1253,1135,1203
612,,2122,2235,2296,2214,2081
615,,1843,1859,2028,1896,1878
618,,1179,1130,1145,1066,985
619.01,,3842,3785,3767,3773,3834
619.02,,4015,4045,3891,3992,4403
620,,3003,2897,2762,2650,2631
621,,3595,3372,3313,3215,3236
622,,2697,2987,3085,2941,2926
623,,1611,1716,1668,1638,1681
624,,1517,1622,1709,1819,1850
625,,1383,1342,1246,1335,1408
626,,2317,2281,2272,2330,2238
627,,2860,2757,2696,2665,2541
628,,3500,3792,3630,3561,3541
629,,4217,4176,4278,4284,4429
630,,3160,3055,3275,3393,3469
631,,2454,2399,2384,2390,2166
632,,6942,6580,6142,6344,6517
633.01,,2637,2626,2418,2484,2298
633.02,,4219,4186,4040,3830,3962
633.03,,1166,1157,1275,1224,1282
634,,1958,2158,2070,1943,1907
701.01,,4086,3988,4131,3963,4084
701.02,,2745,2656,2355,2328,2292
701.03,,1629,1679,1795,1850,1701
702,,4136,3937,4142,4124,3955
703,,3426,3383,3408,3303,3359
704,,3415,3440,3500,3275,3252
705,,3137,3022,3147,3037,3045
706,,3218,3083,2834,2905,2960
707,,4221,3983,3673,3116,2973
710,,4116,4277,4095,4032,4277
711,,2861,2932,2971,2880,2948
712,,2118,2016,2091,2055,1957
713,,3471,3414,3556,3604,3749
714,,4579,4357,4666,4571,4557
715,,5807,5710,5562,5487,5481
716,,1666,1715,1702,1849,1786
717,,1819,1813,1784,1785,1733
718,,2714,2670,2606,2643,2449
801,,7078,6657,6446,6112,5767
802.01,,3297,3235,3463,3420,3488
802.02,,3664,3533,3521,3386,3178
803,,4733,4480,4496,4322,4303
804,,5053,4907,4469,4579,4772
810,,7367,7427,7811,7744,7508
811,,3766,3657,3652,3465,3384
812.01,,4392,4552,4551,4102,3852
812.02,,3005,3221,3268,3079,2925
813,,5232,5053,4994,4978,5308
814.01,,2477,2516,2360,2512,2497
814.02,,4758,4389,4072,4112,4033
814.03,,7443,7004,6786,6528,5682
815,,4418,4400,4196,4074,4031
816,,3359,3177,3385,3192,3341
817,,3234,3607,3225,3006,2814
818,,7325,7488,7243,6721,6375
819,,1048,1152,1297,1193,1293
901,,3266,3262,3122,3178,3408
902,,6767,6406,6331,6642,6342
903,,1323,1325,1431,1363,1485
1001,,5285,5666,5989,5960,5983
1002,,6424,6605,7024,7188,7049
1003,,5783,6029,6209,6024,6250
1004,,3061,3027,2961,3025,3122
1005,,5617,5156,5162,5659,5866
1006,,5125,5254,4938,4694,4505
1007,,4788,4749,4705,4631,4501
