tract,percent_white_2016,percent_white_2015,percent_white_2014,percent_white_2013,percent_white_2012,percent_white_2011
101,,0.4456892353,0.4187156839,0.3433307024,0.3002130544,0.2698443206
102.01,,0.2127541845,0.2448115205,0.2200656096,0.2200829384,0.2389955687
102.02,,0.3546006944,0.2973621103,0.3790166473,0.3734845522,0.3559822747
103,,0.4553233503,0.4394012554,0.4361088211,0.4673499752,0.4821712830
104,,0.6918778687,0.6579281184,0.6450788240,0.5936034115,0.6081908381
105.01,,0.5952567110,0.5627773427,0.5757337526,0.4986232791,0.4591022444
105.02,,0.5230002930,0.5197831978,0.5364361702,0.5361151781,0.4866979656
105.03,,0.5384615385,0.5628366248,0.6073118280,0.5805529075,0.6716852841
106,,0.4162854529,0.4056502380,0.3489778290,0.3326359833,0.3819936661
107.01,,0.3335833958,0.3438925494,0.3319807253,0.3413674373,0.4055711730
107.02,,0.2576021693,0.2072430793,0.2108695652,0.2200725514,0.2447485065
201,,0.3185432162,0.3533834586,0.3089430894,0.3132464712,0.3391061453
202,,0.5357250528,0.6573940847,0.6543624161,0.5508284819,0.5373289709
203.01,,0.7242318164,0.7665585035,0.7131664437,0.7833667335,0.7752449936
203.02,,0.5286532951,0.5196731886,0.5757642889,0.6139482565,0.5586924220
204,,0.4701195219,0.4392175128,0.4424657534,0.5335057606,0.5535129690
205,,0.2568173973,0.2490006662,0.2415618795,0.2691422938,0.2547368421
206.01,,0.5837282780,0.5460654024,0.5557240334,0.5326415910,0.5017490494
206.02,,0.3053732069,0.3266699171,0.2527975585,0.2395859009,0.3330952381
207.01,,0.5522935780,0.5467511886,0.5489583333,0.6346765642,0.5074925075
207.02,,0.5019788076,0.4812925170,0.4348314607,0.3870924993,0.4005468216
208.01,,0.4149159664,0.4270833333,0.3906608297,0.3733897681,0.3740072202
208.02,,0.2903569526,0.2586250315,0.2463108537,0.2911105179,0.2604522745
209.01,,0.2416067146,0.2774785558,0.2545217229,0.2303921569,0.2574774490
209.02,,0.5085439230,0.5094159714,0.4633392226,0.4636323070,0.4318385650
301.01,,0.4641572101,0.4735712369,0.4479896239,0.4372693727,0.4494412646
301.02,,0.4475694444,0.5142083897,0.4688810061,0.4619305511,0.4559768638
301.03,,0.4823178526,0.5120643432,0.5565949486,0.5582137161,0.5196408530
301.04,,0.5053054201,0.4793926247,0.4943438914,0.4932960894,0.4865944096
302,,0.7599437525,0.7072430793,0.7081800666,0.6717357105,0.6547970480
303,,0.3840916125,0.3689734339,0.3725690890,0.3558303887,0.3674568966
304,,0.4597264438,0.4718598584,0.4986481267,0.5070367475,0.5458240946
305,,0.5717532468,0.5701068751,0.5180631451,0.5132404715,0.5152184198
306.01,,0.5337909187,0.5144149237,0.5203534238,0.4966216216,0.4471522453
306.03,,0.3556002009,0.3710937500,0.3612812058,0.3499775079,0.3667094566
306.04,,0.5134020619,0.5079365079,0.5045454545,0.4992846924,0.4593453010
307.01,,0.4770482278,0.4959630911,0.4181449569,0.4801543550,0.4725095264
307.02,,0.7295813315,0.7616438356,0.7652795839,0.6859716860,0.8097863542
307.03,,0.6323099415,0.6444358278,0.6572519084,0.6442687747,0.6581709145
307.06,,0.5466741196,0.5488439306,0.4929619647,0.5562310030,0.5210797695
308,,0.6281130268,0.6311010216,0.6107142857,0.6254448399,0.6957170254
309,,0.5893977415,0.5799812909,0.5925587069,0.6434359806,0.6369066331
310,,0.6745593265,0.6493469620,0.6783716594,0.6743978591,0.6601851852
311,,0.6374722838,0.6755319149,0.6239356670,0.5344952796,0.5165636042
312,,0.4538810982,0.4471193416,0.3943265076,0.3784390792,0.3419104036
