tract,median_age_2016,median_age_2015,median_age_2014,median_age_2013,median_age_2012,median_age_2011
101,,36.6,34.4,32.4,32.5,31.5
102.01,,31.8,32.2,30.6,31,30.9
102.02,,37.8,40.2,41,41.4,41.3
103,,40.1,39.6,39.4,38.1,38.6
104,,25.4,25.6,26.5,29.3,28.5
105.01,,37.8,38,37.2,34,33.2
105.02,,28.5,28.8,27.4,26.5,30.3
105.03,,43.4,35,34.1,31,27.6
106,,34.5,35.9,34.1,35,34.4
107.01,,34,34.1,35.6,34.6,34.5
107.02,,32.1,32.3,30.9,29.9,30.8
201,,36.1,36.3,34.7,40.7,37
202,,39.1,40.3,40.8,38.4,39
203.01,,42.4,42.4,40.4,40.5,40.8
203.02,,40.9,41.2,41.3,40.8,40.3
204,,38.6,36.8,38.5,39.2,39.8
205,,32,33.3,33.1,33.4,33.7
206.01,,33.7,31,29.7,28.6,28
206.02,,34.6,34.8,35.4,34.8,37.6
207.01,,40.9,38.8,39.2,39.7,39.9
207.02,,32.7,32.5,35.3,33.2,35.9
208.01,,39.8,42,40.2,40,40.2
208.02,,33.4,33.1,34.4,33,30.7
209.01,,30.7,30.5,31.3,30.9,30.8
209.02,,37.9,39.5,36.8,37.8,39.4
301.01,,45,43.7,43.6,43.2,42.3
301.02,,39.8,40.2,45.7,36.9,35.3
301.03,,33.1,32.4,32.3,33.6,33.1
301.04,,21.9,21.9,22.4,21,21.5
302,,39.6,37.3,33.3,33.3,36.2
303,,35.5,35.7,35.9,34.4,34.8
304,,34,34.7,35.6,34.6,34.3
305,,35,35.3,35.5,35.8,35.5
306.01,,41.8,44.5,41.9,41.6,41.7
306.03,,30.4,30.9,32.1,31.6,31.2
306.04,,41.7,44.3,41.6,38.9,37.7
307.01,,36.5,36.8,36.6,37.3,35.8
307.02,,50.4,50.3,52,43.9,48.7
307.03,,37.4,38.6,37.5,38.8,40.1
307.06,,47.6,48.2,44.1,46.1,44.1
308,,38.8,38.9,36.8,36.5,36.3
309,,37.7,37.8,37.8,37.6,37.3
310,,35.9,37.3,38.4,35.5,35.3
311,,38.1,38.5,38.6,38.1,36.3
312,,39.1,43.9,41.5,41.2,40.2
313,,44.9,44.7,43.2,41.6,41.6
