tract,percent_vehicle_carpool_2016,percent_vehicle_carpool_2015,percent_vehicle_carpool_2014,percent_vehicle_carpool_2013,percent_vehicle_carpool_2012,percent_vehicle_carpool_2011
101,,7.209612817,10.61946903,12.98701299,10.80517313,10.96014493
102.01,,8.202281838,9.102322662,12.1886121,12.68564356,13.63905325
102.02,,2.561576355,3.849679193,3.084832905,2.196836555,6.25
103,,14.39917127,15.18253156,10.18131102,8.850150855,7.40625
104,,6.463124504,6.751054852,9.460025115,10.04784689,7.826086957
105.01,,2.529898804,1.373626374,0,1.364605544,1.817395067
105.02,,8.545727136,10.79812207,10.76774505,7.928730512,10.03633061
105.03,,6.291079812,5.146406389,2.431118314,6.926829268,5.339805825
106,,5.122674575,4.567741935,3.1075028,6.102810838,8.049946865
107.01,,6.611570248,5.323383085,7.310344828,10.47745358,10.49522944
107.02,,8.180799402,8.424219631,10.15373615,12.76452805,12.89982425
201,,10.03989362,9.594755662,10.52944676,11.27777778,7.797619048
202,,14.46991404,5.637533106,5.006954103,6.304868316,6.933744222
203.01,,12.28836701,14.61852068,7.447413303,8.083140878,8.42985843
203.02,,11.121673,12.71529889,18.07825656,19.9807877,23.1427285
204,,7.966260544,9.381947532,9.47037702,11.34883721,13.34691798
205,,8.633733867,11.41238365,9.000414766,8.961538462,7.238508867
206.01,,8.330206379,7.418397626,6.91318328,9.817444219,8.957161402
206.02,,6.264916468,3.645833333,6.803519062,14.24164524,10.08287293
207.01,,10.90909091,8.313539192,8.951965066,9.403669725,10.67761807
207.02,,18.58232833,16.86349904,13.03816794,16.1700807,9.195816805
208.01,,12.97679906,17.48800698,15.90062112,17.7729416,18.31140351
208.02,,9.616997484,12.10540763,8.569477637,14.57269322,12.89218483
209.01,,8.97943038,10.23405232,9.2039801,4.876190476,4.473684211
209.02,,14.71571906,11.49295775,12.36730361,11.99351702,8.866995074
301.01,,3.852002027,4.113763332,2.087286528,3.711235384,6.970912738
301.02,,7.756563246,8.412887828,4.65631929,4.434993925,2.489626556
301.03,,15.07268554,10.65088757,8.975521306,15.12770138,11.71950048
301.04,,8.051420839,7.509627728,9.110947832,8.116883117,4.516129032
302,,6.868222149,7.03022339,8.066971081,7.84856879,6.594456833
303,,12.5,10.74737492,8.263933376,7.165913493,9.556527171
304,,4.36746988,5.316091954,5.454545455,4.545454545,5.612594114
305,,7.336287543,7.704199948,9.805950841,9.525012633,7.591553061
306.01,,0.563909774,0.686740623,1.521984216,4.002106372,4.093264249
306.03,,14.29980276,12.22664016,10.86587436,13.99176955,10.37527594
306.04,,4.836829837,7.791509941,7.751091703,8.624338624,6.027667984
307.01,,6.881243063,4.786680541,3.180542563,3.076923077,2.711157456
307.02,,2.192982456,8.610271903,11.6966581,11.72069825,9
307.03,,5.90121873,2.313432836,3.773584906,3.487544484,2.396053559
307.06,,4.587155963,4.810996564,4.394012554,4.550499445,0
308,,6.258381761,7.512116317,7.891491985,8.03906837,7.102272727
309,,3.51039261,9.345794393,9.760858956,9.437559581,12.26172076
310,,7.492236025,7.108239095,8.935788056,7.873376623,10.35892776
311,,5.899326707,6.732740943,16.47058824,17.28571429,13.57098186
312,,3.995345229,7.897286822,7.830188679,5.718954248,6.986899563
313,,1.556629093,2.228786251,2.421109902,2.235649547,2.081447964
314,,2.333427045,2.368493528,3.33707235,3.910768383,5.472222222
315.01,,7.058823529,5.627962085,5.672902836,9.050527485,5.305466238
315.02,,1.361256545,1.163873371,2.049910873,1.424614167,1.583011583
317,,8.719052745,7.774227902,7.358131958,5.003679176,4.512040558
318,,6.456953642,6.028368794,7.136859782,7.04467354,6.736657918
319,,3.758389262,3.948264125,4.581245526,2.123672705,1.962025316
321,,5.12692882,3.742661448,4.162833487,2.653562654,2.98154283
401,,4.502721425,6.179499755,4.839482511,3.743315508,4.275011018
402.01,,5.851619645,5.4138322,6.112253894,5.557171952,4.57334077
402.02,,13.66104601,12.30041396,13.84793293,11.38641425,10.93005766
403,,8.910891089,9.128065395,10.92043682,10.36639857,9.511111111
404.01,,1.634877384,1.618705036,2.860347729,5.717552887,4.638218924
404.02,,4.246284501,6.713109563,7.177974435,8.930323847,6.251860673
406,,2.380952381,2.197802198,3.055229142,4.386451971,3.417366947
407,,3.496821072,2.21819828,3.301435407,4.724409449,2.819738167
408,,3.703703704,6.15530303,4.651162791,7.709011944,7.924107143
409,,3.633916555,5.52799433,5.49756437,9.572153735,6.030534351
501,,0.654761905,1.954397394,1.971014493,3.401797176,2.700877785
502,,3.969128997,4.420084866,8.921533501,10.0952381,9.875141884
503,,5.551794177,6.801346801,5.924479167,7.482108003,8.713410483
505,,9.666961391,9.573170732,8.023914412,10.53140097,11.11797406
506,,3.498190591,5.512820513,6.286379511,3.457814661,3.291639236
507,,8.586762075,13.04700162,4.01119403,3.431839847,7.130124777
508,,6.953642384,4.680365297,3.703703704,3.708281829,2.628434886
509,,4.61192351,4.675876727,5.452562704,9.261300992,12.39130435
510,,8.946322068,10.64676617,9.475620975,10.89385475,7.980769231
511,,8.402489627,3.627906977,8.503100089,5.476864967,5.140186916
512,,5.342741935,4.903846154,2.545454545,2.867072111,1.324503311
513,,4.945652174,4.40386681,6.916426513,7.801017524,8.442265795
514,,8.268059182,5.966930266,7.414829659,6.527777778,4.727793696
601,,3.002832861,3.629257398,7.494145199,8.086904043,8.558030481
602,,5.073995772,5.328467153,3.198127925,3.659447349,3.961136024
603,,3.776223776,3.774464119,3.985341273,3.809086737,4.04040404
604,,7.680779318,9.945155393,9.742999616,12.22264009,11.20491174
605,,2.898550725,1.432664756,3.074670571,5.607476636,9.627329193
608,,3.541448059,3.487124464,4.272108844,4.438040346,3.612673971
609,,1.821688813,1.70212766,2.266163075,3.094112591,3.121565179
610,,1.120448179,4.596834966,4.838709677,5.872888174,6.722054381
611,,3.964757709,5.93385214,9.262948207,11.2568306,10.37639878
612,,5.041480536,4.95049505,3.393797542,4.187192118,4.787961696
615,,6.768558952,7.50182083,7.717897538,7.214428858,4.542462146
618,,6.067961165,6.557377049,6.836616454,10.17811705,8.549222798
619.01,,4.569989205,5.551387847,7.148120855,6.054131054,2.653580516
619.02,,0.767165324,0,0.592885375,0.601956358,1.75090849
620,,1.614205004,2.665520206,3.289770167,5.733944954,7.291185971
621,,1.927353595,3.054003724,5.508982036,7.73006135,9.285992977
622,,8.89540567,9.797151489,8.340318525,7.071960298,7.536606374
623,,8.304195804,7.975986278,9.272727273,9.722222222,10.90225564
624,,5.247813411,6.057945566,5.383360522,6.298003072,5.584512286
625,,3.510531595,3.465851172,6.288032454,7.203389831,13.39901478
626,,6.429652042,4.695919938,6.877897991,6.937631395,5.984690327
627,,7.119205298,9.289617486,9.521061743,9.203142536,9.347345133
628,,8.92,8.502633559,8.941176471,5.891848265,5.222672065
629,,3.331238215,3.234069805,3.430909663,3.147268409,3.715266937
630,,1.614205004,3.869905311,4.974338729,5.67651633,5.439814815
631,,1.287995878,2.216216216,1.58281515,3.239978034,3.892215569
632,,4.95094684,7.360774818,7.004470939,4.897551224,5.738916256
633.01,,1.586402266,2.032308494,1.448467967,1.189189189,1.117942985
