tract,percent_pub_trans_2016,percent_pub_trans_2015,percent_pub_trans_2014,percent_pub_trans_2013,percent_pub_trans_2012,percent_pub_trans_2011
101,,38.76279484,31.53237075,38.65800866,40.84272007,43.88586957
102.01,,33.30249769,30.79096045,29.98220641,32.2710396,30.50295858
102.02,,42.75862069,43.81301558,48.24335904,49.38488576,44.28571429
103,,42.33425414,46.1276015,44.35146444,40.83137781,38.84375
104,,45.91593973,40.80168776,36.29133529,33.77192982,31.80124224
105.01,,51.19595216,54.25824176,52.60215054,45.54371002,49.8052791
105.02,,49.02548726,54.56442358,49.68614196,52.33853007,47.13896458
105.03,,35.8685446,33.89529725,35.89951378,38.14634146,35.9223301
106,,45.4569965,46.52903226,45.52071669,43.02355027,40.51540914
107.01,,28.19640253,26.41791045,27.08045977,29.0893015,27.39663789
107.02,,37.69144565,38.20985333,34.6800143,27.14141753,32.72407733
201,,24.1356383,20.67938021,18.73884593,20.77777778,18.0952381
202,,13.18051576,15.05864548,12.89986092,9.696727853,8.513097072
203.01,,12.23375205,10.42516016,11.59749858,12.12471132,10.23166023
203.02,,21.15019011,19.70618034,13.76919267,13.16042267,12.38181
204,,21.13402062,20.98710538,18.13285458,17.34883721,15.8430973
205,,14.7752559,15.0951032,18.33264206,22.23076923,22.29460731
206.01,,16.96060038,23.10830861,23.35209003,18.74239351,23.88576374
206.02,,23.62768496,26.21527778,19.64809384,16.40102828,15.46961326
207.01,,7.792207792,5.106888361,4.694323144,8.486238532,5.441478439
207.02,,10.31257691,13.21065641,20.18320611,20.57728119,17.41795889
208.01,,16.75186787,12.03663323,10.80745342,14.94377947,17.14181287
208.02,,21.0232038,24.89706286,21.74803687,22.13142663,19.9087279
209.01,,25.07911392,16.42955484,14.09618574,16.19047619,19.27631579
209.02,,32.55295429,28.84507042,25.42462845,17.99027553,20.85385878
301.01,,61.32792701,52.61554088,56.26185958,49.51703101,47.29187563
301.02,,49.10501193,52.08830549,56.98447894,56.31834751,64.78956728
301.03,,49.04361132,54.94505495,55.84768812,56.77799607,49.37560038
301.04,,49.05277402,40.50064185,36.29684056,39.04220779,34.11290323
302,,37.39730529,41.81997372,38.44748858,36.90366267,36.12615483
303,,22.9638009,26.49783817,25.04804612,32.47256294,25.92129919
304,,38.40361446,33.11781609,31.51515152,30.75757576,25.39356605
305,,42.41752831,39.70626127,35.88615783,37.74633653,37.26276397
306.01,,53.52443609,46.01162176,45.03945885,48.13059505,48.86010363
306.03,,54.73372781,58.94632207,53.3106961,49.79423868,46.28403238
306.04,,52.97202797,51.26276196,48.0349345,43.96825397,49.45652174
307.01,,71.03218646,64.82830385,69.78484565,61.02564103,64.02502607
307.02,,37.57309942,39.57703927,40.48843188,29.80049875,17.625
307.03,,47.46632457,49.02985075,50.94339623,47.61565836,44.82029598
307.06,,50.21728634,52.18458517,54.22501207,42.78579356,53.62068966
308,,27.93920429,29.52342488,30.16851624,31.5176559,37.60653409
309,,34.08775982,30.51401869,25.42703758,23.35557674,24.31736218
310,,35.36490683,32.55250404,32.15087562,33.64448052,35.2567015
311,,46.26482847,46.7874231,39.5751634,36.14285714,36.05378361
312,,44.99612102,42.68410853,43.30188679,46.36437908,43.27113934
313,,49.43639291,48.25456498,43.14472252,42.87009063,45.15837104
314,,43.46359292,41.8892867,43.7745373,41.77912421,42.75
315.01,,48.03921569,44.84597156,42.48642124,43.92004442,41.05037513
315.02,,50.94240838,51.72253259,52.18360071,51.80055402,52.8957529
317,,40.87728741,44.11608094,42.65544393,42.11429973,45.39923954
318,,48.09602649,46.9858156,45.92779177,43.12714777,35.17060367
319,,43.08724832,41.25255276,39.94273443,38.22610868,36.83544304
321,,45.17172723,42.17221135,46.98712052,49.21375921,49.52673923
401,,22.26620485,24.42373713,26.35361763,25.52260574,24.19568092
402.01,,35.91954023,34.86394558,33.14722304,33.16846087,38.81762409
402.02,,18.31951986,19.33767002,14.94651633,16.73162584,17.57332665
403,,18.28382838,20.50408719,16.53666147,19.66041108,20.53333333
404.01,,35.64032698,40.64748201,41.16657319,37.79302459,35.12677798
404.02,,47.28541098,45.21849272,41.95345788,34.41282303,40.27984519
406,,36.12078978,37.53614806,34.13631022,41.25485841,45.43417367
407,,43.00635786,44.77138977,42.58373206,43.49235757,42.69889225
408,,37.98670465,37.31060606,40.16913319,38.32790445,43.63839286
409,,47.30820996,40.39688164,31.80236604,32.41479333,32.67175573
501,,38.51190476,41.3029316,43.65217391,49.55070603,43.88926401
502,,29.5847115,31.32956153,32.60480115,27.73333333,25.38781687
503,,26.33716994,23.97306397,25.390625,19.90891347,22.05582029
505,,33.48069555,26.15853659,24.60667086,20.1610306,21.52563311
506,,45.65741858,46.08974359,44.12107101,46.61134163,46.41211323
507,,40.8765653,36.06158833,39.55223881,36.41563394,36.45276292
508,,34.8785872,35.95890411,26.17283951,26.57601978,27.71804062
509,,25.42182227,23.27311371,22.02835333,23.15325248,18.15217391
510,,23.65805169,20.19900498,22.53909844,20.8566108,22.5
511,,32.67634855,28,25.59787422,31.3503305,40.28037383
512,,38.60887097,40.96153846,31.27272727,27.54126846,25.35477767
513,,19.13043478,16.21911923,14.98559078,14.07574901,20.15250545
514,,19.06005222,14.37814522,15.16366065,15,14.11174785
601,,31.04815864,33.72417644,27.69320843,33.1925166,31.94607268
602,,41.71952079,39.05109489,42.90171607,40.62733383,39.53662182
603,,45.03496503,41.98508854,37.65460376,36.34694814,30.63973064
604,,40.35219183,42.04753199,38.97199847,39.26288078,35.41826554
605,,34.63768116,38.39541547,42.75256223,45.01557632,48.75776398
608,,48.95068206,49.75858369,50.0952381,50.14409222,44.95114007
609,,50.2571796,52.31914894,53.83248167,57.0691878,56.60584744
610,,51.68067227,52.22305953,56.12903226,57.92437651,56.11782477
611,,54.62555066,48.05447471,42.62948207,39.89071038,40.38657172
612,,55.83918315,52.35148515,49.97074312,51.53940887,41.79206566
615,,47.59825328,41.29643117,42.98070526,46.89378758,45.02962475
618,,49.51456311,53.21563682,57.3580533,53.4351145,62.95336788
619.01,,57.68261965,55.92648162,50.07369197,49.60826211,57.83351509
619.02,,53.31799003,51.81818182,47.66798419,48.00601956,40.99768748
620,,56.13397902,57.26569218,56.15141956,52.3853211,54.36086756
621,,58.74722016,58.2867784,53.17365269,54.60122699,49.55130706
622,,45.25904203,44.66983168,37.63621123,33.91232423,32.47200689
623,,46.85314685,43.22469983,41.27272727,45.09259259,51.12781955
624,,51.89504373,49.07813872,45.84013051,33.33333333,34.32613552
625,,40.8224674,39.04179409,40.6693712,34.53389831,34.58128079
626,,30.48411498,30.25404157,26.27511592,25.50805886,27.97494781
627,,38.24503311,38.30601093,34.73744951,36.02693603,32.6880531
628,,32.88,37.0579383,39.1372549,43.38175948,40.36437247
629,,43.93463231,43.51585014,45.57758892,44.71496437,49.82828598
630,,53.47054076,53.60230548,51.55941571,45.80093313,49.11265432
631,,60.53580629,62.05405405,63.70830978,62.49313564,62.5748503
632,,54.55167693,54.30992736,55.91157476,55.39730135,58.44827586
633.01,,60.05665722,61.28191767,58.05013928,53.89189189,57.29457798
633.02,,58.28843106,57.27475326,61.5409729,60.14319809,59.53969313
633.03,,23.02158273,39.89983306,50.91819699,58.36653386,55.67765568
634,,55.93548387,55.07507508,53.76555337,54.16036309,54.62184874
701.01,,46.19498149,44.18604651,40.80774085,37.81802501,39.18154114
701.02,,51.52065365,50.11753644,51.67958656,56.51709402,55.74043261
701.03,,44.6842526,45.75163399,47.81021898,46.93737096,53.72460497
702,,55.87344329,52.93482175,51.40419481,52.17233888,43.10993976
703,,49.50768019,52.61396905,50.56,49.97878659,45.527766
704,,45.93933464,45.44095665,46.16604971,45.23946913,44.36741768
705,,34.62972829,34.14634146,32.59817106,33.27664399,35.02178649
706,,34.8733234,33.11458859,32.85101822,27.41251326,25.67069963
707,,22.00634417,20.1135442,20.08714597,23.16831683,25.89703588
710,,34.81481481,34.78062157,33.64442371,33.33333333,36.15571776
711,,50.69667738,44.22187982,45.48774126,47.62443439,49.25124792
712,,38.96296296,36.81550126,35.47599675,34.34343434,33.74485597
713,,46.47031323,43.99447768,39.01581722,40.7249467,41.32
714,,48.60186418,49.16424419,44.31075971,47.22778891,47.43758213
715,,47.51442521,47.14389009,47.38595592,47.46652665,44.92903226
716,,37.7562028,33.29798515,39.51367781,41.18602762,40.8557047
717,,41.98071867,42.88480155,42.8702011,40.54054054,35.83333333
718,,34.21575116,30.17182131,30.55954089,30.45387994,32.0668693
801,,31.41923436,28.66226461,31.49862397,27.81385281,29.64315819
802.01,,38.87587822,39.05472637,40.82114205,41.10772358,38.08882907
802.02,,34.96062992,35.68019093,39.39393939,35.47056618,41.50417827
803,,42.64874142,47.59470836,52.46094901,46.44702842,40.5971068
804,,40.45164458,40.92721834,41.37554585,45.21452145,53.712036
810,,29.48777111,29.82416077,29.67645168,33.16062176,32.58020786
