tract,percent_percent_walked_2016,percent_percent_walked_2015,percent_percent_walked_2014,percent_percent_walked_2013,percent_percent_walked_2012,percent_percent_walked_2011
101,,21.31731197,20.3539823,14.06926407,11.34751773,11.1865942
102.01,,13.22849214,12.24105461,10.20166074,9.251237624,8.076923077
102.02,,13.20197044,22.82309808,16.70951157,17.04745167,21.875
103,,10.98066298,9.075400887,12.0292887,11.16325846,11.09375
104,,25.61459159,25.69620253,25.82670573,24.72089314,23.97515528
105.01,,15.63937443,11.53846154,11.1827957,13.9445629,9.389874513
105.02,,18.69065467,13.98017736,15.0651859,13.40757238,11.0808356
105.03,,21.50234742,25.90949423,24.23014587,22.53658537,22.23300971
106,,16.09598274,12.8516129,13.94176932,18.23246391,16.17959617
107.01,,19.54302382,15.2238806,16.45977011,12.20159151,10.63153112
107.02,,18.45349272,19.21775103,17.94780122,17.06415855,13.91915641
201,,5.585106383,7.985697259,9.280190363,5.222222222,8.988095238
202,,9.885386819,14.56678017,12.23922114,14.96408619,13.13559322
203.01,,9.229929001,9.085614444,8.129619102,7.967667436,8.301158301
203.02,,8.840304183,6.129685917,8.122833086,6.147934678,8.509680324
204,,9.981255858,8.626056025,9.33572711,9.76744186,8.711156393
205,,22.96395194,25.29340348,22.89506429,21.11538462,15.96091205
206.01,,21.08818011,21.43916914,16.03697749,15.69979716,11.03418434
206.02,,21.24105012,21.875,20.99706745,24.2159383,15.10128913
207.01,,7.272727273,8.194774347,6.659388646,3.899082569,6.36550308
207.02,,12.60152597,10.73880802,7.694656489,7.945375543,5.625676163
208.01,,6.96028313,2.224160488,3.80952381,5.223068553,4.312865497
208.02,,17.24909142,13.06615427,9.354728576,7.763023493,9.26982316
209.01,,15.9414557,18.81597063,23.79767828,25.79047619,19.24342105
209.02,,7.525083612,11.32394366,10.93418259,8.806050783,12.31527094
301.01,,12.51900659,19.70543423,15.13282732,17.43772242,13.74122367
301.02,,10.56085919,7.219570406,4.21286031,2.369380316,5.038529935
301.03,,18.05661821,17.58241758,14.68721668,11.29666012,8.261287224
301.04,,24.01894452,30.03851091,30.56576047,26.05519481,30.32258065
302,,15.1495235,14.58607096,14.94672755,15.48168667,14.17648933
303,,12.66968326,14.20630019,18.96220372,16.33311814,12.74203623
304,,17.2439759,21.3362069,18.18181818,13.78787879,16.35865845
305,,14.94337765,17.88198918,17.54204398,15.58868115,11.76156108
306.01,,7.04887218,8.188061278,11.61217587,11.69036335,17.20207254
306.03,,12.82051282,15.60636183,17.82682513,20,22.73730684
306.04,,9.207459207,8.543793659,12.22707424,14.70899471,13.38932806
307.01,,6.326304107,15.29656608,15.3414406,15.17948718,14.181439
307.02,,7.748538012,10.42296073,7.197943445,9.351620948,13.125
307.03,,19.75625401,17.6119403,14.64150943,19.64412811,19.23890063
307.06,,6.422018349,5.154639175,6.953162723,8.435072142,7.068965517
308,,21.32320072,22.09208401,23.55117139,20.96168295,19.46022727
309,,26.42032333,24.53271028,21.27867252,23.73689228,20.91705307
310,,18.20652174,22.33441034,18.23080377,14.36688312,12.76692413
311,,19.01250401,17.97676008,15.8496732,18.21428571,18.85553471
312,,10.70597362,15.21317829,14.90566038,17.27941176,16.11750695
313,,18.22329576,17.45435016,18.49836779,17.67371601,12.91101056
314,,13.97244869,16.60699532,13.85305665,13.46736436,15.5
315.01,,18.62745098,23.63744076,22.9933615,20.2665186,21.22186495
315.02,,22.30366492,22.57914339,18.31550802,19.15314602,16.94980695
317,,20.47900969,20.79339723,21.77572631,20.99583027,15.56400507
318,,7.781456954,8.156028369,5.541561713,5.326460481,7.961504812
319,,12.14765101,13.95507148,11.52469578,9.494066209,10.37974684
321,,16.99850672,19.9853229,17.45630175,18.05896806,18.24420256
401,,11.67738743,9.514467876,8.960229995,10.84103063,12.20802115
402.01,,15.8045977,16.52494331,14.25213047,12.42362525,10.42944785
402.02,,9.145470134,8.249556475,11.65076612,11.30289532,17.9242918
403,,7.98679868,6.948228883,11.07644306,9.025915996,9.866666667
404.01,,12.31607629,6.714628297,6.169377454,7.60434534,10.63698207
404.02,,7.249014255,9.848005066,9.537856441,10.86032058,10.38999702
406,,15.09872242,18.27646038,18.09635723,17.26818434,11.8767507
407,,15.98546776,14.57673155,13.97129187,10.74571561,10.12084592
