tract,percent_bachelors_2016,percent_bachelors_2015,percent_bachelors_2014,percent_bachelors_2013,percent_bachelors_2012,percent_bachelors_2011
101,,37.81664656,36.11348452,31.79688088,26.18294844,28.0418687
102.01,,26.8043088,28.55858661,29.76033803,31.05221204,31.39571793
102.02,,31.73527879,30.10979228,28.73497397,30.70566038,24.64628959
103,,32.66780757,33.69241089,32.57482325,32.38906157,31.62487728
104,,45.35014636,45.31950935,41.26470867,41.32818505,37.50141276
105.01,,49.58920188,48.18666667,51.00472695,46.25595032,47.84466019
105.02,,34.39553219,35.04118003,33.54427614,31.16956522,34.95235294
105.03,,38.82175227,31.99663394,34.82075472,35.53367089,36.34323365
106,,42.97690015,44.99173705,39.10652788,42.27142857,41.38335189
107.01,,41.94214876,39.728,38.07174858,47.24846888,49.84405286
107.02,,35.9223301,37.58299894,34.42666831,31.35020369,32.5561609
201,,36.03953406,35.35535532,32.80017182,32.60684211,34.94077633
202,,44.07172996,47.34920354,43.98072289,44.43756648,43.23322218
203.01,,51.83008282,47.31996839,44.06660492,46.30966317,45.25719361
203.02,,45.62223954,44.26334746,43.36918829,40.6767691,35.68802251
204,,38.76221498,41.57375691,38.65555221,42.86598513,37.21845693
205,,32.02004099,26.00486202,22.49502762,25.36875,24.91816627
206.01,,30.67905331,32.61038595,29.69247432,30.40222756,27.49666828
206.02,,38.38215712,40.15064634,38.53819113,38.26947123,39.53990385
207.01,,40.43887147,44.16854664,40.20062026,40.47172312,36.8748499
207.02,,27.98388451,25.61580537,28.14342061,26.48434,28.43091476
208.01,,29.93092863,33.92599725,28.41646357,26.04573805,26.64315938
208.02,,37.95264624,40.11949422,41.84325926,35.10291087,29.31766595
209.01,,36.68327796,35.72755454,31.06291731,25.28219345,26.51503132
209.02,,26.46341463,28.96002387,21.81207039,15.38561269,18.66490838
301.01,,57.421644,52.23570392,53.75960396,49.07261657,49.13542822
301.02,,47.14391691,44.56611661,40.10242818,47.41719188,43.14829016
301.03,,42.70221419,43.32160612,38.85427848,36.54365079,41.97080474
301.04,,25.75891541,21.83815419,19.83762172,16.22485329,15.24604186
302,,58.76600698,60.2972475,60.66129032,56.63644628,54.07504252
303,,29.1232136,32.32686567,34.673293,31.70860404,31.54041127
304,,45.93705965,46.36391185,50.73032167,49.69962825,53.6472973
305,,57.16216216,59.05070039,57.33512845,58.98634927,57.38955392
306.01,,46.49884259,43.65732839,46.89710633,48.81851852,47.96717203
306.03,,44.50483092,40.65764294,40.70176018,39.67903975,34.68123275
306.04,,53.25842697,54.08953614,54.56201117,59.40225794,64.53296089
307.01,,36.03960396,47.860841,41.6147541,41.34318456,37.51233965
307.02,,62.32193732,58.0540103,61.73692946,64.81136364,53.76484716
307.03,,62.0355412,61.28123142,59.39987659,57.55444148,54.26885502
307.06,,46.49423496,51.51115663,52.14485007,55.3681592,60.1525302
308,,68.08628319,65.81339333,64.65166155,64.39954166,66.06075949
309,,56.68202765,57.30663857,56.67799145,57.3807594,60.33622047
310,,66.46134894,69.21838117,65.10144578,59.86092328,61.64293405
311,,55.39961941,63.29501312,57.95618901,53.9779098,56.14531133
312,,38.01762115,30.26070935,28.9664042,31.98005482,26.73418858
313,,43.53358982,44.49692308,42.0023719,43.83351029,44.18094595
314,,75.61581453,73.41540785,72.97803077,69.29883721,70.13012821
315.01,,44.05258096,40.63078704,41.99635158,34.97862595,29.64145937
315.02,,38.74593316,35.88915528,37.68245614,37.08350305,38.31927346
317,,50.3628692,51.80945499,50.90706127,51.26792673,49.37055785
318,,64.59016393,64.75217678,66.4056266,65.36958466,64.11603103
319,,66.38983879,66.49815175,56.7986166,60.63061621,58.82195728
321,,65.91784339,61.85783874,64.92162119,61.78553821,58.84254743
401,,46.80468047,45.17111383,42.54913414,40.50178625,43.57729563
402.01,,53.64124186,55.02004736,52.17747654,47.46991258,47.06603099
402.02,,34.00143164,35.42923133,35.61277179,34.27262104,34.00323916
403,,50.25948104,49.39535604,52.81049645,50.37451468,47.66330935
404.01,,63.00648298,58.13731538,61.01958719,56.90447463,51.23627329
404.02,,69.46292776,70.82909278,67.80899046,63.39000521,64.10307769
406,,65.55904805,65.78771051,67.96026428,63.8483886,61.18588764
407,,62.90821588,60.06358921,59.88230687,60.32760979,57.62425629
408,,63.48387097,62.8,64.49568197,60.67068607,54.56449788
409,,73.14225053,67.1681672,65.03856764,63.25825083,58.92311321
501,,68.19029851,69.31125255,74.1214565,69.71877238,68.79558511
502,,53.62853629,51.83394319,52.14059939,57.44763564,57.70580726
503,,58.8028169,53.50156709,50.61060676,55.58207059,56.20977215
505,,68.23827047,68.58222117,68.32277778,70.52138035,68.54143172
506,,70.69383794,67.80704225,67.21945946,60.82871386,66.45888325
507,,79.16030534,70.76338125,74.38776306,69.27488152,64.84373112
508,,74.72826087,77.65939982,76.67324723,75.67354839,74.42227273
509,,68.10572687,72.49485714,75.40526763,78.49491525,83.26423358
510,,68.86645963,65.71183801,70.4529549,67.1471564,67.54560531
511,,71.96581197,74.94003215,67.79322278,72.89504573,74.47605322
