tract,percent_high_school_2016,percent_high_school_2015,percent_high_school_2014,percent_high_school_2013,percent_high_school_2012,percent_high_school_2011
101,,92.24969843,94.39711922,86.63810164,83.90504834,83.22236448
102.01,,77.10951526,79.87624464,80.89464789,83.66381028,82.48646631
102.02,,83.94997394,82.12586548,83.78121155,83.01198113,77.79447964
103,,75.98402738,75.78010732,76.5717989,79.36485356,81.96966425
104,,99.45958118,98.18242991,96.64102321,95.12626335,93.06114905
105.01,,92.04812207,93.51333333,92.91009982,90.00912767,88.17799353
105.02,,85.67674113,80.63585477,82.7167492,82.53695652,81.21682353
105.03,,81.52064451,83.27798036,81.98207547,83.40962025,86.76887988
106,,85.52533532,86.73441058,87.00396965,85.25714286,88.76391982
107.01,,77.82369146,77.83796552,74.89421598,79.93174185,82.14700102
107.02,,75.1246392,76.22312566,73.18042354,67.59376947,70.30068737
201,,86.33956936,84.76586195,83.11893471,80.48831579,84.85472713
202,,89.43037975,88.13256637,85.237751,84.66111466,85.28065861
203.01,,91.26369223,90.8,90.50497486,90.86979569,90.28667851
203.02,,85.19095869,82.78122352,78.07266703,78.0275444,76.74426581
204,,85.81581285,89.0718232,86.6614204,87.12091078,87.93784503
205,,76.38351173,74.32628121,71.51469613,72.640625,73.51790981
206.01,,81.75182482,78.26068951,75.27795891,75.73714785,79.13399324
206.02,,83.05592543,85.05913159,79.1705802,75.90518789,78.95120192
207.01,,87.61755486,89.6868402,90.40661613,93.30324006,95.16370914
207.02,,74.41665268,75.63525168,76.45912955,77.29682394,77.79707431
208.01,,75.05755948,82.52674003,76.86785066,78.44365904,78.72670428
208.02,,81.19777159,81.61850611,76.42222222,74.55843428,76.75412206
209.01,,85.10520487,84.36383467,77.6713662,74.24609184,74.41461378
209.02,,87.16463415,91.57267303,88.2222711,83.89655361,85.49278179
301.01,,95.29863986,89.58142235,90.6049505,88.96914167,89.73659889
301.02,,92.76706231,93.14664466,91.68570451,91.47461485,94.82967185
301.03,,89.6068685,89.45181644,88.45205063,91.57783447,91.65720524
301.04,,95.66755084,95.84265616,94.24240189,94.63752934,97.17206551
302,,94.76135041,95.69604186,95.86589862,95.96878099,94.23703231
303,,81.61452298,82.18557214,84.83915298,81.9071993,85.01779169
304,,87.64678253,86.69779614,87.60085147,80.62230483,82.53135135
305,,86.29343629,85.75653696,83.85912464,86.79237493,87.49764728
306.01,,93.80787037,90.860235,91.65497981,90.51481481,90.25275371
306.03,,94.20289855,96.22957993,95.89383938,97.66907589,96.10358786
306.04,,95.88014981,94.92772384,95.07374302,96.31687715,96.97988827
307.01,,84.55445545,92.0695138,92.04959016,90.01236429,91.51875382
307.02,,98.5042735,97.64944812,99.12614108,98.24602273,94.09090247
307.03,,94.62843296,92.18140127,89.58301111,90.6105223,91.66709652
307.06,,90.52664381,91.69174283,93.72307692,91.14925373,89.10450539
308,,93.36283186,91.31836951,91.07464395,91.9641952,91.86329114
309,,91.49237859,90.38366702,88.01741453,88.33384447,89.34431946
310,,94.33323067,93.19812964,90.15807229,88.23654096,88.07254374
311,,87.10751665,93.417979,91.43425783,88.76926816,89.86249062
312,,77.37885463,80.53590511,82.96666667,81.5455408,80.6842848
313,,89.49393312,87.54230769,85.83963813,84.134572,84.45351351
314,,95.38397847,95.44048338,95.76611282,93.55248325,94.69591346
315.01,,85.47611414,85.92430556,85.86733002,79.40534351,73.88490879
315.02,,93.07897072,90.73063842,90.10660636,91.37744399,87.41170535
317,,92.20253165,90.60074874,89.01765317,89.60143214,89.77592975
318,,87.21311475,88.24544855,90.04168798,90.33731629,89.64899806
319,,87.34733757,91.80082685,90.71126482,95.55303251,98.06294088
321,,94.52824134,91.46533666,90.86551779,89.03875103,89.34905149
401,,84.84848485,87.28653611,85.78893455,86.89788628,88.21962486
402.01,,89.99616711,86.1304262,84.71626694,80.46446432,82.7942789
402.02,,80.58339298,79.77798065,79.08719167,81.4048414,82.7223142
403,,88.62275449,91.04900487,90.82212766,90.98705824,93.1651593
404.01,,88.41166937,88.36589922,87.06971356,80.6214143,84.67387164
404.02,,96.26901141,95.42441532,87.30532396,84.49817803,83.45184909
406,,95.06061967,93.81743286,94.09131666,93.50135451,95.69033708
407,,91.68099003,94.59107884,92.79501602,90.01789057,88.35102975
408,,90.51612903,90.73043478,91.129061,89.64033264,84.20693069
409,,94.95753715,93.44003215,94.2138992,93.07343234,91.08254717
501,,94.2630597,94.84501018,97.20063539,96.92439898,95.66670213
502,,89.93849938,90.53418392,89.47471318,92.45923345,91.69041302
503,,93.20925553,94.84745348,97.67600741,97.23011765,97.73164557
505,,92.47930083,93.49573214,95.93611111,97.22730683,97.5038735
506,,97.62251334,94.68732394,95.98243243,95.92562313,97.03502538
507,,96.18320611,93.1715948,95.19875292,92.92511848,96.2973565
508,,93.20652174,94.13927626,94.62684502,95.17483871,95.47009091
509,,97.53303965,97.61428571,98.43398471,98.04237288,98.48304947
510,,96.11801242,94.13847352,96.29385692,96.49620853,97.80679934
511,,93.58974359,97.27491961,97.181615,98.47301829,99.15121951
512,,92.52728799,93.23572581,89.05271318,89.92915129,89
513,,98.72941176,99.63690103,99.5427896,99.24872152,98.04941432
514,,87.24358974,89.58942361,91.12329995,93.28105087,96.17897603
601,,98.67862199,98.81369216,98.77613852,98.56445428,97.06473829
602,,91.42538976,95.53665382,95.96816835,93.85241935,92.61138643
603,,97.64094362,98.3272654,98.50895002,98.31053902,97.96098361
604,,99.23562645,99.50624204,99.06436052,98.48454259,97.51727502
605,,81.55774396,84.40698299,85.65323336,85.7552964,88.4085354
608,,99.49583516,99.08819599,97.53572383,97.02507243,96.49869399
609,,96.84952978,95.76255401,95.98731343,97.3422318,97.83376083
610,,99.06103286,98.78170581,96.99752066,98.28615385,97.9969809
611,,98.67452135,98.62842105,98.55075503,98.7087156,98.9
612,,99.3161494,97.91295181,98.18254122,98.04359233,97.57155361
615,,96.48798521,94.22478839,97.63593577,96.95223633,97.97246782
618,,96.96412144,95.82035815,96.24200913,98.77090204,95.69989572
619.01,,97.97453704,96.48757709,95.92828253,96.38231352,95.69894149
619.02,,99.64084146,99.24289694,99.12957441,99.31931286,99.32782526
620,,99.08450704,99.1492427,99.24953846,100,100
621,,98.00178944,98.23526828,98.68256761,98.48850652,98.4457672
622,,100,98.82110701,98.7043968,98.59133829,98.39571798
623,,99.31972789,99.1116643,99.7410572,99.22341357,98.61263617
624,,97.04472843,97.3981982,96.20298932,96.04568627,94.23932292
625,,100,100,100,98.93079585,97.79871692
626,,95.02890173,95.38620283,94.49192101,93.23677455,93.38
627,,95.85647159,95.16010363,95.1534716,94.3477758,96.48917112
628,,98.18731118,98.44059064,98.33519175,97.64094133,97.22578844
629,,98.16176471,98.0053393,98.08267516,99.16614293,98.56978185
630,,97.67037552,98.7120945,98.6921363,98.78102467,97.70438813
631,,99.76905312,99.83355079,98.49259089,98.7240415,99.0568915
632,,97.68290748,98.0220777,97.66186047,96.51185567,94.81321261
633.01,,97.63965382,98.56717113,99.08072087,98.77730263,99.22228047
633.02,,99.23973644,98.5009906,98.36230024,98.39447514,99.1286131
633.03,,92.92661362,92.8601959,94.50683829,94.57140454,94.08012769
634,,98.37925446,98.75699807,99.34570858,99.51127739,99.72239214
701.01,,98.47701149,98.55958369,98.17329946,98.91341356,98.9209033
701.02,,98.03253878,98.20442478,97.76398757,97.27514713,96.41668947
701.03,,99.14586071,100,99.2855615,99.31341324,99.15730746
702,,98.52337982,98.52179634,98.04045192,97.37828668,96.02306338
703,,100,100,100,100,99.46750747
704,,90.02064694,89.95632262,90.45354195,89.45628698,91.20797814
705,,93.44138711,93.44397109,95.25339483,93.79615531,93.19954836
706,,97.05072749,97.50389718,97.93233348,98.23920973,97.37268107
707,,93.01256512,94.32050099,94.97907059,90.7492919,89.41444073
710,,99.30592632,99.51663255,99.61685133,99.88925271,100
711,,100,99.93646388,99.81913767,99.81935235,99.82349666
712,,98.42133914,95.98006993,95.31905031,95.17917808,95.14521338
713,,99.85627021,99.34673331,99.29780147,99.3284298,99.26678799
714,,96.94858241,95.90489618,94.63728324,95.62439261,94.9592791
715,,99.68021068,98.75598168,98.58791553,98.41053682,97.6606824
716,,96.19970194,97.15131579,95.07134752,96.96408629,96.76357659
717,,99.57507082,99.48327427,99.16159942,99.7223589,97.27893602
718,,98.05779252,97.09990079,96.01233831,97.40031104,97.64438085
801,,98.63144494,98.56262144,99.37614424,99.35787787,98.79470394
802.01,,96.74821926,96.43471338,94.81506517,94.03252336,96.34505495
802.02,,99.1217444,99.05723173,99.1495515,99.24418389,99.14830425
803,,99.06227459,98.81752707,99.35699482,98.60555839,97.64575294
804,,86.11453202,90.65690124,89.62153249,87.14118957,84.74724919
810,,95.32098594,94.47131103,95.98767536,95.55287447,95.85992946
811,,97.47854077,96.50229535,94.06295373,94.86879204,94.65202156
812.01,,99.57973383,99.54125746,99.28032564,99.50188964,99.4733441
812.02,,98.69517941,99.45551383,99.37992035,100,100
813,,100,100,99.71776808,99.33075648,99.44921136
814.01,,97.28468392,98.64915825,98.67659574,99.91622752,99.91467549
814.02,,98.20780399,97.43794589,97.18087855,96.97528178,98.89218501
814.03,,99.56009649,99.51664161,99.50308411,99.45044636,100
815,,100,99.61657405,99.438222,99.07056729,99.13012837
816,,100,100,100,98.99591971,97.26141885
817,,97.94212219,97.06686514,94.89488043,94.20775643,94.72906837
818,,100,100,99.82877208,99.78244622,99.43773679
819,,92.60918253,89.66941298,84.79589443,91.70632911,91.97657658
901,,91.49504195,85.49787557,85.0661442,86.68025751,88.49310861
902,,96.14661654,95.54222093,96.37008245,95.51908295,93.53442623
903,,96.05769231,94.57058824,94.09627989,96.11038251,97.33067993
1001,,86.32197415,87.13555353,88.33888048,85.51431981,85.24045905
1002,,92.39007892,94.05421509,92.1789657,92.19387755,93.33826985
1003,,90.92433452,87.89234162,88.98800852,86.12063555,88.32035693
1004,,96.18386817,95.11216566,95.40916129,93.25383959,92.36151275
1005,,95.3366697,95.00335196,91.76461303,91.25151377,88.118768
1006,,92.58064516,91.80002407,89.86903969,86.32414169,86.02425068
1007,,92.70780214,92.95978985,90.22985418,87.31764552,85.48109358
1101,,85.96763467,86.85881822,86.8623359,85.33854167,86.28436134
1102,,90.60903733,91.02055602,93.56527473,93.31949957,94.92704778
1103,,83.10417152,83.52381287,84.27553699,83.81360884,88.39989866
1104,,90.14778325,88.17482445,85.38978139,84.44922333,85.66969072
1105.01,,87.32616111,90.24280802,90.00508982,88.95921788,88.18389854
1105.02,,85.23099309,80.82825018,85.54745763,86.71259233,91.19476603
1201,,96.00145402,95.40289806,95.22494021,94.21878289,93.40391595
1202,,94.55241461,95.66680585,96.23887728,97.38486453,98.04082583
1203,,94.76623914,94.85712484,92.16818182,93.14074373,92.92951735
1204,,87.53227591,90.12392616,93.44917573,91.9220234,91.81975219
1301,,90.10404065,88.41831051,87.44213902,87.85623139,82.74519732
1302,,95.76802508,95.51718876,95.83271186,95.40406977,93.59587814
1303,,85.99022574,88.79978334,87.4159759,85.32479145,82.59474376
1401,,64.96323529,63.52326389,64.18878505,67.13348677,60.85422752
1402,,78.55147646,73.52089434,71.53291014,63.85663424,58.93649852
1403.01,,69.60227273,65.89253076,59.85174364,61.76832386,60.19702187
1403.02,,78.06471686,73.60424735,65.54600726,67.109562,63.54818288
