tract,percent_english_2016,percent_english_2015,percent_english_2014,percent_english_2013,percent_english_2012,percent_english_2011
101,,97.8,97.4,93.1,95,94.9
102.01,,91.3,92.3,93.8,96.1,92.7
102.02,,96.5,95.6,95.8,96.9,96.5
103,,92.4,93.1,92.5,93.2,91
104,,98.3,98.3,97.3,96.2,97.2
105.01,,92.9,93.2,94.6,92.7,89.8
105.02,,97.2,96.2,96.4,97.6,97.6
105.03,,80.5,83.8,86.1,87.6,87.2
106,,90.7,92.9,93.2,92.1,92.9
107.01,,91.5,92.4,93,94.8,97.3
107.02,,92.5,91.7,91.8,87.8,87.4
201,,92.3,90,87.9,83.5,87.8
202,,79.5,82.7,85.6,89.5,90.6
203.01,,82.8,84,85.3,86.1,87.5
203.02,,86.1,84.8,90,91.6,85.8
204,,88.7,88.5,89.2,89.1,90.7
205,,79.2,77,77.8,75.8,76.2
206.01,,79.4,79.5,82.3,80.9,80.5
206.02,,82.2,81.8,82.4,80.2,82.1
207.01,,80.3,79.7,83.5,88.6,79.7
207.02,,76.5,75.9,69.9,70.1,66.3
208.01,,80.5,82.9,83.8,82.7,83
208.02,,80.8,81.5,80.2,74.6,76.8
209.01,,86.2,80,74.5,73.9,75.1
209.02,,71.8,73.3,71.3,63.8,66.5
301.01,,93.5,94.2,92.4,91.5,93.2
301.02,,90.8,92.5,94.2,96.4,98
301.03,,81.2,78.2,80.5,83.3,91.2
301.04,,93.1,90.8,90,91.2,93.9
302,,95.5,97.4,98.2,96.7,95.7
303,,83.7,82.5,84,85.3,86.9
304,,87,86.7,89.7,86.9,87.5
305,,91.1,92.1,92,92.6,90.8
306.01,,91,93.8,94.2,93.9,94.6
306.03,,90.1,89.4,92.8,93,97.2
306.04,,94.4,95.1,94.9,95.6,94.5
307.01,,91.2,89.7,82.9,91.2,91.2
307.02,,82.1,82.3,83.6,87,81.6
307.03,,88.5,80.7,80.1,81.7,80.1
307.06,,89.8,90.5,94.3,88.6,86
308,,97.3,96.3,94.4,95.7,94.2
309,,91,91.1,93.7,94,95
310,,96.9,93.7,91.1,91.4,89.8
311,,92.6,92,92.8,93.2,92.9
312,,83.1,87.2,88.1,91.5,88
313,,84.8,87.2,87.7,84.4,85.5
314,,97.5,98.1,98,97,97.8
315.01,,81.1,82,84.6,83.2,81.4
315.02,,90.8,90.6,91.1,90.4,90.5
317,,93.9,96.6,95.5,95.9,95.6
318,,94,93.1,94.9,97.3,97.3
319,,94.5,97.4,98.2,99.2,99.4
321,,93.9,94.7,94.6,93.8,90.6
401,,92.2,93.1,90.7,91.6,91.9
402.01,,85.6,85.8,85.4,85.3,87.3
402.02,,72.6,74.4,77,77,77
403,,83.9,86.7,86,87.2,82.5
404.01,,87.9,89.5,89.9,86.7,85.7
404.02,,96.8,96.8,94.2,92.1,92.4
406,,97.1,96.2,97.2,97.3,95.1
407,,88.5,89.9,89.4,90.7,88.9
408,,96.2,96.5,96.7,98,98.1
409,,98.8,96.9,96.3,97.4,97.8
501,,96.8,97.4,98.1,95.3,95.5
502,,93.8,93.3,92.4,92.3,91.6
503,,92.3,93.9,97.3,97.8,98.5
505,,98.2,98.3,98.1,94.9,96.4
506,,96.6,95.1,97.3,94.7,95
507,,98.1,98.7,97.4,97,93.1
508,,93.7,94.6,96.2,98,97.6
509,,96,97.3,98,98.9,98
510,,92.7,92.6,94.5,94.3,96.7
511,,99.2,98.7,96,96.6,97
512,,99.5,98.3,96.8,97.3,95
513,,96.6,94.3,93.7,93.9,92.3
514,,97.2,98.4,96.6,95.3,95.4
601,,96.6,97.2,95.5,91.6,92.9
602,,94.8,94.9,96.2,93.9,91.9
603,,98,99,99.6,99.5,99
604,,98.9,98.8,98.9,98.4,98.5
605,,85.4,83.4,85.1,85.4,87.3
608,,96.2,96.8,96.4,94.8,95.8
609,,95.6,95.9,95.1,92.8,94.8
610,,99.7,99.9,98.6,98.7,98.8
611,,99.6,99.6,99.6,100,99.2
612,,98.9,98.4,98.4,98.4,98.2
615,,99.1,98.3,99.8,98.7,99
618,,98.3,98.9,97.9,98.4,96.7
619.01,,97.6,96,96.3,96,96
619.02,,95.6,97.4,96,95.4,95.8
620,,97.4,97.1,97.2,98.2,98.1
621,,97.3,97.6,96.2,96.6,98.9
622,,99.4,99.7,99.4,98.9,99
623,,99.6,99.7,99.7,99.7,99.7
624,,97.7,98.2,96.7,96.3,96.1
625,,99.7,99.7,99.6,99.6,100
626,,95.6,95,96,96.5,96.6
627,,97.6,98.2,98.5,97.3,98.8
628,,98.9,97.6,97.7,97.3,97.4
629,,98.5,98.6,99,99.5,99.4
630,,99.2,99.2,98.8,98.7,99.3
631,,99.6,99.5,99.3,99.1,98.8
632,,99.8,99.4,100,99,99.1
633.01,,93.1,97.5,97.7,94,93.9
633.02,,95.5,95.8,95.1,96.4,96.5
633.03,,95.9,95.8,100,100,100
634,,97.1,97.7,97.3,97.6,97.9
701.01,,99.7,99.7,99.3,98.4,97.6
701.02,,97.8,97.7,97.8,98,98.4
701.03,,100,100,100,100,98.8
702,,98.8,98.9,98.3,98.1,98.4
703,,99.8,99.7,99.7,99.6,99.2
