tract,percent_poverty_2016,percent_poverty_2015,percent_poverty_2014,percent_poverty_2013,percent_poverty_2012
101,,0.287,0.297,0.297,0.319
102.01,,0.333,0.328,0.331,0.345
102.02,,0.296,0.306,0.292,0.267
103,,0.199,0.268,0.254,0.224
104,,0.181,0.172,0.204,0.210
105.01,,0.213,0.213,0.218,0.227
105.02,,0.392,0.427,0.440,0.459
105.03,,0.383,0.394,0.381,0.365
106,,0.177,0.156,0.228,0.176
107.01,,0.149,0.144,0.068,0.083
107.02,,0.376,0.381,0.335,0.329
201,,0.203,0.184,0.306,0.192
202,,0.166,0.156,0.135,0.233
203.01,,0.110,0.073,0.064,0.053
203.02,,0.171,0.107,0.147,0.119
204,,0.187,0.124,0.102,0.109
205,,0.283,0.240,0.219,0.183
206.01,,0.217,0.207,0.218,0.266
206.02,,0.311,0.263,0.255,0.230
207.01,,0.137,0.208,0.254,0.225
207.02,,0.198,0.183,0.195,0.151
208.01,,0.217,0.175,0.249,0.243
208.02,,0.291,0.261,0.312,0.298
209.01,,0.282,0.276,0.284,0.246
209.02,,0.267,0.182,0.182,0.160
301.01,,0.210,0.241,0.223,0.239
301.02,,0.145,0.175,0.194,0.237
301.03,,0.195,0.216,0.240,0.332
301.04,,0.398,0.338,0.369,0.385
302,,0.105,0.103,0.093,0.118
303,,0.248,0.236,0.229,0.248
304,,0.278,0.258,0.207,0.181
305,,0.157,0.149,0.164,0.143
306.01,,0.214,0.312,0.271,0.268
306.03,,0.355,0.331,0.281,0.267
306.04,,0.222,0.174,0.161,0.150
307.01,,0.310,0.237,0.175,0.290
307.02,,0.078,0.085,0.056,0.050
307.03,,0.137,0.177,0.196,0.200
307.06,,0.218,0.120,0.140,0.128
308,,0.075,0.128,0.164,0.144
309,,0.032,0.040,0.034,0.039
310,,0.058,0.080,0.113,0.078
311,,0.086,0.100,0.094,0.102
312,,0.349,0.436,0.449,0.386
313,,0.236,0.220,0.237,0.276
314,,0.081,0.086,0.097,0.116
315.01,,0.507,0.450,0.466,0.468
315.02,,0.325,0.325,0.354,0.387
317,,0.338,0.291,0.340,0.259
318,,0.158,0.215,0.183,0.165
319,,0.162,0.137,0.145,0.148
321,,0.182,0.193,0.208,0.214
401,,0.158,0.134,0.119,0.121
402.01,,0.123,0.178,0.165,0.147
402.02,,0.242,0.253,0.219,0.194
403,,0.071,0.081,0.094,0.073
404.01,,0.095,0.120,0.128,0.173
404.02,,0.084,0.087,0.112,0.093
406,,0.075,0.080,0.093,0.097
407,,0.095,0.092,0.077,0.055
408,,0.059,0.053,0.035,0.037
409,,0.050,0.060,0.062,0.089
501,,0.032,0.029,0.015,0.016
502,,0.028,0.033,0.044,0.059
503,,0.106,0.091,0.112,0.090
505,,0.025,0.017,0.022,0.011
506,,0.119,0.110,0.080,0.124
507,,0.021,0.007,0.038,0.040
508,,0.071,0.043,0.056,0.074
509,,0.072,0.083,0.064,0.111
510,,0.073,0.093,0.041,0.046
511,,0.073,0.056,0.063,0.060
512,,0.044,0.091,0.089,0.095
513,,0.033,0.048,0.058,0.060
514,,0.100,0.087,0.099,0.089
601,,0.084,0.114,0.079,0.078
602,,0.183,0.187,0.185,0.159
603,,0.033,0.034,0.045,0.048
604,,0.076,0.103,0.069,0.065
605,,0.233,0.265,0.259,0.188
608,,0.062,0.067,0.071,0.112
609,,0.074,0.074,0.075,0.069
610,,0.127,0.148,0.138,0.177
611,,0.137,0.139,0.123,0.124
612,,0.123,0.134,0.136,0.134
615,,0.071,0.058,0.048,0.051
618,,0.196,0.207,0.170,0.147
619.01,,0.079,0.113,0.127,0.129
619.02,,0.108,0.124,0.105,0.123
620,,0.087,0.091,0.091,0.084
621,,0.127,0.135,0.148,0.206
622,,0.100,0.110,0.112,0.084
623,,0.042,0.117,0.131,0.114
624,,0.024,0.017,0.008,0.048
625,,0.074,0.104,0.077,0.076
626,,0.027,0.035,0.084,0.083
627,,0.158,0.159,0.167,0.133
628,,0.070,0.078,0.097,0.108
629,,0.107,0.129,0.148,0.152
630,,0.133,0.158,0.202,0.211
631,,0.071,0.123,0.167,0.151
632,,0.146,0.131,0.156,0.125
633.01,,0.219,0.228,0.245,0.205
633.02,,0.087,0.077,0.094,0.075
633.03,,0.048,0.047,0.047,0.062
634,,0.151,0.196,0.240,0.204
701.01,,0.120,0.164,0.135,0.147
701.02,,0.116,0.103,0.099,0.108
701.03,,0.134,0.155,0.180,0.131
702,,0.121,0.109,0.103,0.079
703,,0.177,0.192,0.194,0.178
704,,0.117,0.132,0.121,0.130
705,,0.048,0.066,0.075,0.062
706,,0.040,0.038,0.021,0.034
707,,0.140,0.125,0.120,0.126
710,,0.152,0.225,0.255,0.257
711,,0.108,0.141,0.167,0.172
712,,0.156,0.174,0.191,0.192
713,,0.059,0.069,0.103,0.103
714,,0.157,0.156,0.124,0.104
715,,0.053,0.081,0.083,0.082
716,,0.097,0.101,0.115,0.065
717,,0.075,0.084,0.104,0.090
718,,0.050,0.066,0.066,0.064
801,,0.059,0.070,0.062,0.084
802.01,,0.054,0.066,0.055,0.063
802.02,,0.064,0.045,0.050,0.047
803,,0.118,0.121,0.101,0.121
804,,0.516,0.508,0.530,0.507
810,,0.232,0.225,0.223,0.246
811,,0.181,0.165,0.214,0.225
812.01,,0.080,0.092,0.091,0.112
812.02,,0.023,0.069,0.073,0.071
813,,0.087,0.072,0.073,0.074
814.01,,0.119,0.116,0.138,0.091
814.02,,0.080,0.056,0.082,0.069
814.03,,0.048,0.070,0.060,0.059
815,,0.078,0.109,0.101,0.078
816,,0.140,0.157,0.142,0.140
817,,0.059,0.045,0.064,0.061
818,,0.059,0.053,0.047,0.054
819,,0.177,0.253,0.394,0.290
901,,0.021,0.023,0.029,0.042
902,,0.015,0.018,0.025,0.022
903,,0.040,0.059,0.072,0.040
1001,,0.080,0.051,0.052,0.058
1002,,0.048,0.028,0.033,0.022
1003,,0.094,0.080,0.080,0.070
1004,,0.045,0.065,0.104,0.077
1005,,0.004,0.013,0.013,0.011
1006,,0.063,0.057,0.041,0.036
1007,,0.101,0.139,0.116,0.117
1101,,0.091,0.072,0.064,0.031
1102,,0.086,0.145,0.147,0.140
1103,,0.080,0.064,0.046,0.079
1104,,0.051,0.057,0.054,0.038
1105.01,,0.063,0.052,0.040,0.036
1105.02,,0.223,0.191,0.172,0.156
1201,,0.030,0.042,0.041,0.032
1202,,0.012,0.014,0.023,0.025
1203,,0.034,0.043,0.060,0.059
1204,,0.107,0.111,0.134,0.169
1301,,0.126,0.105,0.087,0.080
1302,,0.073,0.082,0.095,0.047
1303,,0.125,0.114,0.127,0.120
1401,,0.389,0.427,0.364,0.313
1402,,0.225,0.177,0.244,0.273
1403.01,,0.231,0.156,0.205,0.214
1403.02,,0.225,0.239,0.291,0.282
1404,,0.095,0.099,0.137,0.150
1405,,0.176,0.158,0.161,0.167
1406.01,,0.186,0.162,0.227,0.254
1406.02,,0.225,0.186,0.236,0.231
1407.01,,0.166,0.109,0.101,0.064
1407.02,,0.241,0.257,0.227,0.276
1408,,0.106,0.176,0.141,0.139
1502,,0.140,0.187,0.207,0.227
1503,,0.120,0.116,0.113,0.112
1504.01,,0.109,0.161,0.145,0.164
1504.02,,0.060,0.114,0.119,0.114
1505.01,,0.107,0.071,0.051,0.070
1505.02,,0.141,0.152,0.111,0.119
1506,,0.106,0.108,0.109,0.104
1507,,0.140,0.109,0.079,0.089
1508,,0.100,0.083,0.118,0.150
1510.01,,0.291,0.383,0.401,0.327
1510.02,,0.118,0.191,0.154,0.118
1511,,0.158,0.189,0.145,0.130
1512,,0.095,0.070,0.085,0.062
1601,,0.073,0.076,0.052,0.043
1602,,0.028,0.032,0.065,0.084
1603,,0.211,0.248,0.272,0.223
1604,,0.272,0.287,0.263,0.288
1605.01,,0.145,0.166,0.191,0.262
1605.02,,0.130,0.123,0.142,0.144
1606.01,,0.123,0.128,0.121,0.132
1606.02,,0.109,0.147,0.190,0.164
1607,,0.135,0.181,0.143,0.083
1608,,0.078,0.063,0.092,0.108
1609,,0.061,0.070,0.081,0.097
1610,,0.120,0.098,0.129,0.094
1611,,0.044,0.069,0.082,0.101
1612,,0.103,0.091,0.090,0.042
1613,,0.148,0.148,0.155,0.146
1701,,0.127,0.121,0.139,0.068
1702,,0.104,0.107,0.064,0.054
1703,,0.171,0.149,0.160,0.179
1704,,0.169,0.156,0.167,0.172
1705,,0.081,0.063,0.055,0.055
1706,,0.081,0.062,0.072,0.065
1707,,0.151,0.173,0.146,0.138
1708,,0.082,0.107,0.154,0.134
1709,,0.134,0.115,0.075,0.049
1710,,0.087,0.083,0.084,0.081
1711,,0.107,0.117,0.063,0.044
1801,,0.135,0.160,0.132,0.151
1901,,0.254,0.298,0.155,0.159
1902,,0.211,0.242,0.266,0.262
1903,,0.142,0.118,0.156,0.128
1904.01,,0.160,0.136,0.109,0.127
1904.02,,0.154,0.226,0.197,0.162
1906.01,,0.227,0.249,0.261,0.256
1906.02,,0.129,0.101,0.171,0.157
1907.01,,0.161,0.106,0.065,0.049
1907.02,,0.285,0.241,0.197,0.173
1908,,0.212,0.214,0.200,0.164
1909,,0.228,0.212,0.216,0.189
1910,,0.306,0.284,0.243,0.297
1911,,0.243,0.247,0.256,0.275
1912,,0.331,0.348,0.339,0.313
1913.01,,0.260,0.227,0.214,0.256
1913.02,,0.172,0.233,0.255,0.311
2001,,0.122,0.131,0.129,0.113
2002,,0.254,0.187,0.160,0.159
2003,,0.299,0.305,0.274,0.337
2004.01,,0.229,0.204,0.186,0.165
2004.02,,0.229,0.266,0.281,0.216
2101,,0.216,0.201,0.177,0.131
2104,,0.260,0.227,0.210,0.190
2105.01,,0.201,0.164,0.184,0.205
2105.02,,0.310,0.267,0.242,0.249
2106.01,,0.178,0.151,0.100,0.128
2106.02,,0.245,0.258,0.236,0.158
2107,,0.204,0.124,0.137,0.158
2108,,0.063,0.144,0.226,0.297
2109,,0.180,0.163,0.127,0.122
2203,,0.100,0.114,0.094,0.078
2204,,0.073,0.109,0.109,0.133
2205,,0.132,0.143,0.200,0.243
2206.01,,0.179,0.158,0.170,0.251
2206.02,,0.263,0.239,0.257,0.239
2207.01,,0.275,0.250,0.264,0.325
2207.02,,0.217,0.258,0.228,0.229
2209.01,,0.449,0.423,0.395,0.370
2209.02,,0.223,0.241,0.336,0.302
2210,,0.277,0.191,0.249,0.286
2211,,0.274,0.296,0.271,0.214
2212,,0.127,0.137,0.160,0.170
2213,,0.191,0.247,0.224,0.216
2214,,0.144,0.169,0.232,0.213
2215,,0.149,0.149,0.180,0.163
2216,,0.077,0.129,0.123,0.128
2222,,0.048,0.053,0.037,0.054
2225,,0.213,0.197,0.202,0.180
2226,,0.140,0.166,0.199,0.201
2227,,0.276,0.293,0.316,0.326
2228,,0.378,0.441,0.471,0.519
2229,,0.211,0.300,0.330,0.288
2301,,0.278,0.288,0.222,0.269
2302,,0.279,0.274,0.198,0.236
2303,,0.255,0.284,0.257,0.234
2304,,0.180,0.240,0.235,0.233
