tract,percent_disability_2016,percent_disability_2015,percent_disability_2014,percent_disability_2013,percent_disability_2012
101,,11,10.6,10.9,11.2
102.01,,14.8,11,8.9,9.3
102.02,,13.8,15.1,16.2,17.1
103,,11.2,10.5,7.9,9
104,,9.1,8.1,7.3,7.5
105.01,,14.2,13.2,11.7,12
105.02,,5.9,6.7,5.3,5.7
105.03,,19.9,17.1,16.9,17.5
106,,7.8,7.1,6.6,7.3
107.01,,6.9,6.6,7.2,4.4
107.02,,6.9,6.3,5.1,4.1
201,,12,10.7,11.4,13.3
202,,10.7,14,13.5,8.9
203.01,,18.4,18.1,16.4,18.8
203.02,,10.2,8.1,6.5,7.2
204,,13,10.2,8.9,7.8
205,,11.4,11.3,11.1,10.9
206.01,,11.2,8.3,7.9,8.1
206.02,,7.7,5.9,6.3,6
207.01,,10.9,10.4,8.6,6.1
207.02,,11.9,12.4,10.5,9
208.01,,14.2,11.1,10.4,11.5
208.02,,8.4,9,9.7,9.7
209.01,,7,6,7.3,7.8
209.02,,18.9,18.1,15.8,14.2
301.01,,19.2,17.2,15.8,13.8
301.02,,12.4,12.4,11.2,8.3
301.03,,16.9,17.5,18.3,14.1
301.04,,12,8.4,8.1,6.9
302,,9.8,8.5,6.8,8.8
303,,6.6,7.5,7.7,9.4
304,,13.4,11.8,10.7,9.7
305,,6.3,5.3,6.7,6.3
306.01,,12,12.3,11.9,10.6
306.03,,3.6,5.2,6.8,5.2
306.04,,19.6,20.1,15.5,12.3
307.01,,12.3,8.7,7.4,10.4
307.02,,9.3,9.7,14.4,10.6
307.03,,13.9,14.5,15.5,18.2
307.06,,20.2,20.7,19.7,21.8
308,,6.1,6,8.3,6.3
309,,6.5,6.7,6.9,5.6
310,,7,5,6.1,6.4
311,,9.1,7.2,8.3,5.4
312,,18.1,21.3,19.6,19.3
313,,14.1,13.9,12.5,13.3
314,,9.4,10.1,8.1,8.7
315.01,,18.6,16.3,16.4,14.9
315.02,,10.2,7.9,8.9,9.7
317,,10.7,7.9,8.5,8.4
318,,6.3,5.6,7.2,6.4
319,,7.2,6.2,9.2,3.6
321,,12.7,10.5,10.9,13
401,,7.6,7.6,9.2,9.2
402.01,,5.5,6,6.4,8.6
402.02,,13.2,13.5,13.2,12.7
403,,13.3,7.6,6.7,7.1
404.01,,7.4,6.9,2.4,5.2
404.02,,5.1,5.4,6.7,5.4
406,,5.2,5,5.8,3.4
407,,5.6,4.9,5.4,6.6
408,,9.7,9,9.3,10.6
409,,7.4,10.8,10.5,11.2
501,,4,3,1.7,3.6
502,,8.6,9.1,9,9.2
503,,9,8.9,12.3,10.5
505,,4.8,5.3,5.8,5.1
506,,4.4,8.9,7.2,8.4
507,,2.8,5.1,4.6,4.2
508,,3.7,3.4,3.5,3.6
509,,2.3,2.7,2.9,2.9
510,,3.3,3.8,3.3,4.6
511,,5,5,4.2,2.9
512,,3.6,5.3,7.6,8.6
513,,1.9,1.2,1.1,1
514,,9.4,8.1,6.1,4.7
601,,5.2,4.9,4.4,5.5
602,,3.4,7.6,9.3,8.8
603,,6.7,5.2,6.1,5.5
604,,1.8,1.2,1.3,1.4
605,,18.4,16,16,15.9
608,,3.5,3.8,4.3,4.8
609,,7.3,8.7,7.4,8.3
610,,1.9,2.6,4.2,3.2
611,,0.3,0.4,1,2.3
612,,3.5,3.9,3.3,3.6
615,,3.7,5.2,4.9,5.2
618,,3.5,2.7,2.3,0.3
619.01,,2.9,3.2,4.4,6.5
619.02,,8.2,7.1,7.7,8.7
620,,5,6.1,7.6,4.7
621,,7.6,7.1,6.6,5.9
622,,2.8,4,3.2,3.1
623,,2,2.1,2.3,2.1
624,,5.5,4,4.1,4.9
625,,2.8,2.8,1.3,2.9
626,,3.8,2.5,1.9,2.6
627,,5.8,5,5.6,4.7
628,,3.5,4.4,4.4,4.7
629,,5.3,4.5,2.5,2.2
630,,1.2,2,1.3,2.2
631,,2.2,1.5,3.4,4.1
632,,9.7,8.4,9.8,11.7
633.01,,11,9,10.8,10.8
633.02,,6.2,6.1,3.6,2.6
633.03,,26.5,27.9,28.3,30.2
634,,5,4.9,5.4,5
701.01,,6.9,7.2,9.2,10.6
701.02,,2.1,3,6.3,7.9
701.03,,0.9,1.5,1.6,1.5
702,,3.7,3.7,4.6,4
703,,1.8,2.7,2.4,1.8
704,,10.7,8.7,6.9,7.7
705,,6.5,7.5,6.2,6.2
706,,1.5,1.2,1.7,2.7
707,,4.5,3.2,2.7,4.7
710,,6.3,6.8,6.8,5.7
711,,4.9,4.1,2.9,2.3
712,,6.3,6.1,5,3.7
713,,3.1,4,2.6,2.3
714,,8.9,10.3,10.3,9.7
715,,3.5,4.1,4.5,4.9
716,,6.2,4.7,2.4,1.9
717,,3.8,5.7,3.9,3.6
718,,4,4.5,5.7,5.7
801,,7.4,8.7,8.2,7.9
802.01,,6.5,8.4,7.9,8.9
802.02,,3,2.4,3.7,5.1
803,,3.2,3.8,3.2,4.2
804,,8.1,6.4,8.5,8.6
810,,13.9,12.6,12.5,10.2
811,,8.3,8.6,9.5,10.9
812.01,,8.6,7.4,6.9,6.7
812.02,,9.4,8.8,10.2,8.4
813,,8.7,9.2,9.7,9.3
814.01,,12.6,10,7.6,6.3
814.02,,7.7,9.3,8.3,8.8
814.03,,2.9,3.7,4,5
815,,5.2,4,2.6,3
816,,4.9,5.1,3.9,3.9
817,,3.1,3.5,2.5,2.3
818,,2.3,2,0.4,1
819,,12.8,12.2,10,8.2
901,,8.1,9.2,10.2,8.9
902,,6.9,10.3,10.9,11.2
903,,9,7.8,8,8.1
1001,,12.7,12.7,13.9,13.7
1002,,10.1,9.9,8.3,8.9
1003,,17.4,17.5,15.6,16.6
1004,,8.4,8.3,7.6,9.2
1005,,9.3,10.3,10.6,7.9
1006,,13.6,12.9,14.6,16.1
1007,,12.2,12.8,12.8,10.1
1101,,9.3,9.6,9.8,9.2
1102,,11.1,11.9,10.6,10.2
1103,,13.2,11,10.3,11.4
1104,,11,9.9,10.4,12.5
1105.01,,7.4,7.2,7.2,5
1105.02,,10.6,10.9,10.4,9.7
1201,,8.2,10,11.3,12.9
1202,,11,9.3,9.7,11.4
1203,,8.7,8.1,8.3,7.8
1204,,9.6,9.8,8.5,10.1
1301,,21.4,21.6,17.8,17.7
1302,,10,8.3,8.6,10.1
1303,,11.7,10.6,9.9,6.8
1401,,7.8,6.3,7.5,9.2
1402,,8.3,5.7,6,6.4
1403.01,,6.6,6.9,4.6,4.1
1403.02,,6.9,7.1,9.9,10.3
1404,,12.8,13.1,13.4,14.4
1405,,9.5,8.3,9.3,9.8
1406.01,,9.1,9.9,7.8,9.7
1406.02,,12.1,10,11.8,10.8
1407.01,,7.1,4.2,4.3,3.3
1407.02,,7.7,8.1,9.5,8.7
1408,,10.2,8.9,6.8,6.6
1502,,8.2,11.7,11.2,12.2
1503,,10,12.4,13.2,13.6
1504.01,,11.3,9.9,10.1,10.3
1504.02,,8.1,9.1,10.7,10.3
1505.01,,7.5,8,8.8,8.5
1505.02,,11,12.8,11.8,10.2
1506,,9.5,8.9,7.1,7.2
1507,,7.4,9.3,9.5,8.7
1508,,9.8,7.6,9.2,8.5
1510.01,,12.2,12.3,13.8,12.3
1510.02,,8.3,8.6,8,7.3
1511,,11.1,9.7,10,12.3
1512,,7.5,11.2,10.5,10.5
1601,,8.6,7.6,8.1,9.3
1602,,10.5,10.8,8.6,7.7
1603,,11,10.9,12.7,11.6
1604,,12.2,11.9,9.3,9.4
1605.01,,10.9,11.3,13.2,9.7
1605.02,,7.1,8.5,9.9,9.2
1606.01,,8,7.3,6.2,10.1
1606.02,,7.5,8.4,8.2,9.4
1607,,17.5,16.6,18.5,18.6
1608,,6.6,6.7,5.9,6.2
1609,,4.5,5.2,10.2,10.9
1610,,9.7,8.6,7.8,7.4
1611,,8.7,9.7,12.1,12.9
1612,,6.9,8,10.3,11.1
1613,,8.4,7.9,11.8,11
1701,,23.1,19.5,23,22.3
1702,,10,10.1,10.9,12.8
1703,,9.6,7.7,8.4,8.6
1704,,10.1,9.5,10.1,11.3
1705,,6.6,7.5,8,8.9
1706,,12.3,13.5,12,10.4
1707,,6.7,7.3,7.4,6.5
1708,,9.6,8.6,9.5,10.3
1709,,13.8,13.6,12.4,10.2
1710,,8.1,9.2,10.7,10.6
1711,,8.5,7.1,7.5,6.7
1801,,9.6,8.5,8.7,12.1
1901,,13.2,14.4,9.5,12.9
1902,,9.1,10.6,8.8,8.9
1903,,13,12.4,11.7,10.1
1904.01,,8,6.9,7.2,7.9
1904.02,,6.9,8.1,9.5,11.3
1906.01,,7.1,8.8,10.8,10.8
1906.02,,6.9,8.1,12,12.9
1907.01,,5.7,7.5,7.4,11.5
1907.02,,6.5,5.5,9.1,8.2
1908,,10.8,10.8,9.9,9.5
1909,,10.5,9.3,10.1,11
1910,,10.5,10.2,9.8,8.9
1911,,9.3,10,10.5,13.5
1912,,7.7,7.4,11.1,10.7
1913.01,,10.2,13,8.7,9.7
1913.02,,7.6,7.1,7.4,12.7
2001,,11.6,9.8,10.9,9.7
2002,,18.5,16.9,15.5,14.3
2003,,6.5,6,7.7,9.8
2004.01,,12.7,14.7,11.6,11.5
2004.02,,8.9,12,13.9,18.1
2101,,10.6,10.5,9.9,8.3
2104,,9.6,7.3,7.1,5.8
2105.01,,5.9,5.5,7,9.4
2105.02,,6,6.2,6.4,6.5
2106.01,,7,7.1,12.3,10.6
2106.02,,9.6,8.7,8,5.2
2107,,12.4,11.5,9.4,6.4
2108,,5.8,5.3,5.9,5.2
2109,,13.5,13.4,13,10.4
2203,,4.2,4.3,3.3,4.1
2204,,4.7,6.5,6.6,10.9
2205,,5.6,5.8,6.2,5.9
2206.01,,11.4,12.1,11.5,11.4
2206.02,,7.3,7.2,7.5,4.6
2207.01,,11.1,10.5,11.3,11.1
2207.02,,7.5,6.8,6.8,4.6
2209.01,,11.8,14.5,12.8,6.2
2209.02,,7.6,6,4,4.5
2210,,8.2,8.6,7.3,8.5
2211,,8.4,10.2,8.7,8.7
2212,,4.7,6.4,5.4,5.5
2213,,5.9,5.5,5.1,8.8
2214,,3.7,6.2,5.1,3.9
2215,,10.9,11.2,12.2,10.4
2216,,4.2,6.4,6,6.5
2222,,2.2,1.6,2.9,2.4
2225,,11.7,10.3,9.9,9.2
2226,,8.2,9,7.5,8.6
2227,,6,4.9,6.6,4.6
2228,,6.2,6.5,6.3,10.6
2229,,7,7.5,6.2,3.9
2301,,7.5,9.2,9.1,9.3
2302,,13.6,15.2,13.5,10.5
2303,,11.3,12.1,17.5,17.7
2304,,10.7,9.4,8.4,9.4
2305,,18.8,17.1,17.3,13.9
2306,,13.6,15.9,17.2,12.9
