tract,median_income_2016,median_income_2015,median_income_2014,median_income_2013,median_income_2012,median_income_2011
101,,32188,30798,32191,31063,31919
102.01,,39122,40532,39908,38766,41528
102.02,,27318,25250,36315,36369,44107
103,,37111,42606,43483,41315,45964
104,,38384,38531,41765,43125,48138
105.01,,25309,26157,33090,34481,35411
105.02,,35822,33340,30057,28607,31379
105.03,,19813,21530,21230,20524,18952
106,,37338,42246,43109,50236,45474
107.01,,58319,54765,55220,54690,59625
107.02,,35950,36967,42188,39805,45861
201,,50456,51069,45865,50080,54444
202,,63906,88476,88704,62415,85154
203.01,,49109,49332,52171,55000,51912
203.02,,60224,57765,59890,56181,55000
204,,56419,62847,50987,52545,44519
205,,37612,38173,37684,36455,35068
206.01,,40819,50000,46591,43047,43599
206.02,,43580,44702,42733,41386,46220
207.01,,68750,72368,79167,80329,75466
207.02,,54364,47571,41454,41250,38529
208.01,,45263,56027,46611,52500,53328
208.02,,42346,53356,42479,39406,48682
209.01,,38799,37409,39658,38426,42652
209.02,,33114,38320,39464,38854,39575
301.01,,41188,39443,37979,37821,36667
301.02,,43632,40849,33537,33583,32353
301.03,,37383,34444,31029,26096,22941
301.04,,36529,38246,35130,32537,33185
302,,67700,58625,71071,67115,62788
303,,36020,36520,32589,32684,33293
304,,41250,41736,40871,36857,41667
305,,62453,63906,62083,62623,62045
306.01,,38822,36413,34384,32636,31510
306.03,,28631,29017,25992,26596,25953
306.04,,32069,38300,37424,42810,43344
307.01,,33504,34375,34719,34464,30772
307.02,,48870,48578,53199,67566,59479
307.03,,46174,41373,41959,40313,36506
307.06,,36362,37857,44970,38977,42041
308,,70361,64736,66414,72243,70652
309,,80657,76759,72647,69792,70469
310,,66875,63333,64868,63433,57206
311,,57994,65204,63329,49955,58972
312,,20887,14643,12485,16650,17861
313,,35349,34453,33984,32930,34286
314,,74737,67100,67022,63750,65804
315.01,,24643,26862,26134,25040,24167
315.02,,21265,23598,24118,28964,25246
317,,40129,41537,39475,41645,41150
318,,57560,48672,54125,62841,52188
319,,65027,69333,74612,67273,62564
321,,49063,48625,52592,45525,47175
401,,65599,61806,55243,55300,67414
402.01,,59243,57568,58750,60612,57043
402.02,,33750,37178,41897,43604,50156
403,,79306,84750,72417,68125,57829
404.01,,71510,66215,68140,67139,66845
404.02,,70935,64153,60373,61738,60100
406,,72931,69479,68021,66266,65962
407,,73091,73556,75430,68611,62049
408,,71935,72625,77794,76979,67212
409,,74297,68472,66964,54423,53125
501,,77241,74875,76172,72750,73056
502,,67275,71514,66214,64051,64746
503,,80046,86023,81920,98523,76974
505,,95447,95741,93088,92589,91458
506,,95694,84063,88100,82616,90972
507,,113676,127222,101923,89268,84906
508,,109231,116750,120313,118864,115658
509,,76429,83500,90956,89750,103611
510,,101579,94479,105045,85625,94268
511,,94375,77316,76689,76694,77083
512,,102292,96484,85313,91685,82500
513,,135350,132500,123026,155500,135234
514,,75500,78790,75580,74655,72586
601,,104500,105952,101750,96094,92579
602,,63566,62857,54722,54125,51614
603,,102074,105563,103603,104583,110247
604,,118837,115163,115000,106000,102794
605,,35781,37500,39931,42042,53000
608,,76121,72258,69394,67820,64718
609,,56515,60176,52162,53699,52511
610,,101750,89766,85057,90078,77083
611,,91893,79559,88289,85337,81667
612,,100139,99211,99219,96667,95238
615,,99464,96364,100921,95000,92702
618,,44833,49448,57563,51250,48558
619.01,,49756,49796,52664,53833,47451
619.02,,57623,50732,52654,50346,54528
620,,80131,80745,70851,78904,76229
621,,91250,101275,96571,78750,78785
622,,107073,112564,116938,109871,99541
623,,133542,112768,104583,105438,103750
624,,120833,117368,130833,109609,120278
625,,106771,102250,102444,109167,109750
626,,110938,95491,88482,103125,97500
627,,105813,100625,103412,102120,101863
628,,125156,116310,103708,102162,99732
629,,125000,115526,114076,109167,106002
630,,84412,85426,69830,68594,73578
631,,90429,84896,70900,61786,57895
632,,57350,54187,53750,54358,56419
633.01,,40789,43958,41884,44464,44487
633.02,,64991,67800,65233,67802,67234
633.03,,67857,76500,74006,73077,77453
634,,83333,83458,78542,66198,71250
701.01,,72985,68180,70379,66329,63014
701.02,,61506,64507,59971,63567,62736
701.03,,53008,51768,53750,50872,54423
702,,86909,86168,84919,84223,81132
703,,96833,99821,93324,91910,98400
704,,88897,84038,87333,81800,93347
705,,123313,104306,104803,108958,101406
706,,147596,150987,147738,134018,131735
707,,125781,120875,116364,106071,108068
710,,100507,99306,95250,93972,104485
711,,101250,108659,110813,103250,100341
712,,98125,89583,83750,80321,83555
713,,103710,90367,83194,90969,89485
714,,69415,65846,68651,72907,71208
715,,90160,86267,82021,85528,79406
716,,128295,117833,103167,131100,119286
717,,128750,120938,113875,126736,116875
718,,131979,134271,125100,116510,104453
801,,87099,90597,90109,81341,81458
802.01,,73946,74195,75029,74727,76765
802.02,,83942,77172,85997,87136,84688
803,,102240,104598,96250,92744,91104
804,,22995,25208,16411,22917,13185
810,,40041,45593,38582,49429,50851
811,,57332,56607,49716,54871,58426
812.01,,76103,73263,69845,69792,70521
812.02,,101317,81154,88922,81452,88077
813,,88750,102096,96796,87396,93584
814.01,,75375,81818,66875,76699,88464
814.02,,106026,105625,100117,101640,106818
814.03,,87321,76327,77374,88523,70539
815,,89718,94327,100938,93938,89350
816,,92298,85395,84608,86786,88319
817,,91348,92011,90116,90136,80134
818,,93934,100650,101176,93024,103609
819,,134167,120938,99250,97500,84196
901,,76389,70221,72500,78903,87083
902,,86125,83561,82010,85000,80908
903,,85114,90938,85278,83419,87431
1001,,62976,66941,67589,64352,65046
1002,,71923,78084,76176,76881,74710
1003,,62885,59063,57869,57163,64960
1004,,92589,85761,81464,82679,78681
1005,,97232,82478,73426,77679,80497
1006,,63988,58750,59606,58578,57962
1007,,72652,73125,69237,66429,69375
1101,,55809,74306,63558,62520,63981
1102,,70417,56327,57461,57641,55164
1103,,70701,77986,73026,67361,70545
1104,,68405,64289,47474,52155,51053
1105.01,,64485,67670,65721,62552,55268
1105.02,,46156,46065,45440,53594,51827
1201,,113889,107839,84459,103929,104493
1202,,105233,95417,96833,89773,88063
1203,,105606,104397,102254,101402,101306
1204,,79966,77583,68782,66210,67147
1301,,30000,30231,43454,44654,35294
1302,,75553,75030,68523,71806,64199
1303,,56724,57270,60000,53384,52975
1401,,36770,36862,36786,32031,32697
1402,,42074,44104,44286,43549,47614
1403.01,,43286,59500,55217,49699,45281
1403.02,,51795,56554,54839,51056,58724
1404,,70179,62847,48404,43628,45582
1405,,54107,53226,51515,50651,49552
1406.01,,42083,48947,43452,45972,40793
1406.02,,46053,45983,38868,38346,35343
1407.01,,52375,55735,53393,53924,45272
1407.02,,47898,49375,46607,45064,39890
1408,,67236,71189,72865,67880,60728
1502,,62308,56711,49760,51205,53677
1503,,70020,65859,57110,55551,53093
1504.01,,59107,53333,49775,47972,52604
1504.02,,57339,56273,56969,58125,53837
1505.01,,61579,67989,73728,73102,68083
1505.02,,50118,46615,48146,48933,49132
1506,,54691,56361,59659,60609,61545
1507,,62056,60172,59250,58293,54712
1508,,60746,62357,60579,57953,56489
1510.01,,42375,40526,32316,38694,39733
1510.02,,42339,45276,47201,54416,50742
1511,,49750,45052,41181,38939,38036
1512,,55313,54808,54063,55724,55833
1601,,53056,53333,54188,58547,55827
1602,,58750,54360,57935,60781,62331
1603,,45769,40367,34786,38485,38664
1604,,43091,37716,39548,44813,46250
1605.01,,47545,44531,42833,37260,38158
1605.02,,52941,56750,51750,45439,46763
1606.01,,57228,52479,48412,51393,51304
1606.02,,53480,43380,41152,52353,63267
1607,,62535,52154,59297,64992,63387
1608,,56337,55256,51833,48785,47349
1609,,61375,66786,64286,66523,63636
1610,,52109,52778,54091,53835,55898
1611,,84509,84542,100250,98704,102892
1612,,56901,47266,45847,59327,62865
1613,,38995,40463,37391,36514,44877
1701,,38359,38824,33514,46667,45443
1702,,69911,70813,65523,62851,67119
1703,,53125,57688,62459,57950,59539
1704,,52401,54038,57727,64815,69598
1705,,73500,74402,77961,77802,75011
1706,,59712,53512,55417,52219,60500
1707,,57232,51585,49299,55691,68387
1708,,60239,59315,56636,59559,58323
1709,,51648,69231,61227,59782,58278
1710,,59759,60154,55410,58100,57389
1711,,63470,64911,64038,62222,54080
1801,,53233,43797,45426,44760,51962
1901,,31985,29286,34432,28924,35957
1902,,51921,46846,44091,42829,43028
1903,,45234,46413,41530,42730,48618
1904.01,,50350,52539,53484,51147,50000
1904.02,,42138,36098,37684,37365,41651
1906.01,,44495,48696,58145,55257,53914
1906.02,,48361,48373,43987,46042,41119
1907.01,,39958,40750,39221,39325,43125
1907.02,,41000,41563,42776,43524,39358
1908,,40612,39789,38348,39111,39883
1909,,38571,33967,42019,52917,40197
1910,,42935,47457,43480,38429,38965
1911,,45200,45198,43308,41875,37152
1912,,36250,35739,34583,37792,35513
1913.01,,37760,40719,40305,37214,36319
1913.02,,40943,38966,37720,37277,39401
2001,,47883,44306,46591,46346,48445
2002,,36416,36436,37357,44868,44074
2003,,40603,40163,42875,40833,35833
2004.01,,36190,35489,37605,38979,39883
2004.02,,48039,39526,34648,41091,40496
2101,,42428,56250,60298,62545,63581
2104,,38665,37348,34271,37583,39674
2105.01,,41829,39487,39725,37125,36132
2105.02,,31000,32500,38313,40833,39141
2106.01,,53250,47280,48778,48926,46867
2106.02,,43778,36604,37583,47457,50827
2107,,44679,47232,43480,46500,43469
2108,,53173,43750,41895,39808,46607
2109,,50031,50976,51026,54188,54190
2203,,80764,82500,75500,84688,75313
2204,,77639,71648,71214,57639,50083
2205,,65688,61394,53468,59375,65375
2206.01,,52625,45417,36716,34312,53650
2206.02,,40268,43233,41773,41957,38516
2207.01,,52500,47318,45221,43507,40650
2207.02,,45472,40000,43318,44101,40469
2209.01,,34167,38619,38289,45202,40571
2209.02,,47627,47793,40481,46518,34258
2210,,33090,42818,42637,39792,42250
2211,,40254,43750,46964,42039,41619
2212,,59522,44821,50721,53478,56094
2213,,50375,48095,43644,41116,39191
2214,,63261,55982,48472,45724,38556
2215,,38784,35787,36755,41771,34836
2216,,80398,73611,70500,64855,65625
2222,,131471,123500,120513,114038,106759
2225,,45817,40469,43966,49167,54643
2226,,51544,45750,37065,36228,35833
2227,,53611,44701,39063,42608,43013
2228,,26701,23523,17917,16324,17917
2229,,45000,40208,31389,40123,34612
2301,,38792,43500,49250,37571,38669
2302,,38750,44280,55000,52188,58214
2303,,41146,40573,42105,42500,38333
2304,,48636,56875,46477,47500,35139
2305,,27235,29324,25813,26250,24805
2306,,31334,33551,31320,33011,36047
2307,,33060,34145,39044,38319,32357
2308,,59712,63179,61339,52667,46042
2309,,35656,35935,35517,34512,35174
2311,,32143,43029,26750,30598,28194
2312,,24950,23750,23097,22576,23247
2315,,25553,24205,23836,19455,18401
2402,,107750,96667,96250,100664,83185
2403,,105536,111000,105875,102188,116500
2405,,117266,108987,108917,107394,109482
2406,,92857,107928,108156,103009,104050
2407,,49643,32197,55132,55833,59408
2408,,37260,39500,31964,32391,48421
2409,,40972,38750,36339,36250,32000
2410,,45357,39600,35963,37083,34303
2411,,61951,55824,54943,48099,49047
2412,,73750,74432,74375,89183,78229
2413,,106726,88409,86667,97596,90893
2414,,97353,94816,90500,84479,76875
2415,,82050,88333,90449,86903,92852
2416,,75129,63690,65906,65058,66759
2420,,61082,57857,52143,52242,47886
2421,,105217,94507,86599,90670,84755
2422,,77143,82012,80606,79858,73741
2423,,73750,66563,67202,72042,64079
2424,,70242,68348,61786,66190,66971
2425,,55074,48615,44875,42451,41821
2426,,50833,51171,49661,46215,44147
2427,,26141,24073,23821,23688,22500
2428,,62778,63869,59185,61563,61250
2429,,62750,52361,50052,47022,40926
2430,,66635,66063,68550,66755,74722
2431,,86250,77569,70608,68446,66250
2432,,97283,93527,92738,89048,88319
2433,,70890,66574,67917,66417,59653
2434,,77589,67480,65221,63902,63846
2435,,91036,91434,91466,96023,96964
2502,,38250,37321,40822,32750,43344
