tract,percent_wealthy_2016,percent_wealthy_2015,percent_wealthy_2014,percent_wealthy_2013,percent_wealthy_2012,percent_wealthy_2011
101,,0.170,0.149,0.1440,0.100,0.101
102.01,,0.098,0.098,0.1360,0.128,0.128
102.02,,0.092,0.089,0.1470,0.162,0.103
103,,0.075,0.116,0.1220,0.096,0.114
104,,0.131,0.126,0.1320,0.098,0.105
105.01,,0.091,0.085,0.1010,0.113,0.087
105.02,,0.148,0.129,0.1450,0.134,0.141
105.03,,0.106,0.109,0.1090,0.087,0.064
106,,0.119,0.138,0.1250,0.198,0.193
107.01,,0.115,0.135,0.1350,0.193,0.199
107.02,,0.108,0.148,0.1920,0.204,0.159
201,,0.115,0.126,0.1020,0.128,0.142
202,,0.355,0.374,0.3450,0.274,0.335
203.01,,0.168,0.147,0.1360,0.165,0.135
203.02,,0.241,0.257,0.2680,0.259,0.218
204,,0.228,0.281,0.2140,0.229,0.190
205,,0.086,0.073,0.1000,0.108,0.116
206.01,,0.147,0.143,0.1640,0.132,0.115
206.02,,0.104,0.078,0.0700,0.104,0.167
207.01,,0.224,0.205,0.2440,0.279,0.169
207.02,,0.157,0.131,0.1030,0.106,0.101
208.01,,0.159,0.191,0.1620,0.185,0.168
208.02,,0.120,0.149,0.1150,0.102,0.164
209.01,,0.095,0.070,0.1130,0.099,0.134
209.02,,0.067,0.072,0.0820,0.064,0.051
301.01,,0.073,0.086,0.1280,0.127,0.138
301.02,,0.127,0.084,0.0740,0.084,0.115
301.03,,0.190,0.141,0.1080,0.071,0.087
301.04,,0.097,0.071,0.0540,0.037,0.040
302,,0.201,0.188,0.2100,0.211,0.214
303,,0.112,0.087,0.0830,0.065,0.086
304,,0.114,0.151,0.1650,0.141,0.172
305,,0.266,0.267,0.2270,0.243,0.206
306.01,,0.089,0.111,0.0950,0.106,0.083
306.03,,0.079,0.086,0.0710,0.062,0.023
306.04,,0.131,0.166,0.1790,0.169,0.148
307.01,,0.050,0.096,0.0750,0.064,0.049
307.02,,0.142,0.144,0.1390,0.188,0.219
307.03,,0.102,0.093,0.0740,0.109,0.164
307.06,,0.098,0.147,0.1250,0.111,0.103
308,,0.216,0.228,0.2070,0.229,0.209
309,,0.216,0.216,0.2080,0.236,0.188
310,,0.245,0.194,0.1960,0.169,0.144
311,,0.209,0.261,0.2230,0.216,0.199
312,,0.118,0.068,0.1020,0.116,0.093
313,,0.088,0.101,0.1320,0.112,0.124
314,,0.310,0.284,0.2550,0.246,0.256
315.01,,0.130,0.128,0.1460,0.148,0.110
315.02,,0.066,0.081,0.0840,0.075,0.071
317,,0.175,0.164,0.1490,0.185,0.153
318,,0.231,0.232,0.2460,0.231,0.198
319,,0.185,0.200,0.1580,0.145,0.127
321,,0.127,0.162,0.1850,0.186,0.184
401,,0.208,0.179,0.1740,0.173,0.238
402.01,,0.203,0.189,0.1830,0.143,0.153
402.02,,0.127,0.147,0.1810,0.181,0.180
403,,0.329,0.291,0.3080,0.252,0.234
404.01,,0.222,0.218,0.2470,0.163,0.186
404.02,,0.189,0.205,0.1480,0.157,0.172
406,,0.239,0.196,0.2070,0.192,0.202
407,,0.245,0.247,0.2710,0.222,0.213
408,,0.259,0.231,0.2250,0.251,0.194
409,,0.205,0.189,0.1650,0.155,0.175
501,,0.278,0.258,0.2480,0.212,0.240
502,,0.169,0.163,0.1510,0.153,0.145
503,,0.302,0.338,0.3500,0.409,0.353
505,,0.275,0.263,0.2840,0.305,0.300
506,,0.350,0.314,0.3650,0.337,0.463
507,,0.369,0.388,0.4020,0.393,0.330
508,,0.334,0.363,0.3210,0.338,0.398
509,,0.276,0.270,0.2400,0.224,0.315
510,,0.298,0.284,0.2700,0.286,0.305
511,,0.282,0.284,0.2950,0.247,0.200
512,,0.222,0.312,0.2450,0.280,0.263
513,,0.398,0.367,0.3400,0.306,0.323
514,,0.248,0.269,0.2020,0.197,0.226
601,,0.200,0.221,0.2110,0.206,0.197
602,,0.163,0.134,0.1110,0.121,0.163
603,,0.324,0.351,0.3280,0.399,0.442
604,,0.334,0.292,0.2790,0.324,0.315
605,,0.122,0.126,0.1600,0.196,0.175
608,,0.263,0.265,0.2540,0.268,0.209
609,,0.176,0.197,0.1600,0.151,0.150
610,,0.365,0.331,0.3260,0.303,0.213
611,,0.267,0.304,0.3150,0.261,0.214
612,,0.374,0.371,0.3460,0.340,0.309
615,,0.356,0.335,0.3660,0.324,0.288
618,,0.156,0.156,0.2150,0.233,0.202
619.01,,0.131,0.142,0.1480,0.172,0.149
619.02,,0.246,0.208,0.1790,0.141,0.145
620,,0.297,0.258,0.2000,0.210,0.217
621,,0.285,0.330,0.2780,0.216,0.213
622,,0.350,0.361,0.3420,0.368,0.341
623,,0.340,0.361,0.3070,0.372,0.350
624,,0.284,0.331,0.3290,0.334,0.365
625,,0.331,0.364,0.4360,0.471,0.403
626,,0.206,0.171,0.1870,0.194,0.218
627,,0.285,0.297,0.3500,0.299,0.322
628,,0.294,0.308,0.2770,0.283,0.247
629,,0.379,0.346,0.3460,0.334,0.351
630,,0.272,0.282,0.2980,0.252,0.256
631,,0.318,0.266,0.2020,0.192,0.192
632,,0.218,0.196,0.1800,0.204,0.168
633.01,,0.130,0.126,0.1400,0.100,0.103
633.02,,0.183,0.212,0.1790,0.200,0.202
633.03,,0.259,0.166,0.1380,0.148,0.150
634,,0.174,0.188,0.2240,0.233,0.257
701.01,,0.226,0.197,0.1940,0.145,0.123
701.02,,0.204,0.242,0.2140,0.195,0.214
701.03,,0.104,0.108,0.2230,0.244,0.239
702,,0.280,0.250,0.2390,0.218,0.205
703,,0.344,0.329,0.3080,0.339,0.347
704,,0.250,0.218,0.2320,0.215,0.235
705,,0.154,0.195,0.2290,0.250,0.269
706,,0.404,0.358,0.3800,0.357,0.350
707,,0.295,0.315,0.2900,0.292,0.318
710,,0.328,0.296,0.2330,0.207,0.261
711,,0.265,0.277,0.3020,0.268,0.294
712,,0.275,0.270,0.2280,0.215,0.237
713,,0.303,0.271,0.2720,0.292,0.258
714,,0.238,0.247,0.2510,0.261,0.264
715,,0.330,0.289,0.2860,0.295,0.274
716,,0.213,0.180,0.1670,0.230,0.252
717,,0.299,0.319,0.2850,0.324,0.375
718,,0.369,0.321,0.3290,0.243,0.268
801,,0.201,0.232,0.2450,0.218,0.197
802.01,,0.229,0.236,0.2480,0.240,0.225
802.02,,0.290,0.277,0.2470,0.257,0.220
803,,0.291,0.288,0.2550,0.284,0.229
804,,0.237,0.219,0.2290,0.275,0.171
810,,0.107,0.138,0.1340,0.161,0.157
811,,0.267,0.248,0.2020,0.199,0.199
812.01,,0.203,0.198,0.1710,0.173,0.176
812.02,,0.265,0.238,0.2310,0.202,0.182
813,,0.199,0.269,0.2660,0.220,0.224
814.01,,0.215,0.270,0.2180,0.211,0.169
814.02,,0.273,0.335,0.3010,0.313,0.288
814.03,,0.253,0.214,0.2480,0.264,0.190
815,,0.227,0.225,0.2540,0.225,0.190
816,,0.238,0.190,0.2270,0.247,0.267
817,,0.272,0.310,0.2480,0.263,0.258
818,,0.285,0.297,0.2770,0.257,0.292
819,,0.252,0.289,0.2260,0.248,0.249
901,,0.278,0.286,0.2980,0.299,0.348
902,,0.304,0.282,0.2820,0.287,0.268
903,,0.263,0.304,0.2990,0.276,0.374
1001,,0.168,0.231,0.2520,0.284,0.218
1002,,0.272,0.275,0.2480,0.256,0.274
1003,,0.222,0.182,0.1760,0.193,0.195
1004,,0.335,0.342,0.3130,0.369,0.343
1005,,0.355,0.284,0.2520,0.290,0.268
1006,,0.290,0.262,0.2770,0.216,0.186
1007,,0.274,0.250,0.2120,0.224,0.206
1101,,0.233,0.271,0.2880,0.256,0.312
1102,,0.224,0.145,0.2210,0.202,0.201
1103,,0.293,0.330,0.3320,0.282,0.324
1104,,0.231,0.235,0.2060,0.221,0.243
1105.01,,0.227,0.241,0.2500,0.177,0.205
1105.02,,0.147,0.120,0.1390,0.127,0.128
1201,,0.368,0.356,0.3220,0.352,0.381
1202,,0.346,0.341,0.3430,0.328,0.347
1203,,0.311,0.285,0.3160,0.302,0.301
1204,,0.307,0.284,0.2560,0.246,0.222
1301,,0.119,0.120,0.1730,0.177,0.123
1302,,0.222,0.182,0.1960,0.144,0.145
1303,,0.206,0.211,0.2230,0.172,0.192
1401,,0.046,0.070,0.0420,0.042,0.049
1402,,0.093,0.107,0.0930,0.169,0.185
1403.01,,0.212,0.247,0.2340,0.227,0.219
1403.02,,0.148,0.131,0.1300,0.140,0.162
1404,,0.281,0.228,0.1610,0.122,0.136
1405,,0.155,0.149,0.1190,0.148,0.121
1406.01,,0.186,0.190,0.1810,0.172,0.169
1406.02,,0.113,0.125,0.1390,0.123,0.102
1407.01,,0.193,0.179,0.1530,0.157,0.106
1407.02,,0.131,0.150,0.1230,0.095,0.097
1408,,0.236,0.235,0.2380,0.211,0.184
1502,,0.214,0.190,0.1410,0.143,0.147
1503,,0.262,0.212,0.1990,0.174,0.164
1504.01,,0.241,0.191,0.1570,0.170,0.174
1504.02,,0.198,0.208,0.2290,0.228,0.234
1505.01,,0.224,0.280,0.3650,0.382,0.287
1505.02,,0.142,0.152,0.1640,0.151,0.160
1506,,0.230,0.186,0.2100,0.222,0.198
1507,,0.204,0.183,0.1600,0.140,0.131
1508,,0.198,0.169,0.1650,0.117,0.124
1510.01,,0.147,0.078,0.0620,0.108,0.098
1510.02,,0.171,0.132,0.1570,0.168,0.126
1511,,0.117,0.128,0.1480,0.120,0.105
1512,,0.194,0.170,0.1570,0.206,0.181
1601,,0.188,0.179,0.2480,0.213,0.175
1602,,0.247,0.178,0.1670,0.160,0.184
1603,,0.108,0.084,0.0700,0.057,0.068
1604,,0.120,0.123,0.1410,0.124,0.137
1605.01,,0.160,0.148,0.1490,0.122,0.102
1605.02,,0.140,0.156,0.1590,0.154,0.166
1606.01,,0.162,0.160,0.1450,0.144,0.110
1606.02,,0.165,0.127,0.1190,0.188,0.170
1607,,0.287,0.206,0.1550,0.181,0.182
1608,,0.231,0.228,0.2060,0.193,0.174
1609,,0.229,0.219,0.1570,0.182,0.241
1610,,0.175,0.187,0.1530,0.191,0.186
1611,,0.320,0.325,0.3270,0.293,0.356
1612,,0.164,0.154,0.1690,0.240,0.206
1613,,0.096,0.074,0.0720,0.075,0.102
1701,,0.134,0.111,0.1050,0.150,0.148
1702,,0.264,0.297,0.2620,0.315,0.312
1703,,0.241,0.230,0.2210,0.191,0.214
1704,,0.124,0.151,0.1690,0.184,0.197
1705,,0.279,0.275,0.2540,0.238,0.195
1706,,0.226,0.220,0.2270,0.225,0.234
1707,,0.170,0.150,0.1580,0.209,0.259
1708,,0.191,0.190,0.1860,0.167,0.160
1709,,0.260,0.249,0.2320,0.200,0.188
1710,,0.163,0.207,0.1740,0.202,0.196
1711,,0.271,0.273,0.2180,0.201,0.166
1801,,0.246,0.200,0.1950,0.173,0.190
1901,,0.082,0.073,0.1680,0.167,0.133
1902,,0.168,0.151,0.1770,0.153,0.129
1903,,0.132,0.150,0.1560,0.144,0.165
1904.01,,0.194,0.196,0.1700,0.148,0.137
1904.02,,0.216,0.154,0.1700,0.174,0.165
1906.01,,0.126,0.116,0.1690,0.126,0.099
1906.02,,0.135,0.136,0.1180,0.158,0.145
1907.01,,0.092,0.110,0.1070,0.081,0.097
