tract,median_age_2016,median_age_2015,median_age_2014,median_age_2013,median_age_2012,median_age_2011
101.0,36.555772818339705,36.6,34.4,32.4,32.5,31.5
102.01,32.22671032984486,31.8,32.2,30.6,31.0,30.9
102.02,38.28992456994216,37.8,40.2,41.0,41.4,41.3
103.0,40.119092544906195,40.1,39.6,39.4,38.1,38.6
104.0,26.144109730604463,25.4,25.6,26.5,29.3,28.5
105.01,37.90892616816557,37.8,38.0,37.2,34.0,33.2
105.02,28.995319904842624,28.5,28.8,27.4,26.5,30.3
105.03,42.361008630913226,43.4,35.0,34.1,31.0,27.6
106.0,34.95552213037042,34.5,35.9,34.1,35.0,34.4
107.01,34.33815173028499,34.0,34.1,35.6,34.6,34.5
107.02,32.45734866847991,32.1,32.3,30.9,29.9,30.8
201.0,36.51944672966176,36.1,36.3,34.7,40.7,37.0
202.0,39.324326837892876,39.1,40.3,40.8,38.4,39.0
203.01,42.40065729071118,42.4,42.4,40.4,40.5,40.8
203.02,41.009703323134474,40.9,41.2,41.3,40.8,40.3
204.0,38.6219995080499,38.6,36.8,38.5,39.2,39.8
205.0,32.5446441593226,32.0,33.3,33.1,33.4,33.7
206.01,33.6789396522349,33.7,31.0,29.7,28.6,28.0
206.02,34.92246172698334,34.6,34.8,35.4,34.8,37.6
207.01,40.77793924642496,40.9,38.8,39.2,39.7,39.9
207.02,33.04323960807625,32.7,32.5,35.3,33.2,35.9
208.01,40.129964285185046,39.8,42.0,40.2,40.0,40.2
208.02,33.69874356024459,33.4,33.1,34.4,33.0,30.7
209.01,31.122042306811327,30.7,30.5,31.3,30.9,30.8
209.02,38.24581568921785,37.9,39.5,36.8,37.8,39.4
301.01,44.78963252792444,45.0,43.7,43.6,43.2,42.3
301.02,39.82384307303591,39.8,40.2,45.7,36.9,35.3
301.03,33.41552184977597,33.1,32.4,32.3,33.6,33.1
301.04,22.612208087018846,21.9,21.9,22.4,21.0,21.5
302.0,39.398917777781634,39.6,37.3,33.3,33.3,36.2
303.0,35.757369043541466,35.5,35.7,35.9,34.4,34.8
304.0,34.392990621852164,34.0,34.7,35.6,34.6,34.3
305.0,35.3380975190304,35.0,35.3,35.5,35.8,35.5
306.01,42.097963796916304,41.8,44.5,41.9,41.6,41.7
306.03,30.91518624479004,30.4,30.9,32.1,31.6,31.2
306.04,41.918449756094695,41.7,44.3,41.6,38.9,37.7
307.01,36.79019005558056,36.5,36.8,36.6,37.3,35.8
307.02,49.94856298064172,50.4,50.3,52.0,43.9,48.7
307.03,37.758928288708596,37.4,38.6,37.5,38.8,40.1
307.06,47.50211923494838,47.6,48.2,44.1,46.1,44.1
308.0,38.92209668465699,38.8,38.9,36.8,36.5,36.3
309.0,37.9043973319032,37.7,37.8,37.8,37.6,37.3
310.0,36.25404001464198,35.9,37.3,38.4,35.5,35.3
311.0,38.31722062117565,38.1,38.5,38.6,38.1,36.3
312.0,39.728329670958566,39.1,43.9,41.5,41.2,40.2
313.0,44.75275071534494,44.9,44.7,43.2,41.6,41.6
314.0,41.063054606986135,41.0,40.9,41.8,40.8,43.4
315.01,38.53726905771013,38.4,38.4,38.7,37.2,35.8
315.02,34.339828698155706,34.0,34.7,33.5,32.1,31.3
317.0,34.42342181636141,34.0,34.7,33.9,35.1,34.9
318.0,34.10171484152263,33.9,32.8,32.5,32.5,32.7
319.0,34.53721736221491,33.9,37.3,37.7,35.0,33.9
321.0,33.59443060226949,33.3,32.2,32.6,34.6,34.1
401.0,37.478269194455564,37.2,37.7,39.2,38.4,39.0
402.01,33.88111697242209,33.5,33.8,34.3,34.1,35.2
402.02,37.21943356471226,36.9,38.2,34.7,35.3,37.3
403.0,43.87137133178586,43.6,46.1,44.5,45.5,43.7
404.01,37.2379391361952,37.2,35.8,37.3,35.5,41.9
404.02,33.10156562676437,32.7,33.2,33.1,32.3,32.7
406.0,34.62441754271209,34.3,33.9,34.8,36.0,34.5
407.0,35.67918910329283,35.3,36.4,37.5,35.9,36.3
408.0,35.062386423148624,34.8,34.4,34.8,34.8,37.1
409.0,33.82706194492727,33.5,33.5,33.1,32.8,32.6
501.0,33.66755002297414,33.4,32.6,31.6,32.6,31.9
502.0,36.30244797076417,36.0,36.0,36.5,37.7,36.8
503.0,37.040286159194935,37.0,35.2,37.1,36.4,36.6
505.0,35.8013887691451,35.5,36.3,35.5,33.9,35.0
506.0,31.38809830532884,31.0,30.8,30.7,30.1,30.4
507.0,33.32511435766237,33.0,32.3,33.1,34.0,32.6
