tract,median_income_2016,median_income_2015,median_income_2014,median_income_2013,median_income_2012,median_income_2011
101.0,32226.512405785634,32188,30798,32191,31063,31919
102.01,39744.12657738755,39122,40532,39908,38766,41528
102.02,27007.088657720724,27318,25250,36315,36369,44107
103.0,38421.80904217977,37111,42606,43483,41315,45964
104.0,38578.765028351554,38384,38531,41765,43125,48138
105.01,25368.17749699194,25309,26157,33090,34481,35411
105.02,35803.700665383454,35822,33340,30057,28607,31379
105.03,20127.498467515496,19813,21530,21230,20524,18952
106.0,37880.24576303168,37338,42246,43109,50236,45474
107.01,58408.97009154401,58319,54765,55220,54690,59625
107.02,36502.41529751081,35950,36967,42188,39805,45861
201.0,50782.816131811545,50456,51069,45865,50080,54444
202.0,70504.71823509979,63906,88476,88704,62415,85154
203.01,49391.21711041103,49109,49332,52171,55000,51912
203.02,60741.713538311174,60224,57765,59890,56181,55000
204.0,58026.868426053275,56419,62847,50987,52545,44519
205.0,38077.29874288426,37612,38173,37684,36455,35068
206.01,42918.66461393629,40819,50000,46591,43047,43599
206.02,44255.261894003976,43580,44702,42733,41386,46220
207.01,70000.04999976575,68750,72368,79167,80329,75466
207.02,53890.972431873815,54364,47571,41454,41250,38529
208.01,47049.38573296267,45263,56027,46611,52500,53328
208.02,44787.740329999004,42346,53356,42479,39406,48682
209.01,38949.242711228835,38799,37409,39658,38426,42652
209.02,34195.74979521191,33114,38320,39464,38854,39575
301.01,41270.445169014936,41188,39443,37979,37821,36667
301.02,43616.8633001806,43632,40849,33537,33583,32353
301.03,37572.085549610536,37383,34444,31029,26096,22941
301.04,37281.74593398786,36529,38246,35130,32537,33185
302.0,67216.54931692753,67700,58625,71071,67115,62788
303.0,36378.0745179863,36020,36520,32589,32684,33293
304.0,41969.94752478766,41250,41736,40871,36857,41667
305.0,63358.56376700419,62453,63906,62083,62623,62045
306.01,38877.97969013715,38822,36413,34384,32636,31510
306.03,28803.217337212038,28631,29017,25992,26596,25953
306.04,32876.457951499404,32069,38300,37424,42810,43344
307.01,33873.323104445364,33504,34375,34719,34464,30772
307.02,48210.45421484222,48870,48578,53199,67566,59479
307.03,45940.173599936476,46174,41373,41959,40313,36506
307.06,37247.46041179981,36362,37857,44970,38977,42041
308.0,69845.5184931719,70361,64736,66414,72243,70652
309.0,81268.82064435034,80657,76759,72647,69792,70469
310.0,67167.89479444247,66875,63333,64868,63433,57206
311.0,60768.37760145179,57994,65204,63329,49955,58972
312.0,19594.40004827881,20887,14643,12485,16650,17861
313.0,35528.58914214242,35349,34453,33984,32930,34286
314.0,74647.06216396457,74737,67100,67022,63750,65804
315.01,25150.724235533467,24643,26862,26134,25040,24167
315.02,21292.112894044574,21265,23598,24118,28964,25246
317.0,40536.9006563956,40129,41537,39475,41645,41150
318.0,56065.45215871676,57560,48672,54125,62841,52188
319.0,66957.02677672473,65027,69333,74612,67273,62564
321.0,49951.03776665858,49063,48625,52592,45525,47175
401.0,65781.94393230719,65599,61806,55243,55300,67414
402.01,59471.55247968235,59243,57568,58750,60612,57043
402.02,34359.92875845083,33750,37178,41897,43604,50156
403.0,81568.07469662894,79306,84750,72417,68125,57829
404.01,71563.15284885655,71510,66215,68140,67139,66845
404.02,70608.95024795229,70935,64153,60373,61738,60100
406.0,73385.44117839418,72931,69479,68021,66266,65962
407.0,74524.07988084151,73091,73556,75430,68611,62049
408.0,72922.526463465,71935,72625,77794,76979,67212
409.0,75178.52593271266,74297,68472,66964,54423,53125
501.0,78043.5680058815,77241,74875,76172,72750,73056
502.0,68933.62342386904,67275,71514,66214,64051,64746
503.0,80821.05310938846,80046,86023,81920,98523,76974
505.0,96799.42271755585,95447,95741,93088,92589,91458
506.0,95440.94692446844,95694,84063,88100,82616,90972
507.0,118526.34754964766,113676,127222,101923,89268,84906
508.0,112001.74069888832,109231,116750,120313,118864,115658
509.0,78532.05088197552,76429,83500,90956,89750,103611
510.0,103122.35093538584,101579,94479,105045,85625,94268
511.0,92859.25098801409,94375,77316,76689,76694,77083
512.0,102337.66230167974,102292,96484,85313,91685,82500
513.0,134509.3980812634,135350,132500,123026,155500,135234
514.0,77037.20656091315,75500,78790,75580,74655,72586
601.0,106578.21752151208,104500,105952,101750,96094,92579
602.0,64271.73233991247,63566,62857,54722,54125,51614
603.0,103939.42700482416,102074,105563,103603,104583,110247
604.0,120541.96506852683,118837,115163,115000,106000,102794
605.0,36136.983116325784,35781,37500,39931,42042,53000
608.0,76559.84560916449,76121,72258,69394,67820,64718
609.0,57650.99277384617,56515,60176,52162,53699,52511
610.0,100840.77654079835,101750,89766,85057,90078,77083
611.0,91243.22328805404,91893,79559,88289,85337,81667
612.0,101502.60571222505,100139,99211,99219,96667,95238
615.0,100677.66001838265,99464,96364,100921,95000,92702
618.0,46379.07951588534,44833,49448,57563,51250,48558
619.01,50140.35945831565,49756,49796,52664,53833,47451
619.02,57281.87676239436,57623,50732,52654,50346,54528
620.0,80709.50679887495,80131,80745,70851,78904,76229
621.0,95379.94982803774,91250,101275,96571,78750,78785
622.0,109884.21764106651,107073,112564,116938,109871,99541
623.0,132076.81921531272,133542,112768,104583,105438,103750
624.0,123394.35215216276,120833,117368,130833,109609,120278
625.0,106988.37411511772,106771,102250,102444,109167,109750
626.0,108939.57284564745,110938,95491,88482,103125,97500
627.0,106471.83550198338,105813,100625,103412,102120,101863
628.0,125682.2377004208,125156,116310,103708,102162,99732
629.0,125584.05288250021,125000,115526,114076,109167,106002
630.0,85846.68587547822,84412,85426,69830,68594,73578
631.0,91471.04328138744,90429,84896,70900,61786,57895
632.0,57410.51438666928,57350,54187,53750,54358,56419
633.01,41462.106014018216,40789,43958,41884,44464,44487
633.02,66015.28971545918,64991,67800,65233,67802,67234
633.03,70124.53263059969,67857,76500,74006,73077,77453
634.0,85336.29007567618,83333,83458,78542,66198,71250
701.01,73362.12174901308,72985,68180,70379,66329,63014
701.02,62442.82958882017,61506,64507,59971,63567,62736
701.03,53542.08423058131,53008,51768,53750,50872,54423
702.0,87955.58344215246,86909,86168,84919,84223,81132
703.0,98738.55028455838,96833,99821,93324,91910,98400
704.0,89631.45004773654,88897,84038,87333,81800,93347
705.0,121656.01922306542,123313,104306,104803,108958,101406
706.0,151288.51228493336,147596,150987,147738,134018,131735
707.0,127530.28159241131,125781,120875,116364,106071,108068
710.0,101770.27828746491,100507,99306,95250,93972,104485
711.0,104325.92959690363,101250,108659,110813,103250,100341
712.0,98334.81200445339,98125,89583,83750,80321,83555
713.0,102432.03672669981,103710,90367,83194,90969,89485
714.0,69321.5081932543,69415,65846,68651,72907,71208
715.0,90468.62699818064,90160,86267,82021,85528,79406
716.0,126478.94669182629,128295,117833,103167,131100,119286
717.0,128411.00887906927,128750,120938,113875,126736,116875
718.0,134903.39387252164,131979,134271,125100,116510,104453
801.0,89415.25668385664,87099,90597,90109,81341,81458
802.01,74891.1077007774,73946,74195,75029,74727,76765
802.02,83757.46227138124,83942,77172,85997,87136,84688
803.0,104300.79931087446,102240,104598,96250,92744,91104
804.0,22980.438466349704,22995,25208,16411,22917,13185
810.0,40520.01652014426,40041,45593,38582,49429,50851
811.0,57502.134408765654,57332,56607,49716,54871,58426
812.01,76599.74819924963,76103,73263,69845,69792,70521
812.02,99899.0002993639,101317,81154,88922,81452,88077
813.0,92764.07221574512,88750,102096,96796,87396,93584
814.01,76722.62300025352,75375,81818,66875,76699,88464
814.02,107317.20557935357,106026,105625,100117,101640,106818
814.03,85840.13717204778,87321,76327,77374,88523,70539
815.0,92075.10865758122,89718,94327,100938,93938,89350
816.0,92227.99535823808,92298,85395,84608,86786,88319
817.0,92647.85296571795,91348,92011,90116,90136,80134
818.0,96830.97503982144,93934,100650,101176,93024,103609
819.0,134220.07818087196,134167,120938,99250,97500,84196
901.0,75840.40520233026,76389,70221,72500,78903,87083
902.0,86597.97191552058,86125,83561,82010,85000,80908
903.0,87307.07640957454,85114,90938,85278,83419,87431
1001.0,64552.30504379433,62976,66941,67589,64352,65046
1002.0,73734.74363868599,71923,78084,76176,76881,74710
1003.0,63033.2992827116,62885,59063,57869,57163,64960
1004.0,92632.47352559003,92589,85761,81464,82679,78681
1005.0,95889.07216930139,97232,82478,73426,77679,80497
1006.0,63934.52751389725,63988,58750,59606,58578,57962
1007.0,73829.70382989077,72652,73125,69237,66429,69375
1101.0,59533.867349689186,55809,74306,63558,62520,63981
1102.0,68953.41276304143,70417,56327,57461,57641,55164
1103.0,73160.93499174253,70701,77986,73026,67361,70545
1104.0,68322.39325829843,68405,64289,47474,52155,51053
1105.01,65975.25507516222,64485,67670,65721,62552,55268
1105.02,45975.83959617993,46156,46065,45440,53594,51827
1201.0,113225.91249662434,113889,107839,84459,103929,104493
1202.0,105566.7144329118,105233,95417,96833,89773,88063
1203.0,106907.86611044928,105606,104397,102254,101402,101306
1204.0,80825.06004714787,79966,77583,68782,66210,67147
1301.0,30004.939838608585,30000,30231,43454,44654,35294
