tract,percent_vehicle_alone_2016,percent_vehicle_alone_2015,percent_vehicle_alone_2014,percent_vehicle_alone_2013,percent_vehicle_alone_2012,percent_vehicle_alone_2011
101.0,33.433645676988924,32.71028037,37.49417792,34.28571429,37.00458907,33.967391299999996
102.01,45.556679962914146,45.26672834,47.86566227,47.62752076,45.79207921,47.78106509
102.02,41.039055358132046,41.47783251,29.51420715,31.96229649,31.37082601,27.58928571
103.0,32.91776337502074,32.285911600000006,29.61446605,33.43793584,39.15521287,42.65625
104.0,23.154830110131957,22.00634417,26.75105485,28.42193386,31.45933014,36.39751553
105.01,31.50685436182519,30.63477461,32.82967033,36.21505376,39.14712154,38.98745132
105.02,24.383671817368715,23.73813093,20.657277,24.48092709,26.32516704,31.74386921
105.03,36.550613613294374,36.33802817,35.04880213,37.43922204,32.3902439,36.50485437
106.0,33.8299109393237,33.32434618,36.051612899999995,37.4300112,32.64117498,35.25504782
107.01,46.12850026514557,45.6490034,53.03482587,49.14942529,48.2316534,51.47660154
107.02,36.28513287663671,35.67426223,34.14817601,37.21844834,43.02989587,40.456942
201.0,60.257661563254075,60.23936170000001,61.74016687,61.45151695,62.72222222,65.11904762
202.0,62.63743796232203,62.46418338,64.73704124,69.85396384,69.03431764,71.41756549
203.01,66.23896930127836,66.24795194,65.87070472,72.82546902,71.82448037,73.03732304
203.02,58.93686974485139,58.887832700000004,61.44883485,60.02971768,60.71085495,55.96578118
204.0,60.82984248260322,60.91846298,61.00489106,63.06104129,61.53488372,62.09882832
205.0,53.2848599644935,53.6270583,48.19910967,49.77187889,47.69230769,54.50597177
206.01,53.5771757833072,53.62101313,48.03412463,53.69774920000001,55.74036511,56.12289052
206.02,48.866400234591566,48.86634845,48.26388889,52.55131965,45.14138817,59.34622468
207.01,73.92335442977864,74.02597403,78.3847981,79.69432314,78.21100917,77.51540041
207.02,58.3377454091388,58.50356879,59.18703653,59.08396947,55.30726257,67.76054814
208.01,63.257207129960904,63.31104994,68.2511993,69.48240166,62.06021037,60.23391813
208.02,52.28066434707941,52.110707299999994,49.93137524,60.32775691,55.53285666,57.92926412
209.01,50.3351009031253,50.0,54.52042221,52.90215589,53.14285714,57.00657895
209.02,46.06612670867342,45.20624303,48.33802817,51.27388535,61.21015667,57.96387521
301.01,23.259386116842393,22.30106437,23.56526155,26.51802657,29.33401118,31.99598796
301.02,33.1771882052095,32.57756563,32.27923628,34.14634146,36.87727825,27.68227623
301.03,18.532853247996943,17.82708493,16.821639899999997,20.48957389,16.79764244,30.64361191
301.04,19.985956011572963,18.87686062,21.95121951,24.02645114,26.78571429,31.048387100000003
302.0,40.72992424091111,40.58494906,36.56373193,38.53881279,39.76608187,43.10289901
303.0,51.545421605826974,51.86651584,48.54848672,47.72581678,44.02840542,51.78013741
304.0,40.69670014641273,39.98493976,40.22988506,44.84848485,50.90909091,52.63518138
