tract,percent_non_citizen_2016,percent_non_citizen_2015,percent_non_citizen_2014,percent_non_citizen_2013,percent_non_citizen_2012,percent_non_citizen_2011
101.0,9.272940597049471,9.352,8.546,9.787,9.142000000000001,6.3420000000000005
102.01,25.324756467434284,26.311,21.333000000000002,24.576,22.349,22.393
102.02,19.214428604474527,19.748,19.145,19.048,16.347,17.688
103.0,20.16791985812207,20.734,19.668,22.076999999999998,20.465999999999998,15.043
104.0,6.085898774479983,5.9270000000000005,6.977,9.203,10.597000000000001,13.743
105.01,8.824659283325698,8.861,8.823,11.95,15.369000000000002,16.733
105.02,24.32639950878866,25.081,25.500999999999998,22.872,18.912,19.275
105.03,11.60367626756312,11.923,10.368,9.161,11.439,6.751
106.0,15.426108576335524,15.904000000000002,15.277000000000001,13.835,17.727,20.660999999999998
107.01,24.162295595532584,24.805999999999997,25.494,27.111,23.045,22.029
107.02,30.87215351157542,31.919,30.793000000000003,35.272,34.946,33.783
201.0,13.172269635466733,13.388,13.258,15.495,15.527000000000001,11.815999999999999
202.0,17.072997840971126,17.456,15.651,19.707,15.092,10.321
203.01,7.099174996636309,7.157,5.803,5.102,5.311,6.625
203.02,20.319600138495915,20.385,28.08,32.233000000000004,29.584,28.125999999999998
204.0,16.42524302792237,16.799,16.698,17.9,16.906,12.944
205.0,23.94459112059252,24.646,25.799,25.331,24.745,24.372
206.01,35.17715980180484,36.777,31.313000000000002,29.265,28.217,22.068
206.02,25.20929983999161,26.039,25.011999999999997,27.263,27.483,27.548000000000002
207.01,8.342069030936852,8.318,9.72,7.343999999999999,5.355,9.491
207.02,17.250567991698553,17.694000000000003,17.894000000000002,19.125999999999998,21.482,22.186999999999998
208.01,15.00643611018291,15.588,10.35,14.613,18.55,20.903000000000002
208.02,41.72018823857089,43.074,46.398999999999994,45.842,40.283,33.434
209.01,31.210819525547855,31.994,36.525,38.299,35.119,39.168
209.02,13.643484461182044,13.742,16.352999999999998,22.725,29.072,29.641
301.01,19.85423997969771,20.454,20.955,20.259,23.326,24.802
301.02,15.286204476161354,15.764000000000001,12.991,17.962,23.766,24.904
301.03,16.658899128501474,17.0,17.292,17.774,14.088,13.917
301.04,17.120266323671927,17.522000000000002,19.062,17.449,18.073,15.088
302.0,9.718957995547962,9.783,9.386000000000001,11.543,11.204,6.919
303.0,14.142688778410207,14.423,14.464,16.104,17.244,22.557
304.0,15.29448902476911,15.652999999999999,16.698,17.767,23.495,18.034000000000002
305.0,10.465985961097804,10.373,12.49,16.363,14.22,13.909
306.01,19.950029745652735,20.565,19.333,19.849,19.042,22.7
306.03,35.323405073246086,36.715,32.031,39.614000000000004,40.306,40.223
306.04,21.76282744244552,22.302,23.945,27.308000000000003,29.9,24.886
307.01,16.655650552218688,17.374000000000002,13.379000000000001,10.187999999999999,12.017999999999999,14.262
307.02,17.788284288567617,18.6,15.548,14.239,25.160999999999998,9.58
307.03,5.17921704335796,5.08,4.769,4.9239999999999995,5.497999999999999,5.622000000000001
307.06,17.951178022118498,18.278,20.694000000000003,19.916,16.93,20.14
308.0,7.158929100623412,7.256,7.65,3.8569999999999998,8.585,7.841
309.0,6.851605904112501,6.837999999999999,5.675,7.013999999999999,6.6770000000000005,4.873
310.0,10.925395283826983,10.997,11.925,12.585,11.478,14.599
311.0,14.355461213586917,14.812000000000001,9.357000000000001,15.658,15.081,19.854
312.0,7.964282131554815,8.019,7.778,8.811,12.577,13.717
313.0,12.003384676425192,11.929,15.498,19.076,18.076,20.605
314.0,4.977471799845472,4.791,6.065,6.097,6.8389999999999995,8.306000000000001
315.01,11.165556708936561,11.333,11.837,14.333,20.339000000000002,22.193
315.02,15.127485006346943,15.222000000000001,20.178,17.718,14.588,16.53
317.0,8.39942646537604,8.356,8.046,10.969000000000001,8.845,10.991
318.0,13.441987244225407,13.42,19.045,18.602,18.247,19.11
319.0,8.247003326213477,8.259,5.732,13.248,14.085,9.655
321.0,12.49946092666963,12.623,14.245999999999999,14.007,12.6,11.024000000000001
401.0,11.71753741837188,12.015,9.955,9.72,9.626,6.056
402.01,10.699047527108775,10.895999999999999,11.977,10.055,15.369000000000002,20.69
402.02,20.25603101278667,20.879,20.67,20.848000000000003,22.878,23.018
403.0,11.89745584554899,11.950999999999999,12.800999999999998,17.014,16.308,12.445
404.01,7.187066388310601,7.178,6.206,8.182,8.69,5.707000000000001
404.02,8.515480544881848,8.449,9.104,12.164000000000001,11.789000000000001,14.057
406.0,5.90204916827402,5.749,7.265,9.015,12.460999999999999,16.616
407.0,5.737981286454535,5.497999999999999,8.082,8.586,8.542,8.759
408.0,3.2303662702182403,2.932,4.959,4.247,4.564,4.0569999999999995
409.0,6.404649328288801,6.459,6.138,6.854,15.02,9.027000000000001
501.0,4.189032133285481,3.978,4.904,4.769,4.861000000000001,4.369
502.0,4.523576378230418,4.283,5.605,6.349,5.986000000000001,5.837999999999999
503.0,5.96593390821377,5.952000000000001,4.4430000000000005,4.544,4.037,4.082
505.0,4.0562118689917295,3.9160000000000004,3.187,2.94,2.209,2.4330000000000003
506.0,1.733109148064954,1.4340000000000002,2.734,1.8780000000000001,4.2219999999999995,2.675
507.0,3.207572976821266,3.025,2.6239999999999997,2.285,2.452,2.508
508.0,2.28931399762505,2.0140000000000002,1.261,3.0389999999999997,1.485,1.744
509.0,5.0188274794892145,4.916,5.301,2.859,2.4819999999999998,2.186
510.0,7.378947536930493,7.335,7.95,5.932,3.3510000000000004,3.0869999999999997
511.0,8.792535688038548,8.802999999999999,8.388,8.913,5.402,5.957999999999999
512.0,1.993201543452541,1.7109999999999999,1.921,1.595,1.018,1.6130000000000002
513.0,3.362966479869821,3.185,2.912,2.6010000000000004,3.092,2.531
514.0,6.041236645405875,6.086,3.45,3.54,2.759,4.17
601.0,2.905639360488321,2.654,2.542,2.75,0.8959999999999999,0.9470000000000001
602.0,10.983902229616032,11.302999999999999,7.761,8.828,9.133,9.71
603.0,4.578334261134536,4.4030000000000005,5.227,3.333,1.7080000000000002,0.878
604.0,7.361399513398528,7.354,6.67,6.824,5.268,5.861000000000001
605.0,4.753550703380811,4.428,7.611000000000001,7.347,5.603,5.556
608.0,8.588727365367554,8.613999999999999,9.152999999999999,9.578,11.175,10.514000000000001
609.0,5.091227198903973,4.862,7.65,7.29,9.648,12.824000000000002
610.0,6.611267648253635,6.539,7.343,7.656000000000001,9.732000000000001,9.277000000000001
611.0,1.6427414891099676,1.3869999999999998,0.993,1.197,2.2030000000000003,1.33
612.0,2.6826857585153725,2.403,3.266,3.179,3.252,4.709
615.0,5.73274659308664,5.697,5.593999999999999,3.205,3.4810000000000003,2.9819999999999998
618.0,15.495716129109603,15.860999999999999,16.018,14.148,12.100999999999999,10.66
619.01,8.24014369262456,8.355,6.737,7.035,7.978,10.485
619.02,9.519839843613095,9.738,8.85,5.834,7.69,5.474
620.0,4.887190308083145,4.795,4.315,3.765,4.151,4.409
621.0,5.577744126727555,5.507999999999999,4.122,4.407,1.96,2.565
622.0,2.487803325527992,2.262,1.172,2.5610000000000004,2.04,2.29
623.0,3.438818281574574,3.228,2.972,2.998,1.465,1.3090000000000002
624.0,0.9986826026228367,0.659,0.74,2.926,4.783,4.378
625.0,1.0255136631054684,0.723,0.9690000000000001,0.722,2.1719999999999997,1.9180000000000001
626.0,5.88338148492806,5.8260000000000005,5.524,4.93,5.064,4.021
627.0,4.691940654029846,4.58,5.005,4.117,6.604,4.486000000000001
628.0,4.986021980983645,4.857,4.351,4.986000000000001,4.072,3.841
629.0,2.4545949954106483,2.205,2.5380000000000003,1.636,1.4469999999999998,1.355
630.0,8.447111498408747,8.576,6.972,6.0760000000000005,5.629,3.142
631.0,5.140087830595183,4.808,8.045,9.186,7.95,11.681
632.0,11.618433438435142,11.725999999999999,13.359000000000002,11.152999999999999,8.701,11.616
633.01,5.444849606877237,5.309,7.045,6.617000000000001,10.427,10.27
633.02,8.870618646940379,9.031,7.167000000000001,6.04,5.117,5.528
633.03,2.250253444066927,1.801,5.704,5.725,6.617999999999999,3.2760000000000002
634.0,3.6673669878223367,3.4219999999999997,4.124,3.9130000000000003,2.367,2.307
701.01,4.209213827881644,4.063,3.611,3.6310000000000002,3.3810000000000002,3.722
701.02,9.675028594184203,9.763,8.998,9.342,6.83,5.541
701.03,5.183443977112792,4.85,6.372999999999999,11.365,9.189,6.232
702.0,5.993327134979668,5.875,6.1979999999999995,6.325,5.141,3.2110000000000003
703.0,4.172119480834416,4.0280000000000005,3.7539999999999996,3.785,4.481,4.287
704.0,5.351794821005835,5.212000000000001,5.087,6.542999999999999,6.26,4.428
705.0,2.177319034390222,1.849,2.349,4.353,4.379,5.09
706.0,2.5888567593001675,2.331,3.114,2.294,2.8569999999999998,5.135
707.0,4.296051711416188,4.075,5.599,4.138,3.4339999999999997,4.6080000000000005
710.0,3.7273108287966004,3.4739999999999998,4.933,4.811,5.432,4.559
711.0,4.765587995220219,4.684,4.57,3.13,4.7219999999999995,4.851
712.0,2.6596201582465606,2.455,1.786,2.965,4.623,4.548
713.0,5.664937077613261,5.5889999999999995,5.565,4.106,3.4130000000000003,3.148
714.0,7.690171733210775,7.556,9.846,8.251,5.053999999999999,5.925
715.0,4.732236722858996,4.563,4.956,5.843,6.6160000000000005,6.622999999999999
716.0,2.8079560486398494,2.221,8.571,8.637,7.031000000000001,7.167000000000001
717.0,7.831237711690702,7.916,6.398,5.942,5.377999999999999,4.212
718.0,2.8991023555301187,2.653,2.397,3.761,3.4810000000000003,3.307
801.0,2.6552215100639973,2.345,2.7939999999999996,5.445,5.922999999999999,5.202000000000001
802.01,5.245491397767707,5.156000000000001,5.41,4.563,6.228,6.4510000000000005
802.02,7.339381453818415,7.151,11.039000000000001,9.372,9.302999999999999,7.93
803.0,4.16196010698782,3.972,3.9960000000000004,5.7379999999999995,6.8260000000000005,6.066
804.0,6.877700577051119,6.907,7.0920000000000005,2.864,2.315,2.3680000000000003
810.0,14.452218205524293,14.959000000000001,11.565999999999999,11.509,12.487,12.347000000000001
811.0,8.985101224825492,9.027999999999999,9.652999999999999,9.83,11.312999999999999,8.865
812.01,11.003171235260607,11.362,8.765,5.449,5.582999999999999,5.815
812.02,2.782162125934882,2.562,2.701,2.693,4.092,4.547
813.0,13.590121470503297,13.953,11.894,11.474,9.522,7.856
814.01,9.425553787690887,9.285,13.394,14.534,15.844000000000001,17.261
814.02,12.646831786261805,13.325,4.352,6.2620000000000005,7.636,7.612
814.03,16.51626106372308,16.982,15.448,15.488,13.71,11.985
815.0,10.826711692735463,10.91,12.364,11.94,12.347000000000001,13.719000000000001
816.0,5.5644311846740075,5.2989999999999995,9.347999999999999,9.777999999999999,13.815999999999999,15.474
817.0,13.086563007492561,13.327,12.753,16.186,18.363,20.54
818.0,5.0217775487870995,4.887,4.7410000000000005,5.1770000000000005,4.776,4.016
819.0,5.9591960431792765,5.916,5.816,3.392,2.347,0.0
901.0,4.689164395862328,4.532,4.2,4.132,1.825,1.0270000000000001
902.0,4.284754660530064,4.1530000000000005,3.372,3.5860000000000003,3.177,1.23
903.0,1.018496186076816,0.68,0.981,1.1179999999999999,0.807,0.6729999999999999
1001.0,8.76185408422054,8.874,7.077000000000001,8.148,7.6339999999999995,6.05
1002.0,3.444147530683117,3.0980000000000003,5.587000000000001,8.243,11.102,8.668
1003.0,2.286321409507993,2.04,2.189,2.11,3.237,2.384
1004.0,3.1137435273921477,2.81,4.163,3.8160000000000003,2.182,2.37
1005.0,5.164995726045026,5.145,3.821,3.2739999999999996,4.736000000000001,8.507
1006.0,6.562374965594068,6.537000000000001,6.681,6.987,10.097999999999999,9.589
1007.0,6.567582354698042,6.412000000000001,7.496,8.948,7.968,10.442
1101.0,5.6308433580379695,5.615,4.592,5.59,9.172,7.292000000000001
1102.0,10.613979467226189,10.769,9.977,13.273,16.612000000000002,16.125
1103.0,10.070903387551542,10.177,8.638,12.693,12.72,11.545
1104.0,12.851202721670669,12.952,13.99,16.646,14.533,10.819
1105.01,7.805082673488174,7.7989999999999995,7.765,9.427,11.1,7.992999999999999
1105.02,13.786278348280625,14.16,12.123,13.991,15.585999999999999,15.610999999999999
1201.0,2.0830630156906427,1.8159999999999998,2.079,1.7790000000000001,2.21,2.886
1202.0,5.709726596928242,5.629,4.899,5.015,3.529,4.736000000000001
1203.0,5.7710145431954825,5.767,4.871,2.533,2.073,3.534
1204.0,7.586778391816497,7.6,7.138999999999999,6.611000000000001,5.593,4.867
1301.0,7.030548325212293,7.002999999999999,8.24,5.593999999999999,6.7139999999999995,8.164
1302.0,16.787941084155854,17.16,18.836,17.32,17.590999999999998,7.462999999999999
1303.0,16.21206782392094,16.673,15.418,17.230999999999998,19.750999999999998,22.41
1401.0,35.568046598174284,36.783,36.259,39.291,35.371,39.315
1402.0,29.041403110186742,29.99,31.636999999999997,32.844,37.106,42.06100000000001
1403.01,33.31923505537611,34.596,30.968000000000004,37.24,38.444,37.23
1403.02,26.83877883378438,27.775,26.789,26.583000000000002,25.488000000000003,24.614
1404.0,13.232572772142934,13.253,16.463,20.185,20.7,18.107
1405.0,22.008548655365054,22.564,25.309,25.596,28.096,27.03
1406.01,40.00657177136477,41.545,41.361000000000004,43.443999999999996,47.556000000000004,43.251000000000005
1406.02,28.914040747458046,29.816999999999997,30.958000000000002,34.302,37.010999999999996,34.858000000000004
1407.01,23.186903777991773,23.997,21.886999999999997,24.39,26.31,29.142
1407.02,32.76028457116091,34.124,31.11,27.99,25.735,27.773000000000003
1408.0,16.83848767106,16.977,21.889,21.923000000000002,19.71,20.254
1502.0,14.56395720026621,14.902000000000001,14.972999999999999,13.735,13.463,11.585999999999999
1503.0,7.379292548127112,7.315,8.065,8.579,8.761000000000001,6.811
1504.01,7.028498211564768,7.0089999999999995,6.285,7.983,8.789,10.445
1504.02,14.421439247636558,14.918,11.745999999999999,10.626,10.243,10.532
1505.01,8.37454824991143,8.446,8.255,7.375,8.347000000000001,12.335
1505.02,11.59610769300906,11.758,11.399000000000001,12.845,12.298,9.764
1506.0,8.028182818224138,8.074,6.774,7.91,7.068,11.437000000000001
1507.0,14.04564089934463,14.311,14.196,15.762,15.48,13.540999999999999
1508.0,18.802711208778106,19.438,17.538,16.414,15.991,18.165
1510.01,21.623097615174984,22.226999999999997,23.168000000000003,20.941999999999997,17.808,19.272000000000002
1510.02,24.32969370046586,25.131999999999998,23.543000000000003,25.685,24.651,24.680999999999997
1511.0,22.964737947519026,23.730999999999998,23.113000000000003,23.204,24.741999999999997,26.9
1512.0,24.14176540429044,25.078000000000003,21.576,22.659000000000002,23.116999999999997,26.55
1601.0,16.336534583927293,16.84,14.812999999999999,11.863,7.156000000000001,9.072000000000001
1602.0,4.077158028245988,3.551,10.309000000000001,9.785,8.912,8.884
1603.0,22.689755431618977,23.381,24.478,21.613000000000003,20.763,19.058
1604.0,20.3214090778053,20.935,21.1,20.11,20.930999999999997,22.680999999999997
1605.01,30.878417836102287,32.138000000000005,28.635,30.703000000000003,33.113,32.818000000000005
1605.02,26.043920746472217,26.822,26.27,31.463,31.313000000000002,26.884
1606.01,25.57393178649439,26.146,28.732,32.583,29.035,17.864
1606.02,17.742699220986864,18.413,15.565999999999999,12.243,11.105,13.52
1607.0,16.50682754526236,16.969,17.111,12.173,9.083,7.4110000000000005
1608.0,20.050863235296184,20.684,19.729,20.779,22.73,19.829
1609.0,8.83961537083927,9.06,8.495,3.8480000000000003,6.93,9.843
1610.0,5.884179052849584,5.807,5.968,5.619,6.417999999999999,5.667000000000001
1611.0,7.29623605995317,7.295,7.206,6.456,6.43,4.8260000000000005
1612.0,21.039482883919298,21.728,22.523000000000003,19.377,22.293000000000003,20.866999999999997
1613.0,27.678504140323263,28.656,28.1,25.72,23.165,20.756
1701.0,13.847334740170872,14.048,14.965,14.9,12.120999999999999,10.599
1702.0,16.779756262059003,16.875,22.858,24.045,24.609,24.947
1703.0,13.279803418674614,13.689,11.285,14.373,20.595,21.958000000000002
1704.0,16.230738753054048,16.653,15.511,16.308,14.956,12.227
1705.0,11.352749673010958,11.515999999999998,11.866,10.577,9.552999999999999,9.76
1706.0,11.671454650429432,11.745999999999999,11.607999999999999,14.825999999999999,11.25,10.72
1707.0,18.26417192415596,18.776,18.827,19.409000000000002,21.739,22.445999999999998
1708.0,14.566011475460634,15.046,13.227,9.709,9.163,8.97
1709.0,10.767415126224146,10.989,9.08,10.747,11.777999999999999,16.648
1710.0,11.793811686441549,11.96,11.687000000000001,14.59,16.141,14.994000000000002
1711.0,14.179108934765763,14.454,16.796,13.557,15.557,16.912
1801.0,17.456398896042174,17.852999999999998,18.942,19.785999999999998,20.858,22.724
1901.0,27.221096045440483,28.229,25.0,29.276999999999997,30.26,35.283
1902.0,23.39809117973602,23.967,27.204,25.673000000000002,23.664,26.930999999999997
1903.0,24.812385203788338,25.544,25.289,28.733,27.923000000000002,28.809
1904.01,27.340293096057387,28.177,31.389,27.891,28.779,28.55
1904.02,20.164832980384247,20.954,18.074,15.915999999999999,16.730999999999998,19.72
1906.01,21.198235284184648,21.619,24.744,27.361,27.826999999999998,29.961
1906.02,23.95742490515486,24.862,23.362,20.706,21.462,21.534000000000002
1907.01,26.457409428852706,27.776,20.573,21.149,26.576,27.980999999999998
