tract,percent_disability_2016,percent_disability_2015,percent_disability_2014,percent_disability_2013,percent_disability_2012
101.0,11.01392283089423,11.0,10.6,10.9,11.2
102.01,14.565626181214775,14.8,11.0,8.9,9.3
102.02,13.58070312666028,13.8,15.1,16.2,17.1
103.0,11.261819931441678,11.2,10.5,7.9,9.0
104.0,9.285298851578524,9.1,8.1,7.3,7.5
105.01,14.003379796095565,14.2,13.2,11.7,12.0
105.02,6.350566625431694,5.9,6.7,5.3,5.7
105.03,19.227899888922323,19.9,17.1,16.9,17.5
106.0,8.080424315422656,7.8,7.1,6.6,7.3
107.01,7.226899464772623,6.9,6.6,7.2,4.4
107.02,7.266128464020254,6.9,6.3,5.1,4.1
201.0,11.925831552083205,12.0,10.7,11.4,13.3
202.0,10.760528036506008,10.7,14.0,13.5,8.9
203.01,17.881617074726194,18.4,18.1,16.4,18.8
203.02,10.315569039079913,10.2,8.1,6.5,7.2
204.0,12.889743179761814,13.0,10.2,8.9,7.8
205.0,11.394234625246701,11.4,11.3,11.1,10.9
206.01,11.209992245185408,11.2,8.3,7.9,8.1
206.02,7.966710854148131,7.7,5.9,6.3,6.0
207.01,10.967859228836481,10.9,10.4,8.6,6.1
207.02,11.893663950512943,11.9,12.4,10.5,9.0
208.01,13.982567596766131,14.2,11.1,10.4,11.5
208.02,8.609187792264517,8.4,9.0,9.7,9.7
209.01,7.302617637474774,7.0,6.0,7.3,7.8
209.02,18.355132556864298,18.9,18.1,15.8,14.2
301.01,18.61010308325882,19.2,17.2,15.8,13.8
301.02,12.338519749644949,12.4,12.4,11.2,8.3
301.03,16.444731213786977,16.9,17.5,18.3,14.1
301.04,11.944399564921673,12.0,8.4,8.1,6.9
302.0,9.950148132853235,9.8,8.5,6.8,8.8
303.0,6.960905983375759,6.6,7.5,7.7,9.4
304.0,13.255983753393439,13.4,11.8,10.7,9.7
305.0,6.654951445443004,6.3,5.3,6.7,6.3
306.01,11.952501459812693,12.0,12.3,11.9,10.6
306.03,4.16483619539123,3.6,5.2,6.8,5.2
306.04,19.053265518869914,19.6,20.1,15.5,12.3
307.01,12.243071875368349,12.3,8.7,7.4,10.4
307.02,9.350580927731173,9.3,9.7,14.4,10.6
307.03,13.674058027366183,13.9,14.5,15.5,18.2
307.06,19.527153043736995,20.2,20.7,19.7,21.8
308.0,6.4520534424265605,6.1,6.0,8.3,6.3
309.0,6.867638692786537,6.5,6.7,6.9,5.6
310.0,7.305514690273006,7.0,5.0,6.1,6.4
311.0,9.242050706287177,9.1,7.2,8.3,5.4
312.0,17.610283126493684,18.1,21.3,19.6,19.3
313.0,13.910176108309932,14.1,13.9,12.5,13.3
314.0,9.590950963670739,9.4,10.1,8.1,8.7
315.01,18.023327778607005,18.6,16.3,16.4,14.9
315.02,10.257947247227177,10.2,7.9,8.9,9.7
317.0,10.727053547364342,10.7,7.9,8.5,8.4
318.0,6.650995902202878,6.3,5.6,7.2,6.4
319.0,7.449557190761457,7.2,6.2,9.2,3.6
321.0,12.576546009833477,12.7,10.5,10.9,13.0
401.0,7.850768794560044,7.6,7.6,9.2,9.2
402.01,5.941595148073126,5.5,6.0,6.4,8.6
402.02,13.056802470580168,13.2,13.5,13.2,12.7
403.0,13.153166041514076,13.3,7.6,6.7,7.1
404.01,7.800075180692645,7.4,6.9,2.4,5.2
404.02,5.552616202639047,5.1,5.4,6.7,5.4
406.0,5.65509189318737,5.2,5.0,5.8,3.4
407.0,6.029784802176737,5.6,4.9,5.4,6.6
408.0,9.814754790218148,9.7,9.0,9.3,10.6
409.0,7.713379662563498,7.4,10.8,10.5,11.2
501.0,4.5936729990671115,4.0,3.0,1.7,3.6
502.0,8.811090907642656,8.6,9.1,9.0,9.2
503.0,9.10185814569393,9.0,8.9,12.3,10.5
505.0,5.293928956041356,4.8,5.3,5.8,5.1
506.0,4.979643274273184,4.4,8.9,7.2,8.4
507.0,3.4745206956643453,2.8,5.1,4.6,4.2
508.0,4.2872408150604535,3.7,3.4,3.5,3.6
509.0,2.9951715124392777,2.3,2.7,2.9,2.9
510.0,3.9328428638361173,3.3,3.8,3.3,4.6
511.0,5.506250174740758,5.0,5.0,4.2,2.9
512.0,4.149555271308216,3.6,5.3,7.6,8.6
513.0,2.6312867427283937,1.9,1.2,1.1,1.0
514.0,9.587926705265327,9.4,8.1,6.1,4.7
601.0,5.683600363273196,5.2,4.9,4.4,5.5
602.0,3.9821455400231387,3.4,7.6,9.3,8.8
603.0,7.034053536433311,6.7,5.2,6.1,5.5
604.0,2.534819973500398,1.8,1.2,1.3,1.4
605.0,17.840963556392538,18.4,16.0,16.0,15.9
608.0,4.094912128285543,3.5,3.8,4.3,4.8
