tract,percent_english_2016,percent_english_2015,percent_english_2014,percent_english_2013,percent_english_2012,percent_english_2011
101.0,97.51486934109292,97.8,97.4,93.1,95.0,94.9
102.01,91.38820604358611,91.3,92.3,93.8,96.1,92.7
102.02,96.34619020490182,96.5,95.6,95.8,96.9,96.5
103.0,92.37941224307758,92.4,93.1,92.5,93.2,91.0
104.0,98.06841782017368,98.3,98.3,97.3,96.2,97.2
105.01,92.88116080125036,92.9,93.2,94.6,92.7,89.8
105.02,97.0249663563311,97.2,96.2,96.4,97.6,97.6
105.03,80.96441114854906,80.5,83.8,86.1,87.6,87.2
106.0,90.77370281628652,90.7,92.9,93.2,92.1,92.9
107.01,91.55170896231475,91.5,92.4,93.0,94.8,97.3
107.02,92.4079649250443,92.5,91.7,91.8,87.8,87.4
201.0,92.11139144304146,92.3,90.0,87.9,83.5,87.8
202.0,80.0283082437425,79.5,82.7,85.6,89.5,90.6
203.01,83.11010909765295,82.8,84.0,85.3,86.1,87.5
203.02,86.35867446257701,86.1,84.8,90.0,91.6,85.8
204.0,88.78344180863198,88.7,88.5,89.2,89.1,90.7
205.0,79.47660793151337,79.2,77.0,77.8,75.8,76.2
206.01,79.79190625703481,79.4,79.5,82.3,80.9,80.5
206.02,82.43556133381179,82.2,81.8,82.4,80.2,82.1
207.01,80.73671453943628,80.3,79.7,83.5,88.6,79.7
207.02,76.74057442862325,76.5,75.9,69.9,70.1,66.3
208.01,80.87814687660638,80.5,82.9,83.8,82.7,83.0
208.02,81.02238531521188,80.8,81.5,80.2,74.6,76.8
209.01,86.0224856232208,86.2,80.0,74.5,73.9,75.1
209.02,72.25780752802928,71.8,73.3,71.3,63.8,66.5
301.01,93.40219716136711,93.5,94.2,92.4,91.5,93.2
301.02,90.92553726257552,90.8,92.5,94.2,96.4,98.0
301.03,81.4845707784031,81.2,78.2,80.5,83.3,91.2
301.04,92.97724427598881,93.1,90.8,90.0,91.2,93.9
302.0,95.44118674740146,95.5,97.4,98.2,96.7,95.7
303.0,83.92923517217143,83.7,82.5,84.0,85.3,86.9
304.0,87.16136192030918,87.0,86.7,89.7,86.9,87.5
305.0,91.13576532825985,91.1,92.1,92.0,92.6,90.8
306.01,91.0922051109761,91.0,93.8,94.2,93.9,94.6
306.03,90.2037463001739,90.1,89.4,92.8,93.0,97.2
306.04,94.33421860876426,94.4,95.1,94.9,95.6,94.5
307.01,91.06533128293022,91.2,89.7,82.9,91.2,91.2
307.02,82.42733668960335,82.1,82.3,83.6,87.0,81.6
307.03,88.36307549300611,88.5,80.7,80.1,81.7,80.1
307.06,89.90362320932566,89.8,90.5,94.3,88.6,86.0
