tract,median_rent_2016,median_rent_2015,median_rent_2014,median_rent_2013,median_rent_2012,median_rent_2011
101.0,883.8741866124484,875,861,841,786,756
102.01,1023.6747706746804,1019,1001,954,959,899
102.02,937.4833777606342,931,963,927,925,907
103.0,851.8199484989524,846,884,848,888,886
104.0,942.2080034523655,936,926,892,890,868
105.01,844.3084250653119,834,801,810,770,777
105.02,889.7687967250389,883,851,814,789,769
105.03,665.7202217004208,653,656,689,663,721
106.0,884.3985323219731,875,891,892,874,852
107.01,1056.0313303272815,1052,1022,962,951,907
107.02,932.9724564416891,926,912,890,888,875
201.0,997.7702887119495,988,991,1029,1053,987
202.0,988.9388400287146,986,1089,982,961,980
203.01,811.2771657368204,801,823,838,836,836
203.02,998.6596585826635,994,955,929,979,1156
204.0,1023.4227404065671,1020,1046,974,982,967
205.0,917.4173270854228,904,874,958,960,1005
206.01,1018.8074018438027,1011,1050,1046,1054,990
206.02,975.5152924830061,965,965,982,937,955
207.01,1123.5082297387344,1111,1147,1254,1319,1261
207.02,1025.8455245393875,1014,929,968,888,954
208.01,978.6705150473789,970,949,957,950,905
208.02,1014.2944933652996,1007,1027,1018,1028,989
209.01,1092.574863066266,1089,1065,1016,1040,965
209.02,866.5630600953233,859,875,845,827,837
301.01,857.9985294765961,852,817,783,797,794
301.02,807.6126954023053,798,780,782,763,760
301.03,854.550649741514,845,814,776,658,660
301.04,867.427282957858,859,912,877,829,818
302.0,945.9673785874892,934,1048,1053,972,1041
303.0,890.8560519065433,883,863,855,859,846
304.0,829.9851305738428,822,818,793,772,823
305.0,1232.644301690959,1225,1183,1141,1004,963
306.01,892.6550704503607,885,851,806,731,746
306.03,770.7216181947398,763,783,756,759,756
306.04,965.497359997609,957,930,934,925,874
307.01,790.6912699203856,782,743,734,720,691
307.02,979.7969009511352,971,963,974,973,923
307.03,807.0279401162024,799,762,754,763,682
307.06,950.0677259143838,941,950,963,968,926
308.0,1187.4255873793215,1183,1225,1170,1153,1130
309.0,1241.412653431444,1235,1270,1244,1208,1115
310.0,1136.489691855923,1131,1018,994,969,957
311.0,976.8207830283119,966,984,1018,1005,962
312.0,535.6236349583149,527,484,470,496,493
313.0,832.725071541303,825,817,775,724,718
314.0,1103.3060665112384,1098,1175,1123,1109,1070
315.01,700.4008349496971,689,754,756,721,730
315.02,649.7918230234608,644,611,584,662,633
317.0,815.643072295293,808,791,752,711,642
318.0,987.6921705360148,981,867,851,830,749
319.0,1079.6714939231404,1073,1056,1024,981,962
321.0,1007.7893433271374,999,952,940,871,853
401.0,978.3847584691574,971,964,938,906,918
402.01,1087.1367531324197,1078,1075,1093,1076,1019
402.02,915.2817470600944,909,932,908,941,946
403.0,1150.1586169375346,1139,1103,1181,1202,986
404.01,1047.6055477933382,1042,1074,1036,1039,1040
404.02,1092.0347402942755,1086,1088,1041,991,989
406.0,1121.459730077718,1115,1104,1056,979,975
407.0,1164.442159428141,1159,1206,1180,1197,1055
408.0,1233.5263392445456,1228,1256,1212,1167,1142
409.0,1021.9749306094757,1017,994,941,921,894
501.0,1335.3684941572717,1334,1309,1230,1218,1166
502.0,1154.9756391167887,1150,1127,1059,980,1050
503.0,1173.2330487657666,1171,1144,1072,1076,1035
505.0,1509.5009854454136,1507,1450,1386,1323,1283
506.0,1519.2783854688128,1515,1325,1353,1386,1366
507.0,1506.4658053142186,1487,1486,1490,997,1091
508.0,1476.104298068783,1468,1484,1556,1624,1430
509.0,1441.6149392088187,1444,1335,1205,1166,1067
510.0,1365.5166486985502,1356,1343,1396,1385,1327
511.0,1252.3033199067781,1250,1200,1159,1206,1255
512.0,1396.2433471669722,1398,1356,1313,1473,1354
513.0,1692.1745525519425,1694,1600,1475,1383,1330
514.0,1346.9706599949504,1345,1226,1167,1146,970
601.0,1244.5252428143167,1237,1223,1213,1157,1134
602.0,1111.4144075462752,1110,1124,1043,1081,1033
603.0,1366.7130443565004,1353,1404,1462,1334,1375
604.0,1378.538512464794,1372,1360,1344,1284,1281
605.0,511.9871998058896,493,830,888,831,836
608.0,1407.7661386237558,1412,1335,1196,1219,1175
609.0,1123.6493924178424,1119,1110,1047,1001,979
610.0,1751.409114887206,1752,1487,1416,1334,1198
611.0,1579.6737430821693,1577,1575,1539,1535,1666
612.0,1647.7206644731293,1637,1649,1736,1710,1606
615.0,1717.6740437816081,1711,1570,1592,1504,1284
618.0,1136.497336912596,1129,1100,1088,1045,1032
619.01,1101.1637284122205,1096,1053,997,942,926
619.02,1201.9462438372143,1198,1062,1016,977,998
620.0,1221.5597244160824,1214,1182,1189,1168,1157
621.0,1492.5606131604357,1492,1561,1491,1526,1500
622.0,1658.923300310709,1653,1665,1642,1541,1488
623.0,1757.2453373199653,1758,1685,1645,1696,1502
624.0,1765.9827321722446,1764,1799,1720,1621,1565
625.0,1596.4210965998984,1599,1496,1394,1395,1313
626.0,1330.5915665335217,1321,1306,1336,1278,995
627.0,1286.919269088466,1281,1219,1228,1247,1327
628.0,1738.6364056978362,1735,1740,1708,1650,1638
629.0,1581.4088978007017,1580,1699,1647,1690,1528
630.0,1218.3865808818448,1211,1183,1175,1129,1133
631.0,1290.980542497064,1285,1175,1179,1169,1100
632.0,1136.4675015901773,1131,1085,1062,1061,1037
633.01,989.7355023091164,987,1020,943,973,969
633.02,1218.4297674825875,1214,1207,1165,1155,1121
633.03,2782.7124300915075,2768,2250,2250,1504,1687
634.0,1178.9295456822092,1176,1379,1244,1156,1119
701.01,1104.9121532665217,1099,1075,1055,1058,1014
701.02,1056.6609933423297,1058,1035,893,893,896
701.03,1223.6781643351683,1219,1168,1139,1134,1105
702.0,1282.35357828093,1277,1225,1209,1197,1059
703.0,1610.8307414339695,1605,1573,1586,1563,1547
704.0,912.6338438744452,893,975,1099,1006,902
705.0,1458.4257576328787,1459,1500,1471,1634,1645
706.0,1860.2300356416763,1869,1863,1852,2250,1900
707.0,1412.8958089940359,1418,1341,1118,986,935
710.0,1645.692206539937,1643,1567,1550,1551,1673
711.0,1551.0103633307244,1536,1703,1793,1690,1619
712.0,1658.937835118335,1652,1641,1643,1554,1473
713.0,1242.312610960725,1232,1164,1213,1172,1177
714.0,1308.51394025607,1303,1289,1247,1179,1148
715.0,1541.242095319153,1534,1459,1470,1393,1358
716.0,1866.851786062855,1875,1688,1576,1672,1733
717.0,1683.080905614796,1683,1625,1566,1565,1487
718.0,1122.1345999075977,1118,958,935,948,1077
801.0,1544.9994707946817,1544,1594,1482,1393,1393
802.01,1365.6964021076717,1361,1396,1349,1303,1206
802.02,1358.9892414163394,1357,1356,1302,1326,1271
803.0,1736.6805487015165,1732,1731,1650,1446,1438
804.0,513.2165447638577,499,485,499,403,352
810.0,991.8301702135,985,1086,1051,1050,1017
811.0,1391.2161182405903,1389,1271,1222,1206,1273
812.01,1625.2751618915104,1626,1528,1433,1380,1339
812.02,1475.2892497341088,1470,1515,1484,1434,1493
813.0,1634.4583712842655,1632,1556,1441,1237,1201
814.01,1567.2888919494928,1572,1446,1341,1409,1203
814.02,1792.3649979907013,1793,1732,1623,1515,1483
814.03,1788.8239245087489,1787,1723,1689,1659,1605
815.0,1850.1856019210923,1846,1835,1819,1750,1757
816.0,1957.951192923609,1957,1950,1893,1828,1772
817.0,1844.9408176809598,1844,1785,1697,1570,1490
818.0,1938.1532461924983,1932,1956,1978,1917,1859
819.0,1471.250464691922,1514,858,614,1569,1628
901.0,1001.9662559427417,994,974,964,938,973
902.0,1175.613770504924,1161,1101,1165,1021,1011
903.0,1330.257127073841,1326,1380,1311,1245,1183
1001.0,1013.7274823008094,1009,1027,968,958,997
1002.0,1050.7892888794097,1041,1109,1120,1094,985
1003.0,1289.6586889696014,1291,1300,1140,1065,1074
1004.0,1276.4696119206283,1268,1380,1375,1330,1137
1005.0,2267.048243196491,2250,2250,2250,1685,1581
1006.0,990.526653152347,987,1038,973,1007,1101
1007.0,1600.7144884208724,1613,1724,1288,963,893
1101.0,1005.0942980040718,996,1006,1031,1051,1036
1102.0,959.0917396547766,954,898,861,874,877
1103.0,900.7556270031314,894,886,875,913,769
1104.0,1091.151089699332,1081,995,1041,1023,979
1105.01,967.7211382381008,963,962,937,1005,942
1105.02,982.4830817752235,976,962,917,872,855
1201.0,954.3008601748161,944,711,856,1031,648
1202.0,881.4279776155677,874,872,846,833,815
1203.0,1008.6240012807316,999,959,964,905,901
1204.0,1164.236239537621,1162,1208,1103,1059,958
1301.0,427.79157510159763,416,413,414,395,386
1302.0,1270.5533340310847,1270,1313,1185,1128,1000
1303.0,1042.6709830803175,1036,1047,1035,1052,1044
1401.0,976.6404964946616,969,919,919,922,877
1402.0,912.1768556426068,908,934,851,830,815
1403.01,833.4268573660765,827,865,838,880,917
1403.02,926.6681332789949,920,915,879,861,826
1404.0,871.2165900853281,860,963,975,947,905
1405.0,995.3301621884782,987,940,935,900,848
1406.01,959.2889502246062,950,954,988,1028,965
1406.02,966.7438541985052,960,958,945,968,953
1407.01,984.5691432289212,980,995,899,818,843
1407.02,878.6705400733396,871,894,889,922,872
1408.0,1001.2749880992129,993,960,939,874,913
1502.0,864.7896664384322,858,932,893,901,889
1503.0,1110.9609131655898,1106,1056,1020,1012,1034
1504.01,967.1603922333986,959,996,1012,1061,1033
1504.02,1011.5469144895116,1005,975,960,968,953
1505.01,1023.0115862833042,994,1015,1331,1289,1253
1505.02,967.1994309276258,956,917,988,1027,1001
1506.0,955.2573207878025,944,949,959,878,940
1507.0,999.9503886726172,997,975,887,866,848
1508.0,976.2168574827089,971,927,895,915,879
1510.01,961.1816702990989,950,1002,1041,1040,1052
1510.02,890.8826196894216,881,921,926,906,844
1511.0,959.9853059122479,958,1006,899,900,853
1512.0,841.9838800488899,834,861,849,864,875
1601.0,1126.2571691191763,1114,1115,1180,1150,1121
1602.0,859.8842922218482,848,903,937,921,895
1603.0,814.9860737124649,807,797,782,784,801
1604.0,948.3066911191049,944,920,884,939,899
1605.01,1041.0758741279433,1033,1002,1017,1031,972
1605.02,1009.368448813183,1003,1026,974,924,913
1606.01,970.9671442699403,962,955,991,1041,1065
1606.02,966.0467733467771,960,957,932,953,960
1607.0,1091.9938862988838,1087,1127,1077,1069,1008
1608.0,1120.358380101973,1112,1069,1075,1040,1006
1609.0,890.9209847045064,882,860,878,901,858
1610.0,936.7143555565386,930,885,885,930,943
1611.0,1139.3331477006643,1129,1112,1164,1165,1045
1612.0,980.5795328301297,966,909,1017,1010,932
1613.0,905.7205537495898,898,944,918,905,896
1701.0,1387.7593657500206,1375,1434,1487,1380,1188
1702.0,943.5212249499398,935,929,958,1014,974
1703.0,1019.1430913279539,1011,1033,1015,975,951
1704.0,1035.6942311631915,1028,1074,1000,857,879
1705.0,1124.0771758352528,1120,1127,1119,1219,1110
1706.0,932.221437522969,924,928,902,853,888
1707.0,1051.7125358814426,1059,1004,794,845,830
1708.0,930.2359870915308,922,901,895,882,834
1709.0,857.628646133643,834,833,1068,1063,960
1710.0,905.8397364734702,895,897,925,907,875
1711.0,913.4458697773015,906,933,911,909,899
1801.0,937.32833944292,932,947,904,922,900
1901.0,904.9918958718906,901,847,780,777,771
1902.0,940.3148856446529,930,971,989,973,954
1903.0,817.2067189028041,810,791,775,799,809
1904.01,1045.6517091718526,1044,903,868,963,917
1904.02,883.5589374126796,877,875,848,863,847
1906.01,1119.9887956560747,1111,1122,1129,1091,1045
1906.02,985.591169573879,975,1026,1016,923,939
