tract,percent_vacant_2016,percent_vacant_2015,percent_vacant_2014,percent_vacant_2013,percent_vacant_2012,percent_vacant_2011
101.0,15.143665454106793,15.9,17.9,15.9,17.7,17.5
102.01,12.318621489791274,12.9,16.3,13.8,15.4,13.8
102.02,16.4155005045174,16.7,13.5,13.1,12.1,10.6
103.0,15.566836170827509,16.1,17.3,17.4,16.8,16.6
104.0,14.774125465554851,15.0,15.7,17.1,14.3,15.8
105.01,10.388579286565848,10.7,12.7,12.9,12.9,11.0
105.02,18.968220562368742,19.3,19.9,15.5,13.8,15.6
105.03,13.00219605096098,13.7,18.8,13.8,16.3,17.5
106.0,5.170402447792131,5.7,4.1,3.6,9.4,13.6
107.01,8.670751213712954,8.9,7.8,5.3,7.8,6.7
107.02,13.600283290471747,14.2,18.3,18.6,18.3,18.1
201.0,13.620631812872027,13.5,12.3,11.1,8.1,12.5
202.0,6.112779241828499,6.0,10.0,8.4,7.4,3.8
203.01,10.842692724501589,11.5,10.2,12.2,15.0,16.3
203.02,6.945891350875207,7.4,8.6,12.1,13.8,13.4
204.0,6.582116633441765,6.6,9.3,8.7,8.5,7.7
205.0,15.419118921320713,15.7,14.7,12.7,12.0,11.9
206.01,11.128779720980118,11.7,15.3,18.3,18.1,19.8
206.02,12.05727614088255,12.3,9.9,8.4,9.4,5.2
207.01,18.211038437630272,17.9,13.6,10.9,6.0,3.5
207.02,13.820091680181104,13.8,9.8,8.3,7.1,7.3
208.01,12.800442023987813,12.8,14.2,12.8,10.2,9.3
208.02,14.717951251491156,14.9,15.4,17.0,13.9,12.9
209.01,20.92068167825714,21.2,18.5,16.5,13.7,8.0
209.02,9.22275221406092,10.0,11.9,12.4,16.3,16.9
301.01,11.19770726710398,11.6,11.6,7.4,10.2,10.7
301.02,18.934444316080494,18.8,17.0,6.7,4.9,2.4
301.03,11.290981773546967,10.8,4.9,2.2,0.0,0.0
301.04,8.103515900289132,8.5,5.7,8.2,10.8,8.9
302.0,11.83561625105081,11.7,12.0,7.4,6.0,5.7
303.0,7.886870819664585,8.1,9.8,11.3,11.4,12.2
304.0,8.453897075989293,8.2,8.6,8.1,5.8,5.3
305.0,10.728595847578092,11.1,10.7,11.3,12.3,9.1
306.01,12.815467424413962,13.1,17.9,21.2,17.5,15.1
306.03,16.350765586663663,17.2,17.2,13.3,16.7,12.4
306.04,12.000201087299637,12.4,10.4,12.9,13.3,11.9
