tract,percent_wealthy_2016,percent_wealthy_2015,percent_wealthy_2014,percent_wealthy_2013,percent_wealthy_2012,percent_wealthy_2011
101.0,0.17333953045096803,0.17,0.149,0.144,0.1,0.10099999999999999
102.01,0.10152532854083009,0.098,0.098,0.136,0.128,0.128
102.02,0.0950385514970407,0.092,0.08900000000000001,0.147,0.162,0.10300000000000001
103.0,0.07929063312758451,0.075,0.11599999999999999,0.122,0.096,0.114
104.0,0.1347441614310158,0.131,0.126,0.132,0.098,0.105
105.01,0.09525470861211316,0.091,0.085,0.101,0.113,0.087
105.02,0.15109200659155306,0.14800000000000002,0.129,0.145,0.134,0.141
105.03,0.11034332269273919,0.106,0.109,0.109,0.087,0.064
106.0,0.12211055992190842,0.11900000000000001,0.138,0.125,0.198,0.193
107.01,0.11799920142247507,0.115,0.135,0.135,0.193,0.19899999999999998
107.02,0.11002751107932622,0.10800000000000001,0.14800000000000002,0.192,0.204,0.159
201.0,0.11910629525842031,0.115,0.126,0.102,0.128,0.142
202.0,0.3529721926979881,0.355,0.374,0.345,0.27399999999999997,0.335
203.01,0.17090412946335717,0.168,0.147,0.136,0.165,0.135
203.02,0.2407457710387745,0.24100000000000002,0.257,0.268,0.259,0.218
204.0,0.22913413107467923,0.228,0.281,0.214,0.22899999999999998,0.19
205.0,0.09030128506240136,0.086,0.073,0.1,0.10800000000000001,0.11599999999999999
206.01,0.1498499208183193,0.147,0.14300000000000002,0.164,0.132,0.115
206.02,0.10874478424397434,0.10400000000000001,0.078,0.07,0.10400000000000001,0.16699999999999998
207.01,0.2238811267084026,0.22399999999999998,0.205,0.244,0.27899999999999997,0.16899999999999998
207.02,0.1610066426314684,0.157,0.131,0.103,0.106,0.10099999999999999
208.01,0.16152993984531247,0.159,0.191,0.162,0.185,0.168
208.02,0.12417612981477803,0.12,0.149,0.115,0.102,0.16399999999999998
209.01,0.09908133554748434,0.095,0.07,0.113,0.099,0.134
209.02,0.07213321187805431,0.067,0.07200000000000001,0.082,0.064,0.051
301.01,0.07679908199963535,0.073,0.086,0.128,0.127,0.138
301.02,0.131715514288804,0.127,0.084,0.074,0.084,0.115
301.03,0.19403933514747213,0.19,0.141,0.108,0.071,0.087
301.04,0.10263616344952287,0.09699999999999999,0.071,0.054,0.037000000000000005,0.04
302.0,0.202162245082136,0.201,0.188,0.21,0.21100000000000002,0.214
303.0,0.11684973772055371,0.11199999999999999,0.087,0.083,0.065,0.086
304.0,0.11702175384113124,0.114,0.151,0.165,0.141,0.172
305.0,0.26645618225590084,0.266,0.267,0.227,0.243,0.20600000000000002
306.01,0.09354424140067598,0.08900000000000001,0.111,0.095,0.106,0.083
306.03,0.08431352593573298,0.079,0.086,0.071,0.062,0.023
306.04,0.13347438282036783,0.131,0.166,0.179,0.16899999999999998,0.14800000000000002
307.01,0.05547609561351465,0.05,0.096,0.075,0.064,0.049
307.02,0.14482058560510078,0.142,0.14400000000000002,0.139,0.188,0.21899999999999997
307.03,0.10670929360399951,0.102,0.09300000000000001,0.074,0.109,0.16399999999999998
307.06,0.10207272199903925,0.098,0.147,0.125,0.111,0.10300000000000001
308.0,0.21711574555309782,0.21600000000000003,0.228,0.207,0.22899999999999998,0.209
309.0,0.2169855235820986,0.21600000000000003,0.21600000000000003,0.208,0.23600000000000002,0.188
310.0,0.24648812297937042,0.245,0.19399999999999998,0.196,0.16899999999999998,0.14400000000000002
311.0,0.21014620450380594,0.209,0.261,0.223,0.21600000000000003,0.19899999999999998
312.0,0.12194644425777158,0.11800000000000001,0.068,0.102,0.11599999999999999,0.09300000000000001
313.0,0.09182040465369315,0.08800000000000001,0.10099999999999999,0.132,0.11199999999999999,0.124
314.0,0.3097069163677798,0.31,0.284,0.255,0.24600000000000002,0.256
315.01,0.13307433006329633,0.13,0.128,0.146,0.14800000000000002,0.11
315.02,0.07104615211316963,0.066,0.081,0.084,0.075,0.071
317.0,0.17752488987235457,0.175,0.16399999999999998,0.149,0.185,0.153
318.0,0.231338302008042,0.231,0.23199999999999998,0.246,0.231,0.198
319.0,0.18780734169393648,0.185,0.2,0.158,0.145,0.127
321.0,0.12923165365078532,0.127,0.162,0.185,0.18600000000000003,0.184
401.0,0.2100306151512147,0.20800000000000002,0.179,0.174,0.17300000000000001,0.23800000000000002
