tract,percent_white_2016,percent_white_2015,percent_white_2014,percent_white_2013,percent_white_2012,percent_white_2011
101,0.4380558933543787,0.4456892353,0.4187156839,0.3433307024,0.3002130544,0.26984432059999997
102.01,0.21384656110317654,0.2127541845,0.24481152050000002,0.22006560960000002,0.2200829384,0.23899556870000002
102.02,0.34860481895966955,0.35460069439999997,0.29736211030000004,0.37901664729999995,0.3734845522,0.3559822747
103,0.4479249731629648,0.4553233503,0.43940125539999997,0.4361088211,0.46734997520000005,0.48217128299999995
104,0.6829557218755679,0.6918778687,0.6579281184,0.6450788239999999,0.5936034115,0.6081908381000001
105.01,0.5896187714868714,0.595256711,0.5627773427,0.5757337525999999,0.4986232791,0.45910224439999997
105.02,0.5180828371309951,0.523000293,0.5197831978,0.5364361702,0.5361151781,0.4866979656
105.03,0.5382285823244027,0.5384615385,0.5628366248,0.6073118279999999,0.5805529075,0.6716852841
106,0.4101611457533933,0.41628545289999996,0.405650238,0.34897782899999996,0.3326359833,0.3819936661
107.01,0.33100156781182655,0.33358339579999996,0.34389254939999997,0.3319807253,0.34136743729999997,0.40557117299999995
107.02,0.25027303239675225,0.2576021693,0.2072430793,0.2108695652,0.2200725514,0.2447485065
201,0.31778831473987496,0.31854321620000003,0.3533834586,0.30894308940000004,0.3132464712,0.3391061453
202,0.5471676938511075,0.5357250528,0.6573940846999999,0.6543624161,0.5508284819,0.5373289709
203.01,0.7161695750411962,0.7242318164,0.7665585035,0.7131664437,0.7833667335,0.7752449936
203.02,0.5227454160081331,0.5286532951,0.5196731886,0.5757642889,0.6139482565,0.558692422
204,0.45867428117430825,0.4701195219,0.4392175128,0.44246575340000005,0.5335057606,0.553512969
205,0.2526940949123835,0.2568173973,0.2490006662,0.2415618795,0.2691422938,0.2547368421
206.01,0.5752860285674274,0.5837282779999999,0.5460654024,0.5557240334,0.532641591,0.5017490494
206.02,0.3031641048468699,0.3053732069,0.3266699171,0.2527975585,0.2395859009,0.33309523809999997
207.01,0.5426277847433001,0.552293578,0.5467511886,0.5489583333,0.6346765642000001,0.5074925075
207.02,0.4954583839377249,0.5019788076,0.48129251700000003,0.4348314607,0.3870924993,0.4005468216
208.01,0.41185203938331183,0.4149159664,0.4270833333,0.3906608297,0.3733897681,0.37400722020000005
208.02,0.28248192047412213,0.2903569526,0.2586250315,0.2463108537,0.2911105179,0.26045227449999997
209.01,0.24382609833146673,0.24160671460000002,0.27747855579999997,0.25452172289999997,0.2303921569,0.25747744899999997
209.02,0.5021095773647082,0.508543923,0.5094159714000001,0.4633392226,0.463632307,0.431838565
301.01,0.4602903438072427,0.4641572101,0.47357123689999997,0.4479896239,0.43726937270000005,0.4494412646
