tract,tot_pop_2016,tot_pop_2015,tot_pop_2014,tot_pop_2013,tot_pop_2012,tot_pop_2011
101.0,4056.7635037283026,4106,4189,5068,5163,5203
102.01,7256.88299851262,7229,7083,7316,6752,6770
102.02,2302.886469824392,2304,2502,2583,2557,2708
103.0,6076.386847969812,6077,6213,6065,6049,6282
104.0,5027.223148992705,5011,4730,4694,4690,4737
105.01,3830.7102171006704,3837,3831,3816,3995,4010
105.02,3379.7922173094985,3413,3690,3760,4098,3834
105.03,2095.0948386419996,2080,2228,2325,2098,2059
106.0,6519.241804881843,6558,6513,6946,7170,6631
107.01,3997.6366056072457,3999,3946,3943,4066,3913
107.02,5127.741930394861,5163,5274,5520,5789,5189
201.0,3924.6262399092416,3899,3990,4182,3684,3580
202.0,6622.639972478413,6634,6255,6556,6699,6724
203.01,5155.1521099323845,5142,5239,5233,4990,4694
203.02,4909.924487102923,4886,4651,4514,4445,4711
204.0,4535.781839630243,4518,4294,4380,4253,3971
205.0,5777.7038986097705,5794,6004,6044,6086,6175
206.01,6290.604191733857,6330,6697,6595,6939,6575
206.02,4117.303166933238,4113,4102,3932,4057,4200
207.01,1636.5583250120706,1635,1893,1920,1886,2002
207.02,7848.658759028511,7833,8232,8010,7546,7315
208.01,4715.571098624235,4760,4512,4797,5434,5540
208.02,7497.33461634938,7508,7942,7251,7492,7606
209.01,4963.446045161616,5004,5013,5363,5712,6319
209.02,4144.019161281705,4155,4195,4528,4482,4460
301.01,3611.4623119072376,3613,3727,3855,3794,3669
301.02,2875.0732187814624,2880,2956,3101,3139,3112
301.03,2384.892324309396,2347,2238,2138,1881,1782
301.04,3488.248986075939,3487,3688,3536,3580,3506
302.0,4943.249682748322,4978,5274,5709,5721,5420
303.0,3259.385223241509,3231,3049,2931,2830,2784
304.0,2645.531385134827,2632,2683,2589,2558,2706
305.0,6140.247669300566,6160,6269,6588,6533,6341
306.01,3816.932642291334,3788,3538,3169,3256,3652
306.03,1989.1351729468763,1991,2048,2123,2223,2337
306.04,2925.2032979918276,2910,2961,2860,2796,2841
307.01,1731.9979057457526,1721,1734,1973,1814,1837
307.02,1465.1413699277218,1457,1460,1538,1554,1451
307.03,2738.9013911496895,2736,2579,2620,2783,2668
307.06,3598.7614665514557,3578,3460,3339,3290,3297
308.0,4158.763824806434,4176,4405,4200,4496,4693
309.0,3204.2801396600667,3188,3207,3279,3085,3181
310.0,3824.061510634813,3801,3522,3218,3363,3240
311.0,4532.455471182364,4510,4136,4228,4131,4528
312.0,5049.365615616333,5063,4860,5323,5343,5402
313.0,7826.014802522027,7796,7543,7491,7142,6707
314.0,5098.624651571793,5114,5260,5216,5381,5261
315.01,3651.1586655124947,3653,3430,3321,3658,4231
315.02,3971.5738550528426,4027,4386,4532,5052,4888
317.0,6719.010142746312,6726,6525,6564,6704,6569
318.0,1774.1239551224805,1766,1717,1774,1825,1821
319.0,2370.5375327000634,2361,2355,2272,2343,2320
321.0,6791.754625108911,6797,6767,6968,6849,6921
401.0,4050.1179570973577,4045,3998,4074,4041,4227
402.01,6326.444834599179,6314,6195,5679,5895,6056
402.02,6801.120516425199,6801,6691,6816,6727,6999
403.0,2943.141796419873,2912,2656,2545,2465,2499
404.01,3004.4455500458253,3009,2836,2982,3176,2856
404.02,5064.683587838656,5042,4701,4431,4538,4624
406.0,2711.5066472100407,2696,2684,2529,2552,2612
407.0,3401.3676741097106,3383,3353,3168,3149,2957
408.0,1898.4686760589811,1876,1815,1766,1687,1627
409.0,2170.657841044463,2152,2118,2174,2044,1861
501.0,2586.640720246466,2564,2406,2558,2366,2220
502.0,5259.277835397667,5230,5120,5072,4761,4779
503.0,2526.0149465533914,2520,2566,2531,2576,2352
505.0,5559.373199386559,5541,5365,5204,5160,5179
506.0,2390.5378432731372,2371,2414,2503,2274,2243
507.0,1603.4868980039146,1587,1753,1488,1509,1635
508.0,1405.6449038722442,1390,1427,1349,1347,1376
509.0,1562.1526697187942,1546,1660,1644,1531,1601
510.0,1699.5358781315315,1677,1610,1551,1492,1393
511.0,1465.0160092254769,1454,1526,1683,1555,1561
512.0,1645.9595393166321,1636,1562,1630,1670,1736
513.0,2804.776031405481,2794,2953,2730,2749,2924
514.0,1869.6892374439442,1873,2174,2373,2247,2398
601.0,2689.5173559414175,2675,2596,2582,2566,2851
602.0,2105.123157080848,2088,2126,1835,1927,1864
603.0,3265.389003980294,3248,3176,3270,3103,3190
604.0,3838.359267483693,3848,4003,4162,4157,4163
605.0,1259.8620879499424,1242,1235,1157,1160,1152
608.0,4987.512276324351,4980,4840,4834,4841,4727
609.0,6869.0364699646625,6849,6758,6557,6395,6098
610.0,1785.1019737761687,1774,1716,1672,1757,1757
611.0,1472.3540262004826,1442,1309,1253,1135,1203
612.0,2130.3279449798756,2122,2235,2296,2214,2081
615.0,1854.9947171185838,1843,1859,2028,1896,1878
618.0,1200.163242317868,1179,1130,1145,1066,985
619.01,3850.17637654758,3842,3785,3767,3773,3834
619.02,4018.598009126008,4015,4045,3891,3992,4403
620.0,3030.2019843817015,3003,2897,2762,2650,2631
621.0,3620.968645079914,3595,3372,3313,3215,3236
622.0,2697.5649465233946,2697,2987,3085,2941,2926
623.0,1623.1799438245557,1611,1716,1668,1638,1681
624.0,1513.2340067908042,1517,1622,1709,1819,1850
625.0,1396.9071820800846,1383,1342,1246,1335,1408
626.0,2325.373694724622,2317,2281,2272,2330,2238
627.0,2878.339325419441,2860,2757,2696,2665,2541
628.0,3505.2462297818174,3500,3792,3630,3561,3541
629.0,4217.28512871372,4217,4176,4278,4284,4429
630.0,3153.3867916953013,3160,3055,3275,3393,3469
631.0,2466.679503863682,2454,2399,2384,2390,2166
632.0,6960.815453797261,6942,6580,6142,6344,6517
633.01,2652.2796125940554,2637,2626,2418,2484,2298
633.02,4245.942202561919,4219,4186,4040,3830,3962
633.03,1178.3718608942033,1166,1157,1275,1224,1282
634.0,1973.208843419756,1958,2158,2070,1943,1907
701.01,4099.41627744689,4086,3988,4131,3963,4084
701.02,2774.525122185566,2745,2656,2355,2328,2292
701.03,1629.8057225625862,1629,1679,1795,1850,1701
702.0,4140.574763536403,4136,3937,4142,4124,3955
703.0,3440.512017201595,3426,3383,3408,3303,3359
704.0,3432.9519117627624,3415,3440,3500,3275,3252
705.0,3151.32601314474,3137,3022,3147,3037,3045
706.0,3238.748176158312,3218,3083,2834,2905,2960
707.0,4289.503975066019,4221,3983,3673,3116,2973
710.0,4125.827511741807,4116,4277,4095,4032,4277
711.0,2870.4624463376936,2861,2932,2971,2880,2948
712.0,2132.5302491756347,2118,2016,2091,2055,1957
713.0,3469.7266424524905,3471,3414,3556,3604,3749
714.0,4583.375799009964,4579,4357,4666,4571,4557
715.0,5822.2779368922675,5807,5710,5562,5487,5481
716.0,1666.6711927489075,1666,1715,1702,1849,1786
717.0,1832.588182538554,1819,1813,1784,1785,1733
718.0,2725.5285759485228,2714,2670,2606,2643,2449
801.0,7125.052493979355,7078,6657,6446,6112,5767
802.01,3298.6412155489575,3297,3235,3463,3420,3488
802.02,3685.6925627011983,3664,3533,3521,3386,3178
803.0,4758.069425970317,4733,4480,4496,4322,4303
804.0,5074.529556512988,5053,4907,4469,4579,4772
810.0,7343.067573641084,7367,7427,7811,7744,7508
811.0,3789.566308748939,3766,3657,3652,3465,3384
812.01,4418.758305732837,4392,4552,4551,4102,3852
812.02,3013.572052144783,3005,3221,3268,3079,2925
813.0,5244.65230943647,5232,5053,4994,4978,5308
814.01,2482.007142101978,2477,2516,2360,2512,2497
814.02,4789.8879309308295,4758,4389,4072,4112,4033
814.03,7484.737732173678,7443,7004,6786,6528,5682
815.0,4440.31423843053,4418,4400,4196,4074,4031
816.0,3377.379502413696,3359,3177,3385,3192,3341
817.0,3257.4788769014567,3234,3607,3225,3006,2814
818.0,7358.557824073618,7325,7488,7243,6721,6375
819.0,1057.8355265542145,1048,1152,1297,1193,1293
901.0,3276.172125765241,3266,3262,3122,3178,3408
902.0,6761.103910492868,6767,6406,6331,6642,6342
903.0,1336.081843798486,1323,1325,1431,1363,1485
1001.0,5253.5307888221805,5285,5666,5989,5960,5983
1002.0,6379.964125484306,6424,6605,7024,7188,7049
1003.0,5773.903258484132,5783,6029,6209,6024,6250
1004.0,3069.1075753596815,3061,3027,2961,3025,3122
1005.0,5602.9010050639545,5617,5156,5162,5659,5866
1006.0,5151.9264075064875,5125,5254,4938,4694,4505
1007.0,4798.899460728308,4788,4749,4705,4631,4501
1101.0,6038.824557893771,6020,5923,5993,5702,5403
1102.0,3060.828340149645,3055,3017,2893,3034,2983
1103.0,5288.665666729048,5257,5314,5310,4819,4998
1104.0,4436.69001054367,4455,4439,4734,4844,4714
1105.01,4844.236057553826,4847,4636,4837,4901,4529
1105.02,3643.045755652802,3630,3646,3445,3471,3472
1201.0,3789.467131964663,3800,3993,3935,4073,4297
1202.0,4644.793743350484,4619,4552,4526,4251,4202
1203.0,6348.3593383889265,6347,6179,6513,6320,6565
1204.0,3662.4380555021758,3671,3754,3736,3898,3760
1301.0,5131.773970072578,5169,5158,6149,6002,5071
1302.0,1633.1213086346715,1620,1598,1530,1586,1407
1303.0,5351.508204338244,5326,5260,5403,4977,4962
1401.0,3660.5976685722644,3643,4079,4034,3599,3706
1402.0,5967.1639614208225,6002,5895,5998,6468,6317
1403.01,2815.67887827866,2798,2748,2739,2648,2968
1403.02,4293.811566091256,4288,4472,4597,4351,4725
1404.0,7344.510331528342,7319,7186,7347,6855,6666
1405.0,4345.829815750007,4352,4121,4239,4449,4014
1406.01,2950.731026211825,2951,2969,3287,3171,3304
1406.02,5334.782263274146,5356,5614,5714,5774,5574
1407.01,2652.0331434666455,2642,2385,2296,2520,2378
1407.02,6053.821503731437,6072,6252,6163,6330,6265
1408.0,6597.440949270489,6656,7209,7604,7732,7801
1502.0,7414.094500177743,7442,7821,7601,7799,7889
1503.0,8362.797751905397,8298,7526,7017,6814,6240
1504.01,4993.000999653284,4965,4805,4660,4483,4490
1504.02,3638.3625668533605,3640,3695,3642,3749,3684
1505.01,3931.9534146101732,3907,3743,3932,3618,3794
1505.02,4713.266066807917,4720,4290,4679,4822,5162
1506.0,4141.580282160578,4112,3868,3818,3650,4057
1507.0,4585.195713016503,4577,4621,4422,4451,4084
1508.0,5412.965892067219,5412,5451,5270,5353,5340
1510.01,2364.680677311632,2371,2538,2421,2628,2828
1510.02,4116.621500490351,4158,4685,5034,5087,5174
1511.0,5446.580581624162,5419,5391,5163,4939,4907
1512.0,3543.31009366005,3541,3680,3716,3651,3661
1601.0,2703.9798004724735,2690,2626,2824,2655,2414
1602.0,3269.5512832678082,3295,3822,3761,3916,3737
1603.0,3816.470153137819,3815,3877,3757,3853,3972
1604.0,5106.583694045816,5111,5090,5092,5179,5251
1605.01,4697.388342372638,4683,4498,4309,4391,3946
1605.02,4208.385537851231,4239,4568,4599,4851,4672
1606.01,4418.390184094775,4383,3999,3996,3792,3146
1606.02,3983.227058551262,3970,3983,3937,3836,3824
1607.0,6192.210896346682,6182,6008,5816,5879,5532
1608.0,5417.199396744555,5410,5388,5698,5385,5270
1609.0,2379.762083871813,2384,2272,2469,2612,2428
1610.0,1733.5206564904079,1722,1726,1762,1745,1694
1611.0,1913.620535042229,1919,2026,2215,2255,2238
1612.0,2841.2055502163153,2812,2664,2823,2512,2607
1613.0,3924.921928875217,3905,3943,3783,3652,3729
1701.0,1858.3002708446281,1865,1871,1906,2145,2038
1702.0,4190.130615121355,4166,4366,4030,3840,3804
1703.0,4925.130825147585,4931,4918,5065,5074,5260
1704.0,3598.407984849674,3603,3720,3716,3791,3623
1705.0,5272.555557499537,5245,4888,4699,4679,4785
1706.0,2836.794160962449,2818,2774,2752,2649,2584
1707.0,2878.98156929329,2892,2831,2808,3174,3083
1708.0,3787.84900288978,3775,3750,3708,3645,3612
1709.0,1742.4576573469642,1729,1729,1740,1715,1754
1710.0,7882.269579204307,7843,7949,7430,7032,6656
1711.0,4155.413987871773,4158,4257,4551,4371,4287
1801.0,5785.698284477633,5786,5918,5413,5662,6416
1901.0,2630.8457397997913,2625,2720,2671,2690,2650
