,Latitude,Longitude
940651,41.859038718,-87.70957319600002
940660,41.876581037,-87.74513751299999
940698,41.722388967,-87.63595693799999
940703,41.707453932,-87.565711764
940706,41.733349616999995,-87.64963228200001
940710,41.711291268000004,-87.562139165
940713,41.951014243,-87.764466738
940714,41.882209791,-87.76703474
940720,41.769983272,-87.65424724200001
940724,41.950929158,-87.764463819
940725,41.890314761999996,-87.75298492799999
940729,41.764862971,-87.66794427
940731,41.960623158000004,-87.75541008799999
940732,41.909386568,-87.76492097799999
940734,41.941982789,-87.81666404299999
940735,41.885325435,-87.627930066
940736,41.769684478,-87.671230311
940738,41.852379778,-87.717456079
940740,41.903745083000004,-87.708028861
940741,41.964664116,-87.71258860200001
940742,41.777742656,-87.70310976799999
940743,41.778402881,-87.701900763
940744,41.937372081999996,-87.64918113600002
940747,41.866517316999996,-87.695178701
940750,41.786292988,-87.647383369
940751,41.768096835,-87.66387858899998
940753,41.943798856,-87.668773982
940755,41.871371147,-87.62751441700001
940756,41.726501532,-87.62233251299999
940759,41.887238373,-87.76393113299999
940762,41.968289813,-87.723452492
940763,41.985783685,-87.695600032
940764,41.964664116,-87.71258860200001
940769,41.88225161,-87.63236685700001
940770,41.874133594,-87.670164416
940772,41.937621582,-87.74684096899998
940773,41.824366131,-87.631321926
940774,41.871811902,-87.627340674
940780,41.897966193,-87.631644061
940782,41.906239213,-87.763317821
940786,41.924248208,-87.74561855
940790,41.899432526,-87.758169754
940792,41.956634341,-87.711534175
940795,41.934506179,-87.695247453
940798,41.762532621999995,-87.64002350700001
940799,41.8710713,-87.69491311200001
940800,41.895513492,-87.710761053
940801,41.846499564,-87.691527667
940804,41.918498484000004,-87.67520201200001
940811,41.911718572,-87.72568499
940812,41.783434968,-87.708755549
940814,41.885112119,-87.62448405299999
940815,41.867121845999996,-87.72154767399998
940816,41.886179895,-87.624527336
940821,41.679169054,-87.62749911600002
940823,41.808659638,-87.660969527
940825,41.792884889,-87.666987118
940826,41.810804612,-87.72736229200001
940830,41.921529123,-87.73402482600002
940831,41.986460964,-87.655283903
940833,41.899734046999995,-87.624142375
940834,41.738660969,-87.66192003
940835,41.757374833,-87.631231515
940840,41.753480399000004,-87.6586688
940842,41.78210152,-87.586502002
940848,41.688218178,-87.537357913
940849,41.74730961,-87.568601178
940850,41.761034049,-87.62159223299999
940853,42.020271586999996,-87.67308633
940857,41.910464436,-87.732460415
940865,41.858275762,-87.64380645799999
940866,41.884476226,-87.631310613
940867,41.882004688,-87.72894843200001
940869,41.727462679,-87.608815034
940871,41.931789271,-87.642129574
940873,41.875070002,-87.64097492799999
940880,41.852527951,-87.71235631
940881,41.752094505,-87.634334495
940882,41.737264865,-87.560718329
940883,41.748465764,-87.66889417600002
940884,41.738800887,-87.638827873
940886,41.890375151,-87.752988054
940891,41.932412584,-87.66773821299999
940892,41.806155306,-87.64403918100002
940893,41.803667488,-87.590528166
940894,41.92524252,-87.726795045
940895,41.963747921,-87.688752845
940896,41.853840591,-87.71506352200001
940899,41.877552985,-87.756048983
