WARD,PRECINCT,LOCATION,ADD_NUM,STREET_DIR,STREET_NAME_1,STREET_NAME_2,STREET_NAME_3,STREET_NAME_4,STREET_NAME_5
1,1,CHOPIN SCHOOL-HALLWAY,2450,W,Rice,St,,,
1,2,WELLS COMMUNITY ACADEMY-HALLWAY,936,N,Ashland,Av,,,
1,3,LA SALLE II MAGNET SCH-GYM,1148,N,Honore,St,,,
1,4,HAPPY VILLAGE-BANQUET HALL,1059,N,Wolcott,Av,,,
1,5,LA SALLE II MAGNET SCH-GYM,1148,N,Honore,St,,,
1,6,UKRANIAN VLG CULTURAL CTR-1st FL,2247,W,Chicago,Av,,,
1,7,WINDY CITY FIELD HOUSE-SKY BOX,2367,W,Logan,Bv,,,
1,8,WICKER PK FIELDHOUSE-GYM,1425,N,Damen,Av,,,
1,9,RENAISSANCE WEST APARTMENTS-MLT,2517,W,Fullerton,Av,,,
1,10,WICKER PK FIELDHOUSE-GYM,1425,N,Damen,Av,,,
1,11,UKRANIAN VLG CULTURAL CTR-1st FL,2247,W,Chicago,Av,,,
1,12,JOSEPHINUM ACADEMY - HALL,1501,N,Oakley,Bv,,,
1,13,CHGO POLICE STATION- AUDITORIUM,2150,N,California,Av,,,
1,14,DE DIEGO COMMUNITY ACADEMY-FOYER,1313,N,Claremont,Av,,,
1,15,ST MARK PARISH-CH VESTIBULE,1048,N,Campbell,Av,,,
1,16,LATHROP SENIOR HSNG-ACTIVITY ROO,2717,N,Leavitt,St,,,
1,17,WICKER PK FIELDHOUSE-GYM,1425,N,Damen,Av,,,
1,18,LAFAYETTE SCHOOL-FOYER DOOR 1,2714,W,Augusta,Blv,,,
1,19,2620 W FLETCHER LLC,2620,W,Fletcher,St,,,
1,20,CAMPBELL TERRACE APARTMENTS-CMNT,2061,N,Campbell,Av,,,
1,21,FIRST BETHLEHEM LUTH CH-BASEMENT,1649,W,Lemoyne,St,,,
1,22,WRIGHT COLLEGE-VENDING ROOM 128,1645,N,California,Av,,,
1,23,GOLDBLATTS BLDG-CONFERENCE ROOM,1615,W,Chicago,Av,,,
1,24,BORICUA AMVETS 1st FL HALL,2614,W,Fullerton,Av,,,
1,25,FIRST BETHLEHEM LUTH CH-BASEMENT,1649,W,Lemoyne,St,,,
1,26,PULASKI PK FIELDHOUSE-AUDITORIUM,1419,W,Blackhawk,St,,,
1,27,NORTH/TALMAN ELDERLY APTS-COMMUN,1600,N,Talman,Av,,,
1,28,SCHNEIDER SCHOOL-ROOM 007,2957,N,Hoyne,Av,,,
1,29,CHICAGO WARD YARD-LABOR ROOMS,2460,W,Cortland,St,,,
1,30,GOETHE SCHOOL-ROOM 116,2236,N,Rockwell,St,,,
1,31,BUCKTOWN-WICKER PARK LIBRARY-CMT,1701,N,Milwaukee,Av,,,
1,32,THE LINDEN HOUSE-COMMUNITY RM,2315,W,Lemoyne,St,,,
1,33,TALCOTT SCHOOL-AUDITORIUM,1840,W,Ohio,St,,,
1,34,MOOS SCHOOL-LL HALL䱀Ȝ LOUN,1711,N,California,Av,,,
1,35,BURR SCHOOL-AUDITORIUM,1621,W,Wabansia,Av,,,
1,36,WELLS COMMUNITY ACADEMY-HALLWAY,936,N,Ashland,Av,,,
1,37,PULASKI PK FIELDHOUSE-AUDITORIUM,1419,W,Blackhawk,St,,,
1,38,MOOS SCHOOL-LL HALL䱀Ȝ LOUN,1711,N,California,Av,,,
1,39,ECLIPSE RESTAURANT- LOUNGE,2554,W,Diversey,Av,,,
1,40,GOLDBLATTS BLDG-CONFERENCE ROOM,1615,W,Chicago,Av,,,
1,41,ECLIPSE RESTAURANT- LOUNGE,2554,W,Diversey,Av,,,
1,42,SIERRA AUTO INC-SHOWROOM,2352,W,Belmont,Av,,,
1,43,NORTH/TALMAN ELDERLY APTS-COMMUN,1600,N,Talman,Av,,,
1,44,ROBERTO CLEMENTE HS - PE BLDG,2334,W,Division,St,,,
1,45,TALCOTT SCHOOL-AUDITORIUM,1840,W,Ohio,St,,,
1,46,COMMERCIAL PK-GAME AREA/HALLWAY,1845,W,Rice,St,,,
1,47,LA SALLE II MAGNET SCH-GYM,1148,N,Honore,St,,,
1,48,WICKER PARK SENIOR HOUSING-REC R,2020,W,Schiller,St,,,
2,1,RIVER CITY APARTMENTS - LOBBY,800,S,Wells,St,,,
2,2,200 Delaware Condo,200,E,Delaware,Pl,,,
2,3,SALVATION ARMY CHICAGO-GYMNASIUM,1,N,Ogden,Av,,,
2,4,FOSCO PARK FIELDHOUSE - MULTI PU,1312,S,Racine,Av,,,
2,5,WILLA CATHER SCHOOL-GYM,2908,W,Washington,Av,,,
2,6,MERIT SCHOOL OF MUSIC - COMMUNI,38,S,Peoria,St,,,
2,7,LONG GROVE HOUSE - LAUNDRY RM,2001,S,Michigan,Av,,,
2,8,1130 S MICHIGAN APTS - LOBBY,1130,S,Michigan,Av,,,
2,9,MARCY - NEWBERRY ASSOC - GYM,1073,W,Maxwell,St,,,
2,10,WILLIAM JONES APARTMENTS - SOCIA,1447,S,Ashland,Av,,,
2,11,SOUTH LOOP SCHOOL-GYM,1212,S,Plymouth,Ct,,,
2,12,HOLIDAY INN HOTEL䱀䱀MEETING,506,W,Harrison,St,,,
2,13,VAN BUREN PLACE - COMM RM,1504,W,Van,Buren,St,,
2,14,SOUTH COMMONS PHASE 1 CONDO - LO,2921,S,Michigan,Av,,,
2,15,GRANT CAMPUS - AUDITORIUM,145,S,Campbell,Av,,,
2,16,ANDREW JACKSON SCHOOL-GYM,1340,W,Harrison,St,,,
2,17,CRANE TECHNICAL HS - STAGE AUDIT,2245,W,Jackson,Bv,,,
2,18,OLD ST MARYS CHURCH-LOBBY,1500,S,Michigan,Av,,,
2,19,PRAIRIE DISTRICT LOFTS CONDO ASS,1727,S,Indiana,Av,,,
2,20,CAMBRIDGE MANOR APTS - 2nd FL SO,2631,S,Indiana,Av,,,
2,21,LAKE VISTA APARTMENTS - LOBBY,1440,S,Indiana,Av,,,
2,22,SOUTH LOOP SCHOOL-GYM,1212,S,Plymouth,Ct,,,
2,23,HERBERT SCHOOL- GYM,2131,W,Monroe,St,,,
2,24,SPERTUS INSTITUTE-ATRIUM,610,S,Michigan,Av,,,
2,25,THOMAS JEFFERSON SCHOOL- GYM,1522,W,Fillmore,St,,,
2,26,2101 S MICHIGAN AV APTS - SOCIAL,2101,S,Michigan,Av,,,
2,27,LANDMARK BAPTIST CHURCH - HALL,2700,W,Wilcox,Av,,,
2,28,CLINTON COMPLEX - INNER LOBBY,500,S,Clinton,St,,,
2,29,CIRCLE PARK APARTMENTS - ACTIVIT,1111,S,Ashland,Av,,,
2,30,PRAIRIE DISTRICT LOFTS CONDO ASS,1727,S,Indiana,Av,,,
2,31,SENIOR RESIDENCE OF EASTGATE - C,300,E,26,St,,,
2,32,FOSCO PARK FIELDHOUSE - MULTI PU,1312,S,Racine,Av,,,
2,33,MANLEY COMMUNITY ACADEMY-AUDITOR,2935,W,Polk,St,,,
2,34,VAN BUREN APARTMENTS - SOCIAL RM,2045,W,Jackson,St,,,
2,35,GRACE EPISCOPAL CHURCH - MAIN FL,637,S,Dearborn,St,,,
2,36,SKY FIFTYFIVE APARTMENTS - 7TH F,1255,S,Michigan,Av,,,
2,37,MICHIGAN AVE LOFTS - LOBBY,910,S,Michigan,Av,,,
2,38,SKY FIFTYFIVE APARTMENTS - 7TH F,1255,S,Michigan,Av,,,
2,39,WILLIAM H KING SCHOOL- GYMNASIUM,740,S,Campbell,Av,,,
2,40,SOKA GAKKAI INTERNATIONAL USA -,1455,S,Wabash,Av,,,
2,41,MANLEY COMMUNITY ACADEMY-AUDITOR,2935,W,Polk,St,,,
2,42,P SULLIVAN SCHOOL - ACTIVITY RM,1633,W,Madison,St,,,
2,43,DEARBORN STATION - LOWER LEVEL C,47,W,Polk,St,,,
2,44,TURNER MEMORIAL CHURCH - SANCTU,3610,S,Giles,Av,,,
2,45,DETT SCHOOL - GYM,2306,W,Maypole,Av,,,
2,46,KING LIBRARY BRANCH - AUDITORIUM,3436,S,Ml,King,Dr,,
2,47,CALHOUN SCHOOL - GYM,2833,W,Adams,St,,,
2,48,DODGE ACADEMY-GYM,2651,W,Washington,Bv,,,
2,49,JONES COLLEGE PREP-LOBBY,606,S,State,St,,,
2,50,WASHINGTON IRVING SCHOOL-MULTI P,749,S,Oakley,Bv,,,
2,51,DAMEN COURTS - CMTY RM,2040,W,Jackson,St,,,
2,52,DETT SCHOOL - GYM,2306,W,Maypole,Av,,,
2,53,SOUTH LOOP SCHOOL-GYM,1212,S,Plymouth,Ct,,,
2,54,SOKA GAKKAI INTERNATIONAL USA -,1455,S,Wabash,Av,,,
3,1,MARGARET FORD MANOR-ARTS & CRAFT,4500,S,Wabash,Av,,,
3,2,PAUL G STEWART PHASE 3-MEETING R,401,E,Bowen,Av,,,
3,3,CHGO POLICE DEPT-COMMUNITY RM,1718,S,State,St,,,
3,4,MT PISGAH MISSIONARY BAPT CH-HAL,4622,S,M,L,King,Jr,Dr
3,5,SOUTH VIEW MANOR-DINING RM,3311,S,Michigan,Av,,,
3,6,NATIONAL TEACHERS ACDMY-PARENTS,55,W,Cermak,Rd,,,
3,7,LINCOLN PERRY SENIOR BLDG-CMTY R,3245,S,Prairie,Av,,,
3,8,ACE TECH CHARTER HIGH SCH-GYMNAS,5410,S,State,St,,,
3,9,CAL MET VILLAGE-SOCIAL RM,4101,S,Calumet,Av,,,
3,10,LOVE CATHEDRAL CMTY CHURCH-HALL,5112,S,Halsted,St,,,
3,11,MOLLISON SCHOOL-GYM,4415,S,M,L,King,Jr,Dr
3,12,PARKMAN SCHOOL-GYM,245,W,51,St,,,
3,13,IMMACULATE HEART OF MARY CH-HALL,4515,S,Ashland,Av,,,
3,14,PRINCETON CENTER-DINING RM,4250,S,Princeton,Av,,,
3,15,DELIVERANCE MANOR APTS-DAY RM,4201,S,Wabash,Av,,,
3,16,MOLLISON SCHOOL-GYM,4415,S,M,L,King,Jr,Dr
3,17,GREATER LILY BAPT CH-HALL,4823,S,Princeton,Av,,,
3,18,HENDRICKS SCHOOL-AUDITORIUM,4316,S,Princeton,Av,,,
3,19,IMMACULATE HEART OF MARY CH-HALL,4515,S,Ashland,Av,,,
3,20,TRINITY ACRES SR BLDG-CONFERENCE,3939,S,Calumet,Av,,,
3,21,HOPE SCHOOL - HALLWAY,5515,S,Lowe,Av,,,
3,22,FULLER PARK-GAME RM,331,W,45,St,,,
3,23,CHGO BEE LIBRARY-AUDITORIUM,3647,S,State,St,,,
3,24,WILLA RAWLS MANOR APTS-COMMUNITY,4120,S,Indiana,Av,,,
3,25,SHERWOOD PARK-CLUB RM #1,5701,S,Shields,Av,,,
3,26,DEWEY SCHOOL-HALLWAY,5415,S,Union,Av,,,
3,27,FIRST UNITY M B CH-HALL,5129,S,Indiana,Av,,,
3,28,CHGO POLICE DEPT-COMMUNITY RM,1718,S,State,St,,,
3,29,T E BROWN APARTMENTS-DAYROOM,3601,S,Wells,Av,,,
3,30,LUTHER TERRACE-SR CENTER,4747,S,King,Dr,,,
3,31,LUTHER TERRACE-SR CENTER,4747,S,King,Dr,,,
3,32,MT PISGAH MISSIONARY BAPT CH-HAL,4622,S,M,L,King,Jr,Dr
3,33,THE PERSHING-COMMUNITY RM,3845,S,State,St,,,
3,34,EBENEZER M B CH-HALL,4511,S,Vincennes,Av,,,
3,35,HALL LIBRARY-AUDITORIUM,4801,S,Michigan,Av,,,
3,36,ST MARTINS CHURCH OF CHRIST-FOYE,5648,S,State,St,,,
3,37,OVERTON SCHOOL-GYM,221,E,49,St,,,
3,38,PIONEER VILLAGE-MEETING RM,340,E,38,St,,,
3,39,STEWART PHASE 1-ACTVTY RM 2nd FL,400,E,41,St,,,
3,40,GREATER MT MORIAH BAPT CH-FELLOW,214,E,50,St,,,
3,41,SOUTH VIEW MANOR-DINING RM,3311,S,Michigan,Av,,,
3,42,BURKE SCHOOL-CLASSROOM 101,5356,S,M,L,King,Jr,Dr
3,43,DEARBORN HOMES-MEETING RM,2731,S,Dearborn,Av,,,
3,44,HOPE SCHOOL - HALLWAY,5515,S,Lowe,Av,,,
3,45,18th & WABASH CORPORATION-MEETIN,1801,S,Wabash,Av,,,
3,46,DEARBORN HOMES-MEETING ROOM,2930,S,Dearborn,St,,,
3,47,PRINCETON CENTER-DINING RM,4250,S,Princeton,Av,,,
3,48,LOVE CATHEDRAL CMTY CHURCH-HALL,5112,S,Halsted,St,,,
3,49,LIBERTY BAPT CHURCH-BASEMENT,4849,S,M,L,King,Jr,Dr
3,50,HOUSE OF PRAYER CH-MEETING RM,5159,S,Halsted,St,,,
4,1,UNITED CHURCH OF HYDE PARK - CH,1448,E,53,St,,,
4,2,LAKE MEADOWS APT - CMTY RM,401,E,32,St,,,
4,3,DREXEL SQUARE APTS - LOBBY,810,E,Hyde,Park,Blvd,,
4,4,LAKE PARC PLACE-SOCIAL RM,3983,S,Lake,Park,Av,,
4,5,VIVIAN GORDON HARSH APARTMENTS-S,4227,S,Oakenwald,Av,,,
4,6,NORTH WASHINGTON PARK MANOR - LO,550,E,50,Pl,,,
4,7,MWPH GL OF ILLINOIS- WILLIE EVAN,809,E,42,Pl,,,
4,8,NORTH WASHINGTON PARK MANOR - LO,550,E,50,Pl,,,
4,9,HARPER SQUARE CO-OPERATIVE-LOBBY,4850,S,Lake,Park,Av,,
4,10,KENNICOTT PARK - GYM,4434,S,Lake,Park,Av,,
4,11,DONOGHUE SCHOOL-GYMNASIUM,707,E,37,St,,,
4,12,MARY JANE RICHARDSON APT - DININ,4930,S,Langley,Ave,,,
4,13,CHURCH OF LATTER DAY SAINTS-REC,5200,S,University,Av,,,
4,14,MARTIN L KING HIGH SCHOOL-GYMNAS,4445,S,Drexel,Bv,,,
4,15,KENWOOD CHURCH OF CHRIST-FLLWSHP,4608,S,Greenwood,Av,,,
4,16,ALPHA TOWERS-REC ROOM,936,E,47,St,,,
4,17,REGENTS PARK APARTMENTS-HOSPITAL,5050,S,Lake,Shore,Dr,,
4,18,FULLER SCHOOL- AUDITORIUM,4214,S,St,Lawrence,Av,,
4,19,LAWLESS GARDEN APTS - LOBBY,3620,S,Rhodes,Av,,,
4,20,DONOGHUE SCHOOL-GYMNASIUM,707,E,37,St,,,
4,21,CHURCH OF LATTER DAY SAINTS-REC,5200,S,University,Av,,,
4,22,SHOESMITH SCHOOL- GYMNASIUM,1330,E,50,St,,,
4,23,SHOESMITH SCHOOL- GYMNASIUM,1330,E,50,St,,,
4,24,SHOESMITH SCHOOL- GYMNASIUM,1330,E,50,St,,,
4,25,LAKE MEADOWS CONDOMINIUM - LOBBY,601,E,32,St,,,
4,26,ALPHA TOWERS-REC ROOM,936,E,47,St,,,
4,27,LAKE MEADOWS APT - CMTY RM,401,E,32,St,,,
4,28,CHURCH OF LATTER DAY SAINTS-REC,5200,S,University,Av,,,
4,29,HERBERT REALTY TWIN TOWERS - LOB,1649,E,50,St,,,
4,30,PRAIRIE SHORES APTS - LOBBY,2901,S,Ml,King,Dr,,
4,31,NICHOLS PARK-GYMNASIUM,1355,E,53,St,,,
4,32,SHOESMITH SCHOOL- GYMNASIUM,1330,E,50,St,,,
4,33,NORTH EASTHERN UNIVERSITY,700,E,Oakwood,Av,,,
4,34,PIONEER CO - OP - SOCIAL RM,5429,S,Dorchester,Av,,,
4,35,CHRIST THE KING LUTHERAN CHURCH-,3701,S,Lake,Park,Av,,
4,36,KENNICOTT PARK - GYM,4434,S,Lake,Park,Av,,
4,37,DONOGHUE SCHOOL-GYMNASIUM,707,E,37,St,,,
4,38,CONGREGATION RODFEI ZEDEK - LOBB,5200,S,Hyde,Park,Bv,,
4,39,JUDGE SLATER SENIOR APTS - REC R,740,E,43,St,,,
4,40,WASHINGTON PARK APARTMENTS - AUD,4949,S,Cottage,Grove,Av,,
4,41,AUGUSTANA LUTHERAN CH - MULTI PU,5500,S,Woodlawn,Av,,,
4,42,PRAIRIE SHORE APTS - LOBBY,2801,S,Ml,King,Dr,,
4,43,NICHOLS PARK-GYMNASIUM,1355,E,53,St,,,
4,44,HYDE PARK APTS - HOSPITALITY RM,5330,S,Harper,Av,,,
4,45,NEWPORT CONDO ASSCO - FORMER STO,4800,S,Chicago,Beach,Dr,,
4,46,FIRST BAPTIST CHURCH OF CHICAGO,935,E,50,St,,,
