WARD,PRECINCT,LOCATION,ADD_NUM,STREET_DIR,STREET_NAME_1,STREET_NAME_2,STREET_NAME_3,STREET_NAME_4,STREET_TYPE
1,1,Yates School,1826,N,Francisco,,,,Ave
1,2,Iglesia De Dios (Church Of God),1859,N,Spaulding,,,,Ave
1,3,Wells Community Academy,936,N,Ashland,,,,Ave
1,4,Commercial Park,1845,W,Rice,,,,St
1,5,LaSalle II Magnet School,1148,N,Honore,,,,St
1,6,The Ogden Intrnl School/Chicago,1250,W,Erie,,,,St
1,7,Haas Park,2402,N,Washtenaw,,,,Ave
1,8,Wicker Park Senior Housing,2020,W,Schiller,,,,St
1,9,Campbell Terrace Apartments,2061,N,Campbell,,,,Ave
1,10,LaSalle II Magnet School,1148,N,Honore,,,,St
1,11,Wicker Pk Fieldhouse,1425,N,Damen,,,,Ave
1,12,Ukranian Village Cultural Ctr,2247,W,Chicago,,,,Ave
1,13,Chicago Police Station,2150,N,California,,,,Ave
1,14,De Diego Community Academy,1313,N,Claremont,,,,Ave
1,15,St Mark Parish,1048,N,Campbell,,,,Ave
1,16,Goethe School,2236,N,Rockwell,,,,St
1,17,Iglesia De Dios (Church Of God),1859,N,Spaulding,,,,Ave
1,18,St Mark Parish,1048,N,Campbell,,,,Ave
1,19,Sacramento Elderly Apartments,2451,N,Sacramento,,,,Ave
1,20,Salem Christian School,2018,N,Richmond,,,,St
1,21,LaSalle II Magnet School,1148,N,Honore,,,,St
1,22,Wright College,1645,N,California,,,,Ave
1,23,Salem Christian School,2018,N,Richmond,,,,St
1,24,Erie Elementary Charter School,1405,N,Washtenaw,,,,Ave
1,25,Erie Elementary Charter School,1405,N,Washtenaw,,,,Ave
1,26,Funston School,2010,N,Central,Park,,,Ave
1,27,Dimitre Photography Inc,2716,W,North,,,,Ave
1,28,Lathrop Elderly Housing,2717,N,Leavitt,,,,St
1,29,Bloomingdale Arts Building,2418,W,Bloomingdale,,,,Ave
1,30,Moos School,1711,N,California,,,,Ave
1,31,Dimitre Photography Inc,2716,W,North,,,,Ave
1,32,Ukranian Village Cultural Ctr,2247,W,Chicago,,,,Ave
1,33,Talcott School,1840,W,Ohio,,,,St
1,34,Chicago Police Station,2150,N,California,,,,Ave
1,35,Goldblatts Building,1615,W,Chicago,,,,Ave
1,36,Goldblatts Building,1615,W,Chicago,,,,Ave
1,37,James Otis School,525,N,Armour,,,,St
1,38,The Linden House,2315,W,Le,Moyne,,,St
1,39,Talcott School,1840,W,Ohio,,,,St
1,40,Eckhart Apartments,838,N,Noble,,,,St
1,41,Haas Park,2402,N,Washtenaw,,,,Ave
1,42,Windy City Field House,2367,W,Logan,,,,Bv
1,43,Campbell Terrace Apartments,2061,N,Campbell,,,,Ave
1,44,Yates School,1826,N,Francisco,,,,Ave
2,1,St Stanislaus School,1255,N,Noble,,,,St
2,2,Lake Shore Park,808,N,Lake,Shore,,,Dr
2,3,Happy Village,1059,N,Wolcott,,,,Ave
2,4,Columbus School,1003,N,Leavitt,,,,St
2,5,Northwestern Settlement Assoc,1400,W,Augusta,,,,Bv
2,6,Pulaski Park,1419,W,Blackhawk,,,,St
2,7,First Bethlehem Luth Ch,1649,W,Lemoyne,,,,St
2,8,First Bethlehem Luth Ch,1649,W,Lemoyne,,,,St
