,WARD,PRECINCT,latitude,longitude
0,1,1,41.9150093,-87.6992369
1,1,2,41.9153893,-87.70998019999999
2,1,3,41.8991219,-87.668071
3,1,4,41.8966241,-87.67416519999999
4,1,5,41.9024109,-87.67430440000001
5,1,6,41.8939416,-87.6587921
6,1,7,41.925156,-87.6952824
7,1,8,41.9074262,-87.6785712
8,1,9,41.9193968,-87.6888261
9,1,10,41.9024109,-87.67430440000001
10,1,11,41.9080486,-87.676738
11,1,12,41.89551669999999,-87.6835924
12,1,13,41.9212751,-87.697796
13,1,14,41.9057847,-87.6855288
14,1,15,41.9007744,-87.68974449999999
15,1,16,41.9226831,-87.6932528
16,1,17,41.9153893,-87.70998019999999
17,1,18,41.9007744,-87.68974449999999
18,1,19,41.9263841,-87.7019967
19,1,20,41.9182127,-87.70034729999999
20,1,21,41.9024109,-87.67430440000001
21,1,22,41.9116321,-87.6966525
22,1,23,41.9182127,-87.70034729999999
23,1,24,41.9069484,-87.6941154
24,1,25,41.9069484,-87.6941154
25,1,26,41.9177477,-87.7171339
26,1,27,41.9104907,-87.6953119
27,1,28,41.9308048,-87.6799273
28,1,29,41.9141603,-87.6879897
29,1,30,41.9130714,-87.69633499999999
30,1,31,41.9104907,-87.6953119
31,1,32,41.89551669999999,-87.6835924
32,1,33,41.8927743,-87.6739364
33,1,34,41.9212751,-87.697796
34,1,35,41.8958385,-87.6680533
35,1,36,41.8958385,-87.6680533
36,1,37,41.8926564,-87.66536070000001
37,1,38,41.9082905,-87.6852119
38,1,39,41.8927743,-87.6739364
39,1,40,41.8975133,-87.6632119
40,1,41,41.925156,-87.6952824
41,1,42,41.9284101,-87.6866623
42,1,43,41.9193968,-87.6888261
43,1,44,41.9150093,-87.6992369
44,2,1,41.9051817,-87.6621009
45,2,2,41.8974908,-87.6199297
46,2,3,41.9012868,-87.67450410000001
47,2,4,41.8996893,-87.6814153
48,2,5,41.9000176,-87.6627352
49,2,6,41.9067673,-87.6633147
50,2,7,41.908949,-87.6697921
51,2,8,41.908949,-87.6697921
52,2,9,41.910598,-87.6450296
53,2,10,41.896415,-87.62384999999999
54,2,11,41.8978653,-87.6199177
55,2,12,41.9111944,-87.6462251
56,2,13,41.89953,-87.621349
57,2,14,41.8996893,-87.6814153
58,2,15,41.9072003,-87.6828914
59,2,16,41.9072003,-87.6828914
60,2,17,41.8969829,-87.6838834
61,2,18,41.8974908,-87.6199297
62,2,19,41.8989444,-87.6227945
63,2,20,41.9229347,-87.66660139999999
64,2,21,41.8996893,-87.6814153
65,2,22,41.9236606,-87.6628135
66,2,23,41.9004369,-87.623405
67,2,24,41.9260425,-87.6630512
68,2,25,41.9080486,-87.676738
69,2,26,41.9229347,-87.66660139999999
70,2,27,41.9012852,-87.6289091
71,2,28,41.9059639,-87.6325034
72,2,29,41.9034719,-87.6261222
73,2,30,41.9117946,-87.6324258
74,2,31,41.9117946,-87.6324258
75,2,32,41.896854,-87.62939750000001
76,2,33,41.9104645,-87.63268649999999
77,2,34,41.9027038,-87.6269037
78,2,35,41.9059639,-87.6325034
79,2,36,41.9054799,-87.6319264
80,2,37,41.9092557,-87.6323365
81,2,38,41.9047852,-87.62905230000001
82,2,39,41.9009364,-87.6340318
83,2,40,41.89542489999999,-87.6288512
84,2,41,41.8970403,-87.6392844
85,2,42,41.902086,-87.629572
86,2,43,41.8988895,-87.6287693
87,2,44,41.9124296,-87.6350566
88,2,45,41.896854,-87.62939750000001
89,2,46,41.913241,-87.64082499999999
90,3,1,41.8128037,-87.6251478
91,3,2,41.8205293,-87.6160506
92,3,3,41.853363,-87.6285987
93,3,4,41.8141967,-87.61605
94,3,5,41.8122536,-87.63460839999999
95,3,6,41.8577287,-87.62201809999999
96,3,7,41.8352015,-87.6200108
97,3,8,41.7987362,-87.6173583
98,3,9,41.8141967,-87.61605
99,3,10,41.8122536,-87.63460839999999
100,3,11,41.8106679,-87.61731089999999
101,3,12,41.81902280000001,-87.6162358
102,3,13,41.8584959,-87.6280008
103,3,14,41.8575794,-87.62511049999999
104,3,15,41.818092,-87.624178
105,3,16,41.7979598,-87.6220604
106,3,17,41.8508112,-87.624224
107,3,18,41.8437464,-87.6280534
108,3,19,41.8577227,-87.6212319
109,3,20,41.8198486,-87.6180875
110,3,21,41.8631839,-87.62279559999999
111,3,22,41.8612247,-87.6244713
112,3,23,41.8241717,-87.6261549
113,3,24,41.8197158,-87.6218873
114,3,25,41.8625126,-87.6252884
115,3,26,41.8667186,-87.6289961
116,3,27,41.8577227,-87.6212319
117,3,28,41.8167872,-87.63459639999999
118,3,29,41.8286115,-87.6325341
119,3,30,41.8078977,-87.6161664
120,3,31,41.805923,-87.615882
121,3,32,41.8663459,-87.6238048
122,3,33,41.8612247,-87.6244713
123,3,34,41.8612247,-87.6244713
124,3,35,41.82474089999999,-87.6212582
125,3,36,41.7905907,-87.6340628
126,3,37,41.7979598,-87.6220604
127,3,38,41.825842,-87.6175956
128,3,39,41.8625126,-87.6252884
129,3,40,41.8551452,-87.62387249999999
130,3,41,41.8352015,-87.6200108
131,4,1,41.7957122,-87.59386119999999
132,4,2,41.86900199999999,-87.626356
133,4,3,41.8051921,-87.60924539999999
134,4,4,41.8239445,-87.6027277
135,4,5,41.8142925,-87.5972855
136,4,6,41.8446749,-87.6208928
137,4,7,41.81741239999999,-87.5974365
138,4,8,41.8033492,-87.6122037
139,4,9,41.8068185,-87.5906127
140,4,10,41.8142925,-87.5972855
141,4,11,41.8234676,-87.60692519999999
142,4,12,41.8051921,-87.60924539999999
143,4,13,41.8743132,-87.6279679
144,4,14,41.8413893,-87.62227159999999
145,4,15,41.8098503,-87.6023766
146,4,16,41.86900199999999,-87.626356
147,4,17,41.873458,-87.6288916
148,4,18,41.8174183,-87.6078186
149,4,19,41.8296196,-87.615389
150,4,20,41.873458,-87.6288916
151,4,21,41.8743132,-87.6279679
152,4,22,41.8047591,-87.5943398
153,4,23,41.8047591,-87.5943398
154,4,24,41.8047591,-87.5943398
155,4,25,41.8701883,-87.6249677
156,4,26,41.8046161,-87.6059862
157,4,27,41.7998657,-87.59004279999999
158,4,28,41.8418196,-87.6172162
159,4,29,41.8174183,-87.6078186
160,4,30,41.8234676,-87.60692519999999
161,4,31,41.806603,-87.586581
162,4,32,41.8230194,-87.6094758
163,4,33,41.8026246,-87.605874
164,4,34,41.8138729,-87.60296009999999
165,4,35,41.8357465,-87.611834
166,4,36,41.8318193,-87.6176438
167,4,37,41.8667186,-87.6289961
168,4,38,41.83638149999999,-87.6161869
169,5,1,41.7686287,-87.57317309999999
